eval_id,condition_index,v_max,condition_label,method,stage,label,repeat_idx,theta_hash,query_id,cache_tag,query_total_wall_time_s,projection_linf,robustness_post_neutral_alt_drift,robustness_post_neutral_xy_drift,robustness_post_neutral_xy_velocity
6,1,1.0,v1000,structured,coarse_candidate,005_sustain_yaw_neg,0,b2d3c8babeebbea7,b2d3c8babeebbea7_px4_position_0_h2_structured_v1000_coarse_candidate_00006_005_sustain_yaw_neg_repeat0,h2_structured_v1000_coarse_candidate_00006_005_sustain_yaw_neg_repeat0,17.969285909988685,0.0,0.9837465286254883,1.9348631585322706,0.9288988778992638
7,1,1.0,v1000,structured,coarse_candidate,006_sustain_throttle_pos,0,f6e08171ff0c0f8e,f6e08171ff0c0f8e_px4_position_0_h2_structured_v1000_coarse_candidate_00007_006_sustain_throttle_pos_repeat0,h2_structured_v1000_coarse_candidate_00007_006_sustain_throttle_pos_repeat0,17.8073584040103,0.0,0.3673563003540039,1.9325881271943788,0.9543192717036832
8,1,1.0,v1000,structured,coarse_candidate,007_sustain_throttle_neg,0,f147bbf6d6f821ea,f147bbf6d6f821ea_px4_position_0_h2_structured_v1000_coarse_candidate_00008_007_sustain_throttle_neg_repeat0,h2_structured_v1000_coarse_candidate_00008_007_sustain_throttle_neg_repeat0,18.02458747700439,0.0,0.737642765045166,1.96739962667502,0.9704564255067613
9,1,1.0,v1000,structured,coarse_candidate,008_diag_roll_neg_pitch_neg,0,2b6d6f1caf7c8650,2b6d6f1caf7c8650_px4_position_0_h2_structured_v1000_coarse_candidate_00009_008_diag_roll_neg_pitch_neg_repeat0,h2_structured_v1000_coarse_candidate_00009_008_diag_roll_neg_pitch_neg_repeat0,20.69822409900371,0.0,0.9814882278442383,-4.584282588880421,-4.059141049913488
10,1,1.0,v1000,structured,coarse_candidate,009_diag_roll_neg_pitch_pos,0,bac84b9d64f3c388,bac84b9d64f3c388_px4_position_0_h2_structured_v1000_coarse_candidate_00010_009_diag_roll_neg_pitch_pos_repeat0,h2_structured_v1000_coarse_candidate_00010_009_diag_roll_neg_pitch_pos_repeat0,17.789623641991057,0.0,0.981379508972168,-4.586027463508194,-4.056213468109157
11,1,1.0,v1000,structured,coarse_candidate,010_diag_roll_pos_pitch_neg,0,5f7451580b3475fd,5f7451580b3475fd_px4_position_0_h2_structured_v1000_coarse_candidate_00011_010_diag_roll_pos_pitch_neg_repeat0,h2_structured_v1000_coarse_candidate_00011_010_diag_roll_pos_pitch_neg_repeat0,18.08019531200989,0.0,0.9867129325866699,-4.161518955069242,-3.8016795084406247
12,1,1.0,v1000,structured,coarse_candidate,011_diag_roll_pos_pitch_pos,0,57e61bdc31cca62e,57e61bdc31cca62e_px4_position_0_h2_structured_v1000_coarse_candidate_00012_011_diag_roll_pos_pitch_pos_repeat0,h2_structured_v1000_coarse_candidate_00012_011_diag_roll_pos_pitch_pos_repeat0,18.427846156992018,0.0,0.9876832962036133,-4.193243432651721,-3.7596406049362443
13,1,1.0,v1000,structured,coarse_candidate,012_oscillate_roll_phase0,0,6311df9118ee43b4,6311df9118ee43b4_px4_position_0_h2_structured_v1000_coarse_candidate_00013_012_oscillate_roll_phase0_repeat0,h2_structured_v1000_coarse_candidate_00013_012_oscillate_roll_phase0_repeat0,18.73798132702359,0.0,0.993502140045166,1.9713755725974733,0.9664481289049646
14,1,1.0,v1000,structured,coarse_candidate,013_oscillate_roll_phase1,0,48576a888a70adec,48576a888a70adec_px4_position_0_h2_structured_v1000_coarse_candidate_00014_013_oscillate_roll_phase1_repeat0,h2_structured_v1000_coarse_candidate_00014_013_oscillate_roll_phase1_repeat0,18.3128913550172,0.0,0.9923763275146484,1.96181482979376,0.9625237884216057
15,1,1.0,v1000,structured,coarse_candidate,014_oscillate_pitch_phase0,0,9b6f68024ee68b21,9b6f68024ee68b21_px4_position_0_h2_structured_v1000_coarse_candidate_00015_014_oscillate_pitch_phase0_repeat0,h2_structured_v1000_coarse_candidate_00015_014_oscillate_pitch_phase0_repeat0,18.568787298019743,0.0,0.9980068206787109,1.955451705973573,0.962126186033901
