condition_index,v_max,candidate_index,source,label,theta_hash,rho_single
3,0.8,0,hand,sustain_roll_pos,171687067075e2f7,-3.1163642283720687
3,0.8,1,hand,sustain_roll_neg,ef655ffc4b9a84d3,-3.063305057062876
3,0.8,2,hand,sustain_pitch_pos,2732554cfcf206a5,-3.1050380275801643
3,0.8,3,hand,sustain_pitch_neg,a3dc5217cbd1fc2c,-3.155090286870651
3,0.8,4,hand,sustain_yaw_pos,b99ac8e280c1f322,0.7028629554700815
3,0.8,5,hand,sustain_yaw_neg,b2d3c8babeebbea7,0.7089839438887716
3,0.8,6,hand,sustain_throttle_pos,f6e08171ff0c0f8e,0.7629097340635819
3,0.8,7,hand,sustain_throttle_neg,f147bbf6d6f821ea,0.7475116748804868
3,0.8,8,hand,diag_roll_neg_pitch_neg,2b6d6f1caf7c8650,-4.610203152676388
3,0.8,9,hand,diag_roll_neg_pitch_pos,bac84b9d64f3c388,-4.671590988959297
3,0.8,10,hand,diag_roll_pos_pitch_neg,5f7451580b3475fd,-4.690167079491025
3,0.8,11,hand,diag_roll_pos_pitch_pos,57e61bdc31cca62e,-4.599940173740676
3,0.8,12,hand,oscillate_roll_phase0,6311df9118ee43b4,0.7789195438551845
3,0.8,13,hand,oscillate_roll_phase1,48576a888a70adec,0.7553442687610018
3,0.8,14,hand,oscillate_pitch_phase0,9b6f68024ee68b21,0.7674995013530396
3,0.8,15,hand,oscillate_pitch_phase1,7f0b5206e8f5aa36,0.7648206033900117
3,0.8,16,hand,ramp_then_hold_roll_pos,97f73f31d86df94f,-2.9830743430575444
3,0.8,17,hand,ramp_then_hold_pitch_neg,423d9f54ff32c82b,-2.8483043465443476
3,0.8,18,hand,late_step_pitch_pos_w8_w9,2b64842299ddb4d8,0.34125716555065944
3,0.8,19,hand,late_step_throttle_neg_w8_w9,dcf7135039aeae54,0.7660002507369383
3,0.8,20,random,random_block_001,fb1dfd9e9221be70,-0.6633043327059163
3,0.8,21,random,random_projected_002,7bb9f1f2598dd6eb,-0.3076841521499034
3,0.8,22,random,random_walk_003,39fd03bcf345a1f5,-0.44187728292654294
3,0.8,23,random,random_block_004,92a1008ea9a53e12,-1.3697376244872153
3,0.8,24,random,random_projected_005,9c8f9eb76784896f,-1.422857687291162
3,0.8,25,random,random_walk_006,aa9ef3d73b0c04ec,-0.5232778988408939
3,0.8,26,random,random_block_007,9debd9cdc05fe822,-1.8381306936056705
3,0.8,27,random,random_projected_008,744e17c429870d42,0.5280311815808212
3,0.8,28,random,random_walk_009,e60f3f763439b461,-3.1143992512413945
3,0.8,29,random,random_block_010,f9ad2ae09aecc260,-1.0891213167712237
3,0.8,30,random,random_projected_011,1de531046e7b9f36,-0.9980284387072276
3,0.8,31,random,random_walk_012,e186235983242839,-2.8928443985500287
3,0.8,32,random,random_block_013,4d6fcfdbb181a8f8,-0.15089714523191822
3,0.8,33,random,random_projected_014,c7b5b4dbce2e1729,-0.22319759663863792
3,0.8,34,random,random_walk_015,24017284d2d0ae36,-0.8946248806719388
3,0.8,35,random,random_block_016,21a7c393cbbaa1ce,-1.2420835455240786
3,0.8,36,random,random_projected_017,75e95e2902690175,0.1842389322693212
3,0.8,37,random,random_walk_018,a2ea06d45ccae584,0.0315305711408822
3,0.8,38,random,random_block_019,5240590140865314,-0.30042271166554513
3,0.8,39,random,random_projected_020,071f1f0e4ee82eb0,-1.0996004331265024
3,0.8,40,random,random_walk_021,96f0222d653108fd,-2.355922592371572
3,0.8,41,random,random_block_022,8533ef8d28cd8445,-1.6451883194920842
3,0.8,42,random,random_projected_023,7b507ee895aa6306,-1.130400957853022
3,0.8,43,random,random_walk_024,33017f09a7a7148e,-2.989530289473465
3,0.8,44,random,random_block_025,d2cd927a7458cf76,-0.27738258969175655
3,0.8,45,random,random_projected_026,088310d810ea6f28,-0.01885745630235558
3,0.8,46,random,random_walk_027,18bc079bb4c6088f,-0.8238943032969501
3,0.8,47,random,random_block_028,3a3923299f677006,-0.4501382535647418
3,0.8,48,random,random_projected_029,7a41f5f4484e49ac,-0.37454433357710215
3,0.8,49,random,random_walk_030,2d988c794deec408,-2.9859070380982446
3,0.8,50,random,random_block_031,89dfe4c66373e0e4,-1.086423398787849
3,0.8,51,random,random_projected_032,83cd4692eb798c49,-1.3276064250437385
3,0.8,52,random,random_walk_033,42b38062f2703a45,-0.5826752598437346
3,0.8,53,random,random_block_034,9437214badbe3ded,0.2801301905915258
3,0.8,54,random,random_projected_035,6459af5fdf881ec4,0.08437932085473454
3,0.8,55,random,random_walk_036,07f4fb1906ccdb77,-1.4838081111538581
3,0.8,56,random,random_block_037,8a9d0f0ee3dfb297,0.22123301142163998
3,0.8,57,random,random_projected_038,94da1701963510a2,-0.38889917612355673
3,0.8,58,random,random_walk_039,dd6bc3b08c81e696,-0.1258214992708998
3,0.8,59,random,random_block_040,5e27412c37e13b2c,-1.5641798481220526
3,0.8,60,random,random_projected_041,1981ea5efd23917a,-0.05193250699932683
3,0.8,61,random,random_walk_042,2dc1ba4e4c780e6e,-1.6323220872440845
3,0.8,62,random,random_block_043,bfaf93e213df0532,0.25776221338455996
3,0.8,63,random,random_projected_044,0ef307d764b34268,-2.2114660003987483
3,0.8,64,random,random_walk_045,95d5927a50a1893e,-2.6262644569136455
3,0.8,65,random,random_block_046,b16d3b8f629b1879,-1.7157225088133938
3,0.8,66,random,random_projected_047,ad0a433b6200921a,-1.4749984325462069
3,0.8,67,random,random_walk_048,313cbae7d37b2a8f,-1.2971284322180316
3,0.8,68,random,random_block_049,dd5b7d6c3b770ca1,-1.022951222223146
3,0.8,69,random,random_projected_050,f7a450ed577fc924,-0.6904241398274722
3,0.8,70,random,random_walk_051,67c20ea999f7f9d3,-1.2428591488846148
3,0.8,71,random,random_block_052,793690decf7b691f,-0.9911346244275812
