group_id,channel,window_id,t_start,t_end,condition_index,v_max,boundary_method,boundary_theta_hash,sign,repeat_idx,delta,projection_linf,theta_hash,rho_xy_velocity
0,roll,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,+,0,0.2,0.06230468750000001,e05f07a50e9d23a3,-0.2368752297982879
0,roll,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,+,1,0.2,0.06230468750000001,e05f07a50e9d23a3,-0.29535972733217375
0,roll,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,+,2,0.2,0.06230468750000001,e05f07a50e9d23a3,-0.26816526250221595
0,roll,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,+,3,0.2,0.06230468750000001,e05f07a50e9d23a3,-0.23916463534804588
0,roll,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,+,4,0.2,0.06230468750000001,e05f07a50e9d23a3,-0.27768555454064425
0,roll,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,-,0,0.2,0.06230468750000001,f99d2bce26bd3e1d,-0.29261201215660737
0,roll,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,-,1,0.2,0.06230468750000001,f99d2bce26bd3e1d,-0.28382097587948807
0,roll,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,-,2,0.2,0.06230468750000001,f99d2bce26bd3e1d,-0.26540940509780575
0,roll,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,-,3,0.2,0.06230468750000001,f99d2bce26bd3e1d,-0.26579885827193417
0,roll,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,-,4,0.2,0.06230468750000001,f99d2bce26bd3e1d,-0.2519687866463465
1,pitch,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,+,0,0.2,0.06230468750000001,714e30b797b29e35,-0.20660611037691634
1,pitch,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,+,1,0.2,0.06230468750000001,714e30b797b29e35,-0.24789588562843323
1,pitch,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,+,2,0.2,0.06230468750000001,714e30b797b29e35,-0.25167159924664095
1,pitch,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,+,3,0.2,0.06230468750000001,714e30b797b29e35,-0.2776692246546897
1,pitch,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,+,4,0.2,0.06230468750000001,714e30b797b29e35,-0.25760449822392983
1,pitch,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,-,0,0.2,0.06230468750000001,370a7ffa865bf721,-0.265608180534614
1,pitch,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,-,1,0.2,0.06230468750000001,370a7ffa865bf721,-0.27890071806139427
1,pitch,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,-,2,0.2,0.06230468750000001,370a7ffa865bf721,-0.2991983464669641
1,pitch,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,-,3,0.2,0.06230468750000001,370a7ffa865bf721,-0.26570112674195023
1,pitch,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,-,4,0.2,0.06230468750000001,370a7ffa865bf721,-0.2472613414144449
2,yaw,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,+,0,0.2,0.06230468750000001,36bd23bf3dc30e1a,-0.23558583147519063
2,yaw,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,+,1,0.2,0.06230468750000001,36bd23bf3dc30e1a,-0.2767249801072036
2,yaw,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,+,2,0.2,0.06230468750000001,36bd23bf3dc30e1a,-0.2584338002637552
2,yaw,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,+,3,0.2,0.06230468750000001,36bd23bf3dc30e1a,-0.26276697227374823
2,yaw,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,+,4,0.2,0.06230468750000001,36bd23bf3dc30e1a,-0.2748501810764188
2,yaw,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,-,0,0.2,0.06230468750000001,86efa49d33163398,-0.19637854939042665
2,yaw,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,-,1,0.2,0.06230468750000001,86efa49d33163398,-0.23755476531192787
2,yaw,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,-,2,0.2,0.06230468750000001,86efa49d33163398,-0.2619942352808158
2,yaw,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,-,3,0.2,0.06230468750000001,86efa49d33163398,-0.2419702768170522
2,yaw,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,-,4,0.2,0.06230468750000001,86efa49d33163398,-0.29796976991823443
3,throttle,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,+,0,0.2,0.06230468750000001,1e46417d874a8808,-0.26570758821374785
3,throttle,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,+,1,0.2,0.06230468750000001,1e46417d874a8808,-0.2526087670414845
3,throttle,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,+,2,0.2,0.06230468750000001,1e46417d874a8808,-0.25736726158103074
3,throttle,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,+,3,0.2,0.06230468750000001,1e46417d874a8808,-0.23277147619010563
3,throttle,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,+,4,0.2,0.06230468750000001,1e46417d874a8808,-0.28129080410807106
3,throttle,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,-,0,0.2,0.008211582483107022,d93bcc2de72c36c6,-0.22030319194053471
3,throttle,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,-,1,0.2,0.008211582483107022,d93bcc2de72c36c6,-0.26605100003459947
3,throttle,0,0.0,0.5,1,1.0,warm_anchor,3248eac8d31a9542,-,2,0.2,0.008211582483107022,d93bcc2de72c36c6,-0.23936259287407458
