group_id,channel,window_id,t_start,t_end,condition_index,v_max,boundary_theta_hash,delta,repeat_count,base_rho_xy_velocity,rho_plus_mean,rho_minus_mean,rho_plus_std,rho_minus_std,rho_span_plus_minus,abs_delta_rho_span,directional_sensitivity,directional_sensitivity_se,plus_projection_linf_max,minus_projection_linf_max
0,roll,0,0.0,0.5,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,-0.0009266966860429271,-0.022245972382244395,0.042292878162555864,0.027018629368021938,0.021319275696201467,0.021319275696201467,0.05329818924050366,0.05611031407191698,0.03829270601272583,0.03829270601272586
1,pitch,0,0.0,0.5,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,-0.026719405828548103,-0.02822623318981814,0.0066745949584759035,0.016551646661959664,0.001506827361270037,0.001506827361270037,0.0037670684031750924,0.019953296252814733,0.03829270601272586,0.03829270601272583
2,yaw,0,0.0,0.5,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.01455877246169408,-0.0012795958082748803,0.02766052817773558,0.019122839901469908,0.01583836826996896,0.01583836826996896,0.039595920674922395,0.037596339997540876,0.06230468750000001,0.06230468750000001
3,throttle,0,0.0,0.5,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,-0.005859608255502446,0.010838004701405946,0.013413061566151418,0.01764046703494777,-0.016697612956908393,0.016697612956908393,0.04174403239227098,0.02477640757324514,0.06230468750000001,0.008211582483107022
4,roll,1,0.5,1.0,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.01846005195987499,0.004585169863425031,0.01901165770902125,0.010305466232000049,0.013874882096449959,0.013874882096449959,0.0346872052411249,0.02417761782888981,0.038292706012725886,0.02063416481018071
5,pitch,1,0.5,1.0,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.009218351314028993,0.0032972484439873994,0.018773602836522005,0.022862410533168086,0.005921102870041594,0.005921102870041594,0.014802757175103983,0.033074498840696395,0.02063416481018071,0.038292706012725886
6,yaw,1,0.5,1.0,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.01717208143711204,0.01067950250176053,0.01081096684720921,0.017216782835986925,0.00649257893535151,0.00649257893535151,0.016231447338378776,0.02272923820195561,0.03984375000000001,0.06230468750000001
7,throttle,1,0.5,1.0,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.01619988679603601,0.0010306626578034939,0.02017468352822809,0.018103447649326816,0.015169224138232518,0.015169224138232518,0.037923060345581294,0.030305788891234833,0.00821158248310705,0.06230468749999998
8,roll,2,1.0,1.5,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,-0.007844886906921422,0.006063696607385349,0.008199447378908521,0.010424608687829077,-0.013908583514306771,0.013908583514306771,0.03477145878576693,0.014828326086153963,0.020634164810180766,0.0
9,pitch,2,1.0,1.5,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.021280179617129646,-0.0042390438361175065,0.013747741807732085,0.024483117977595205,0.025519223453247152,0.025519223453247152,0.06379805863311788,0.03139314158213761,0.0,0.020634164810180766
10,yaw,2,1.0,1.5,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.016378670759294556,0.015950172630781533,0.030925202214575887,0.012538306088738127,0.0004284981285130225,0.0004284981285130225,0.0010712453212825563,0.0373091351344965,0.0,0.039843749999999956
11,throttle,2,1.0,1.5,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.015801365734365348,0.01831096638514367,0.010570611188201528,0.014606743306947305,-0.002509600650778321,0.002509600650778321,0.006274001626945802,0.02015858287824262,0.06230468750000001,0.0
12,roll,3,1.5,2.0,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,-0.034209318543215364,0.017879603180633065,0.01707855714911806,0.012226888402238513,-0.05208892172384843,0.05208892172384843,0.13022230430962106,0.023483342881085046,0.0,0.0
13,pitch,3,1.5,2.0,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.029964622509850415,-0.03292670481895854,0.01894547971124409,0.01639580412221398,0.06289132732880895,0.06289132732880895,0.15722831832202236,0.028012354290187086,0.0,0.0
14,yaw,3,1.5,2.0,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.0018788718337001242,0.00957591928788779,0.014920396909255054,0.020322045492892057,-0.007697047454187666,0.007697047454187666,0.019242618635469163,0.02818696012664549,0.06230468750000004,0.06230468749999997
15,throttle,3,1.5,2.0,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.013789135255294438,0.02478213036267183,0.021256446687084197,0.013767031927170818,-0.010992995107377392,0.010992995107377392,0.02748248776844348,0.028314477168150953,0.0,0.0
16,roll,4,2.0,2.5,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,-0.05610763907356635,0.05786641323335147,0.018355471159322782,0.020569328905599763,-0.11397405230691782,0.11397405230691782,0.28493513076729454,0.03082248799795922,0.0,0.0
17,pitch,4,2.0,2.5,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.03494612947992881,-0.027994865310759877,0.03344193580765942,0.022921622591915724,0.06294099479068868,0.06294099479068868,0.1573524869767217,0.04532885191588568,0.0,0.0
18,yaw,4,2.0,2.5,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.009976564108644647,0.012705313421986575,0.016217004953226446,0.040939830441658595,-0.002728749313341928,0.002728749313341928,0.00682187328335482,0.049232369512404214,0.0623046875,0.06230468750000003
19,throttle,4,2.0,2.5,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.005348013329850599,0.005869506532620794,0.017169330770728557,0.03212271948381567,-0.0005214932027701952,0.0005214932027701952,0.001303733006925488,0.04072246042036564,0.0,0.0
20,roll,5,2.5,3.0,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,-0.06740397495405606,0.054887961139299966,0.015082231175619158,0.034412491048740064,-0.12229193609335604,0.12229193609335604,0.30572984023339006,0.04200733920124008,0.0,0.0
21,pitch,5,2.5,3.0,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.06022434739401872,-0.07288973413873137,0.023596732026384883,0.018640358831010385,0.1331140815327501,0.1331140815327501,0.3327852038318752,0.0336204688336184,0.0,0.0
22,yaw,5,2.5,3.0,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.01552619865918301,0.0003014998082632836,0.021740321760463904,0.013688966354923142,0.015224698850919727,0.015224698850919727,0.03806174712729932,0.028723452745855565,0.06230468750000004,0.06230468750000001
23,throttle,5,2.5,3.0,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.012568081752753235,0.020119690260100676,0.03299162833464206,0.028389322883244705,-0.007551608507347441,0.007551608507347441,0.0188790212683686,0.04866211557695932,0.0,0.0
24,roll,6,3.0,3.5,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,-0.08861079158839387,0.04586414329407553,0.025021860685792357,0.015261103729536027,-0.1344749348824694,0.1344749348824694,0.33618733720617344,0.032768025558897726,0.0,0.0
25,pitch,6,3.0,3.5,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.0526394651888489,-0.09881138515095396,0.007659516252567223,0.02292923649695694,0.15145085033980285,0.15145085033980285,0.3786271258495071,0.027028181486106393,0.0,0.0
26,yaw,6,3.0,3.5,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.002410492625450944,0.01592993825618185,0.014498669020092687,0.018974441168834972,-0.013519445630730906,0.013519445630730906,0.033798614076827264,0.026698333773472055,0.06230468750000007,0.0
27,throttle,6,3.0,3.5,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.019793470850355432,0.018506396175827965,0.014529194974266186,0.019001985177586424,0.0012870746745274678,0.0012870746745274678,0.0032176866863186694,0.02674352602241933,0.0,0.0
28,roll,7,3.5,4.0,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,-0.12813333212140776,0.06745713471208567,0.016694531929967806,0.009670683545697074,-0.19559046683349343,0.19559046683349343,0.48897616708373354,0.02157050986305524,0.0,0.0
29,pitch,7,3.5,4.0,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.08022900886658968,-0.13095361837397032,0.015523853649845225,0.03203668019192107,0.21118262724056,0.21118262724056,0.5279565681014,0.03980167882547858,0.0,0.0
30,yaw,7,3.5,4.0,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.011462033164410478,0.02672168802985826,0.026748987284058525,0.03998994891140505,-0.01525965486544778,0.01525965486544778,0.03814913716361945,0.053790151685270314,0.043990893572239426,0.06230468750000001
31,throttle,7,3.5,4.0,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.009261479342610013,-0.0009657971591209069,0.027457658111267498,0.011970104055429816,0.01022727650173092,0.01022727650173092,0.025568191254327296,0.03348892316970402,0.0,0.0
32,roll,8,4.0,4.5,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,-0.17784143599926633,0.07127479845674081,0.02127609982029721,0.010754594025896423,-0.24911623445600714,0.24911623445600714,0.6227905861400178,0.026653651631275074,0.0,0.0
33,pitch,8,4.0,4.5,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.09495314379495626,-0.16225244976736425,0.020015544935220016,0.03582162803421757,0.25720559356232053,0.25720559356232053,0.6430139839058013,0.04587770528911147,0.0,0.0
34,yaw,8,4.0,4.5,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.005111061102363967,0.013885275304298107,0.01849965526482957,0.014740709192352104,-0.008774214201934138,0.008774214201934138,0.021935535504835346,0.026446307691505595,0.06230468750000001,0.043990893572239426
35,throttle,8,4.0,4.5,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.03250959166509504,0.009061190340458514,0.018923762209211617,0.018906163707034247,0.023448401324636527,0.023448401324636527,0.05862100331159131,0.02990718563882191,0.0,0.0
36,roll,9,4.5,5.0,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,-0.20003768927589868,0.08934825202846275,0.014288680060235322,0.009383368985435262,-0.28938594130436146,0.28938594130436146,0.7234648532609036,0.01911197240542544,0.0,0.0
37,pitch,9,4.5,5.0,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.0854627035947042,-0.22092950885751622,0.01675146143820539,0.01806930339853516,0.3063922124522204,0.3063922124522204,0.765980531130551,0.027547939705720198,0.0,0.0
38,yaw,9,4.5,5.0,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,0.014910437152512923,0.008124063554048887,0.028267025371948792,0.020180100352339605,0.006786373598464035,0.006786373598464035,0.016965933996160087,0.0388307412627047,0.0,0.06230468750000001
39,throttle,9,4.5,5.0,3,0.8,b3b2b82e2a4b1ef6,0.2,5,0.004531378731038283,-0.0009418193019408827,-0.0012585003906330217,0.00911815199792438,0.018271775920336422,0.000316681088692139,0.000316681088692139,0.0007917027217303475,0.02283085880831682,0.0,0.0
