seed,method,total_j5_points,clean_trigger_count,distinct_clean_trigger_count,j5_points_per_clean_trigger,j5_points_per_distinct_clean_trigger,signatures
0,CADET_arm_C,80,18,7,4.444444444444445,11.428571428571429,"channels=pitch,roll;time=w06-w09;shape=pitch:0,0,0,0,0,0,m1,m2,m2,m2|roll:0,0,0,0,0,0,p1,p2,p2,p2; channels=pitch,roll;time=w06-w09;shape=pitch:0,0,0,0,0,0,p1,p2,p2,p2|roll:0,0,0,0,0,0,p1,p2,p2,p2; channels=pitch,roll;time=w07-w09;shape=pitch:0,0,0,0,0,0,0,p1,p2,p2|roll:0,0,0,0,0,0,0,p1,p2,p2; channels=pitch;time=w04-w09;shape=pitch:0,0,0,0,m1,m2,m2,m2,m2,m1; channels=pitch;time=w06-w09;shape=pitch:0,0,0,0,0,0,p1,p2,p2,p2; channels=roll;time=w04-w09;shape=roll:0,0,0,0,p1,p2,p2,p2,p2,p1; channels=roll;time=w06-w09;shape=roll:0,0,0,0,0,0,m1,m2,m2,m2"
0,ddmin,393,4,4,98.25,98.25,"channels=pitch,roll;time=w05-w09;shape=pitch:0,0,0,0,0,0,m1,m1,m2,m2|roll:0,0,0,0,0,m1,0,m1,m2,m1; channels=pitch,roll;time=w06-w09;shape=pitch:0,0,0,0,0,0,m1,m2,m2,m2|roll:0,0,0,0,0,0,0,0,0,m1; channels=pitch,roll;time=w07-w09;shape=pitch:0,0,0,0,0,0,0,p1,p2,p2|roll:0,0,0,0,0,0,0,p1,p2,p2; channels=roll;time=w06-w09;shape=roll:0,0,0,0,0,0,p1,p2,p2,p3"
1,CADET_arm_C,80,0,0,inf,inf,
1,ddmin,371,2,2,185.5,185.5,"channels=pitch,roll;time=w05-w09;shape=pitch:0,0,0,0,0,m1,m2,m2,m2,m2|roll:0,0,0,0,0,0,0,m1,m2,m1; channels=pitch;time=w04-w09;shape=pitch:0,0,0,0,p1,p2,p2,p2,p2,p1"
2,CADET_arm_C,80,3,1,26.666666666666668,80.0,"channels=pitch;time=w04-w09;shape=pitch:0,0,0,0,p1,p2,p2,p2,p2,p1"
2,ddmin,361,4,4,90.25,90.25,"channels=pitch,roll;time=w02-w09;shape=pitch:0,0,p1,p1,0,0,0,0,0,0|roll:0,0,0,0,p1,p1,p1,p2,p2,p2; channels=pitch,roll;time=w04-w09;shape=pitch:0,0,0,0,0,0,0,p1,0,p1|roll:0,0,0,0,m1,m1,m1,m2,m2,m2; channels=pitch,roll;time=w05-w09;shape=pitch:0,0,0,0,0,p1,p1,0,p1,p1|roll:0,0,0,0,0,0,p1,p2,p2,p2; channels=roll;time=w05-w09;shape=roll:0,0,0,0,0,p1,p2,p2,p2,p2"
