provenance_label,phase,scenario,seed,cell_id,input,contract,contract_id,commanded_channels,probe_label,probe_description,probe_shape,channel_signs,measured_axis,window,threshold,peak,peak_mean,peak_std,peak_min,peak_max,rho_mean,rho_std,rho_min,rho_max,rho_mean_plus_2rho_std,rho_mean_minus_2rho_std,robust_label,theta_hash,theta_path,repeats,query_ids,timeout_retry_count,max_abs_theta,support_size_abs_gt_0p1,active_channels_abs_gt_0p1
exploratory-hypothesis,Phase-0,px4_position,0,G01,I1,C1 Brake,C1,roll,zero_anchor,all-neutral zero anchor,zero,neutral,xy_velocity,"[11,13]",1.0,0.020580078473552903,0.020580078473552903,0.009987386117286185,0.01116486435714052,0.035127848047688245,0.979419921526447,0.009987386117286183,0.9648721519523118,0.9888351356428595,0.9993946937610193,0.9594451492918746,robust_safe,7b6436b0c98f6238,artifacts/contract_grid_summary/thetas/G01_zero_anchor_7b6436b0c98f6238.npy,5,7b6436b0c98f6238_px4_position_0_contract_grid_G01_zero_anchor_repeat0;7b6436b0c98f6238_px4_position_0_contract_grid_G01_zero_anchor_repeat1;7b6436b0c98f6238_px4_position_0_contract_grid_G01_zero_anchor_repeat2;7b6436b0c98f6238_px4_position_0_contract_grid_G01_zero_anchor_repeat3;7b6436b0c98f6238_px4_position_0_contract_grid_G01_zero_anchor_repeat4,0,0.0,0,
exploratory-hypothesis,Phase-0,px4_position,0,G01,I1,C1 Brake,C1,roll,roll_plus_full,"saturated plus roll; active [0,5] then neutral tail",I1,roll:+,xy_velocity,"[11,13]",1.0,0.31455019428362063,0.31455019428362063,0.019680179374034573,0.28674671863967244,0.3411076453477646,0.6854498057163795,0.019680179374034597,0.6588923546522354,0.7132532813603276,0.7248101644644487,0.6460894469683103,robust_safe,b96ead7c8720e928,artifacts/contract_grid_summary/thetas/G01_roll_plus_full_b96ead7c8720e928.npy,5,b96ead7c8720e928_px4_position_0_contract_grid_G01_roll_plus_full_repeat0;b96ead7c8720e928_px4_position_0_contract_grid_G01_roll_plus_full_repeat1;b96ead7c8720e928_px4_position_0_contract_grid_G01_roll_plus_full_repeat2;b96ead7c8720e928_px4_position_0_contract_grid_G01_roll_plus_full_repeat3;b96ead7c8720e928_px4_position_0_contract_grid_G01_roll_plus_full_repeat4,0,1.0,10,roll
exploratory-hypothesis,Phase-0,px4_position,0,G01,I1,C1 Brake,C1,roll,roll_minus_full,"saturated minus roll; active [0,5] then neutral tail",I1,roll:-,xy_velocity,"[11,13]",1.0,0.299324594175727,0.299324594175727,0.01959622451562942,0.2837914711838677,0.3259727909876971,0.700675405824273,0.0195962245156294,0.674027209012303,0.7162085288161323,0.7398678548555319,0.6614829567930142,robust_safe,efc822e18fc44e8c,artifacts/contract_grid_summary/thetas/G01_roll_minus_full_efc822e18fc44e8c.npy,5,efc822e18fc44e8c_px4_position_0_contract_grid_G01_roll_minus_full_repeat0;efc822e18fc44e8c_px4_position_0_contract_grid_G01_roll_minus_full_repeat1;efc822e18fc44e8c_px4_position_0_contract_grid_G01_roll_minus_full_repeat2;efc822e18fc44e8c_px4_position_0_contract_grid_G01_roll_minus_full_repeat3;efc822e18fc44e8c_px4_position_0_contract_grid_G01_roll_minus_full_repeat4,0,1.0,10,roll
exploratory-hypothesis,Phase-0,px4_position,0,G02,I1,C1 Brake,C1,pitch,zero_anchor,all-neutral zero anchor,zero,neutral,xy_velocity,"[11,13]",1.0,0.02465048518283782,0.02465048518283782,0.01007072457966148,0.01575262185346177,0.0367165021646549,0.9753495148171621,0.010070724579661492,0.9632834978353451,0.9842473781465382,0.9954909639764852,0.9552080656578391,robust_safe,7b6436b0c98f6238,artifacts/contract_grid_summary/thetas/G02_zero_anchor_7b6436b0c98f6238.npy,5,7b6436b0c98f6238_px4_position_0_contract_grid_G02_zero_anchor_repeat0;7b6436b0c98f6238_px4_position_0_contract_grid_G02_zero_anchor_repeat1;7b6436b0c98f6238_px4_position_0_contract_grid_G02_zero_anchor_repeat2;7b6436b0c98f6238_px4_position_0_contract_grid_G02_zero_anchor_repeat3;7b6436b0c98f6238_px4_position_0_contract_grid_G02_zero_anchor_repeat4,0,0.0,0,
exploratory-hypothesis,Phase-0,px4_position,0,G02,I1,C1 Brake,C1,pitch,pitch_plus_full,"saturated plus pitch; active [0,5] then neutral tail",I1,pitch:+,xy_velocity,"[11,13]",1.0,0.3086011737187642,0.3086011737187642,0.025606073649626537,0.274698429887366,0.3428500713956289,0.6913988262812358,0.025606073649626502,0.6571499286043712,0.725301570112634,0.7426109735804889,0.6401866789819828,robust_safe,a08edfccf9989958,artifacts/contract_grid_summary/thetas/G02_pitch_plus_full_a08edfccf9989958.npy,5,a08edfccf9989958_px4_position_0_contract_grid_G02_pitch_plus_full_repeat0;a08edfccf9989958_px4_position_0_contract_grid_G02_pitch_plus_full_repeat1;a08edfccf9989958_px4_position_0_contract_grid_G02_pitch_plus_full_repeat2;a08edfccf9989958_px4_position_0_contract_grid_G02_pitch_plus_full_repeat3;a08edfccf9989958_px4_position_0_contract_grid_G02_pitch_plus_full_repeat4,0,1.0,10,pitch
exploratory-hypothesis,Phase-0,px4_position,0,G02,I1,C1 Brake,C1,pitch,pitch_minus_full,"saturated minus pitch; active [0,5] then neutral tail",I1,pitch:-,xy_velocity,"[11,13]",1.0,0.30453879914286597,0.30453879914286597,0.011637766849395124,0.2903486093780806,0.31862540536548595,0.695461200857134,0.011637766849395128,0.681374594634514,0.7096513906219194,0.7187367345559242,0.6721856671583438,robust_safe,e89a4b6a2371829e,artifacts/contract_grid_summary/thetas/G02_pitch_minus_full_e89a4b6a2371829e.npy,5,e89a4b6a2371829e_px4_position_0_contract_grid_G02_pitch_minus_full_repeat0;e89a4b6a2371829e_px4_position_0_contract_grid_G02_pitch_minus_full_repeat1;e89a4b6a2371829e_px4_position_0_contract_grid_G02_pitch_minus_full_repeat2;e89a4b6a2371829e_px4_position_0_contract_grid_G02_pitch_minus_full_repeat3;e89a4b6a2371829e_px4_position_0_contract_grid_G02_pitch_minus_full_repeat4,0,1.0,10,pitch
exploratory-hypothesis,Phase-0,px4_position,0,G03,I1,C1 Brake,C1,throttle,zero_anchor,all-neutral zero anchor,zero,neutral,climb_rate,"[11,13]",0.30000000000000004,0.00823270091786974,0.00823270091786974,0.0020748018034014775,0.0055043664760887,0.0104452241212129,0.29176729908213034,0.0020748018034014745,0.28955477587878714,0.29449563352391134,0.2959169026889333,0.2876176954753274,robust_safe,7b6436b0c98f6238,artifacts/contract_grid_summary/thetas/G03_zero_anchor_7b6436b0c98f6238.npy,5,7b6436b0c98f6238_px4_position_0_contract_grid_G03_zero_anchor_repeat0;7b6436b0c98f6238_px4_position_0_contract_grid_G03_zero_anchor_repeat1;7b6436b0c98f6238_px4_position_0_contract_grid_G03_zero_anchor_repeat2;7b6436b0c98f6238_px4_position_0_contract_grid_G03_zero_anchor_repeat3;7b6436b0c98f6238_px4_position_0_contract_grid_G03_zero_anchor_repeat4,0,0.0,0,
exploratory-hypothesis,Phase-0,px4_position,0,G03,I1,C1 Brake,C1,throttle,throttle_plus_full,"saturated plus throttle; active [0,5] then neutral tail",I1,throttle:+,climb_rate,"[11,13]",0.30000000000000004,0.025284353829920243,0.025284353829920243,0.0069383670014495505,0.0138259762898087,0.0321990475058555,0.2747156461700798,0.006938367001449552,0.26780095249414454,0.28617402371019135,0.28859238017297895,0.2608389121671807,robust_safe,04f3db5143fee943,artifacts/contract_grid_summary/thetas/G03_throttle_plus_full_04f3db5143fee943.npy,5,04f3db5143fee943_px4_position_0_contract_grid_G03_throttle_plus_full_repeat0;04f3db5143fee943_px4_position_0_contract_grid_G03_throttle_plus_full_repeat1;04f3db5143fee943_px4_position_0_contract_grid_G03_throttle_plus_full_repeat2;04f3db5143fee943_px4_position_0_contract_grid_G03_throttle_plus_full_repeat3;04f3db5143fee943_px4_position_0_contract_grid_G03_throttle_plus_full_repeat4,0,1.0,10,throttle
exploratory-hypothesis,Phase-0,px4_position,0,G03,I1,C1 Brake,C1,throttle,throttle_minus_full,"saturated minus throttle; active [0,5] then neutral tail",I1,throttle:-,climb_rate,"[11,13]",0.30000000000000004,0.010011060815304462,0.010011060815304462,0.004001131810240694,0.0048531438224017,0.01556580606848,0.28998893918469554,0.0040011318102406955,0.28443419393152003,0.29514685617759834,0.29799120280517694,0.28198667556421414,robust_safe,374ef6ac39cdc091,artifacts/contract_grid_summary/thetas/G03_throttle_minus_full_374ef6ac39cdc091.npy,5,374ef6ac39cdc091_px4_position_0_contract_grid_G03_throttle_minus_full_repeat0;374ef6ac39cdc091_px4_position_0_contract_grid_G03_throttle_minus_full_repeat1;374ef6ac39cdc091_px4_position_0_contract_grid_G03_throttle_minus_full_repeat2;374ef6ac39cdc091_px4_position_0_contract_grid_G03_throttle_minus_full_repeat3;374ef6ac39cdc091_px4_position_0_contract_grid_G03_throttle_minus_full_repeat4,0,1.0,10,throttle
exploratory-hypothesis,Phase-0,px4_position,0,G04,I1,C1 Brake,C1,yaw,zero_anchor,all-neutral zero anchor,zero,neutral,yaw_rate,"[11,13]",0.26179938779914946,0.014941750094294498,0.014941750094294498,0.001496469038405563,0.0130078746005892,0.0164517946541309,0.24685763770485494,0.0014964690384055676,0.24534759314501856,0.24879151319856027,0.24985057578166608,0.2438646996280438,robust_safe,7b6436b0c98f6238,artifacts/contract_grid_summary/thetas/G04_zero_anchor_7b6436b0c98f6238.npy,5,7b6436b0c98f6238_px4_position_0_contract_grid_G04_zero_anchor_repeat0;7b6436b0c98f6238_px4_position_0_contract_grid_G04_zero_anchor_repeat1;7b6436b0c98f6238_px4_position_0_contract_grid_G04_zero_anchor_repeat2;7b6436b0c98f6238_px4_position_0_contract_grid_G04_zero_anchor_repeat3;7b6436b0c98f6238_px4_position_0_contract_grid_G04_zero_anchor_repeat4,0,0.0,0,
