axis,scenario_id,candidate_id,family,H_scale,param_overrides_json,maneuver,C_recover_status,C_recover_violation,C_track_status,C_track_violation,violation_contract,nonlinear_observable,nonlinear_activated,saturation_error_overlap_s,candidate_status,contract_class,tier1_robustness_class,tier2_robustness_class,threshold_mean,tail_start_peak_abs_rate_mean,terminal_peak_abs_rate_mean,rho_tier1_mean,rho_tier1_std,nondecay_ratio_margin_mean,nondecay_slope_margin_mean,terminal_peak_over_threshold,terminal_over_start_peak
pitch,px4_stabilized_pitch,rate_d_high_x1p188,rate_d_high,0.5,"{""MC_PITCHRATE_D"": 0.003028125109267338}",pulse_train_A0p7_repeat3,safe,False,safe,False,,True,True,0.15999984741210938,NO_WITNESS_FOUND_AT_HEADROOM_BOUNDARY,safe,robust_safe,not_tier1_violation,0.35,0.0637698844075203,0.030384486541152,0.319615513458848,0.0,-0.020631420984864236,-0.0014443523482019372,0.08681281868900573,0.47647077963918655
pitch,px4_stabilized_pitch,rate_d_high_x1p188,rate_d_high,0.5,"{""MC_PITCHRATE_D"": 0.003028125109267338}",pulse_train_A1p0_repeat3,safe,False,safe,False,,True,True,0.15999984741210938,NO_WITNESS_FOUND_AT_HEADROOM_BOUNDARY,safe,robust_safe,not_tier1_violation,0.35,0.0414506196975708,0.0392797626554966,0.3107202373445034,0.0,0.006119266897439954,0.0003009972659072238,0.11222789330141886,0.9476278748565627
pitch,px4_stabilized_pitch,rate_d_high_x1p188,rate_d_high,0.5,"{""MC_PITCHRATE_D"": 0.003028125109267338}",strong_doublet_A0p9_hold2,safe,False,safe,False,,True,True,0.29600024223327637,NO_WITNESS_FOUND_AT_HEADROOM_BOUNDARY,safe,robust_safe,not_tier1_violation,0.35,0.06069297343492508,0.043743330985307693,0.3062566690146923,0.0,-0.004811047762632373,-0.0003356807881525682,0.1249809456723077,0.7207313879951727
pitch,px4_stabilized_pitch,rate_d_high_x1p188,rate_d_high,0.5,"{""MC_PITCHRATE_D"": 0.003028125109267338}",pulse_train_A0p9_repeat3,safe,False,safe,False,,True,True,0.16000008583068848,NO_WITNESS_FOUND_AT_HEADROOM_BOUNDARY,safe,robust_safe,not_tier1_violation,0.35,0.05164100229740143,0.032512117177248,0.317487882822752,0.0,-0.008800684660673144,-0.0003402896737482536,0.09289176336356572,0.6295795149367969
pitch,px4_stabilized_pitch,rate_i_x3,rate_i_high,0.5,"{""MC_PITCHRATE_I"": 0.6000000089406966}",pulse_train_A0p7_repeat3,safe,False,safe,False,,True,True,0.15999984741210938,NO_WITNESS_FOUND_AT_HEADROOM_BOUNDARY,safe,robust_safe,not_tier1_violation,0.35,0.027359891682863235,0.0321025550365448,0.3178974449634552,0.0,0.010214641690254211,-0.0001429303119818352,0.09172158581869944,1.1733436450938917
pitch,px4_stabilized_pitch,rate_i_x3,rate_i_high,0.5,"{""MC_PITCHRATE_I"": 0.6000000089406966}",pulse_train_A1p0_repeat3,safe,False,safe,False,,True,True,0.14400005340576172,NO_WITNESS_FOUND_AT_HEADROOM_BOUNDARY,safe,robust_safe,not_tier1_violation,0.35,0.0359904021024704,0.035353247076272964,0.314646752923727,0.0,0.006560925394296646,0.0003062345093079081,0.1010092773607799,0.9822965293807123
pitch,px4_stabilized_pitch,rate_i_x3,rate_i_high,0.5,"{""MC_PITCHRATE_I"": 0.6000000089406966}",strong_doublet_A0p9_hold2,safe,False,safe,False,,True,True,0.15999984741210938,NO_WITNESS_FOUND_AT_HEADROOM_BOUNDARY,safe,robust_safe,not_tier1_violation,0.35,0.028774291276931763,0.04847501218318939,0.3015249878168106,0.0,0.025455579161643982,0.0007580760186749792,0.13850003480911255,1.684663984132656
pitch,px4_stabilized_pitch,rate_i_x3,rate_i_high,0.5,"{""MC_PITCHRATE_I"": 0.6000000089406966}",pulse_train_A0p9_repeat3,safe,False,safe,False,,True,True,0.2199995517730713,NO_WITNESS_FOUND_AT_HEADROOM_BOUNDARY,safe,robust_safe,not_tier1_violation,0.35,0.03189717233181,0.02901153825223446,0.3209884617477655,0.0,0.003493800386786459,-0.0001401000470167705,0.08289010929209846,0.9095332323016674
pitch,px4_stabilized_pitch,rate_d_low_x0p35,rate_d_low,0.5,"{""MC_PITCHRATE_D"": 0.00089250003220511}",pulse_train_A0p7_repeat3,safe,False,safe,False,,True,True,0.1400001049041748,NO_WITNESS_FOUND_AT_HEADROOM_BOUNDARY,safe,robust_safe,not_tier1_violation,0.35,0.027732912451028824,0.031532321125268936,0.31846767887473104,0.0,0.009345991164445875,1.8202644935914504e-05,0.09009234607219696,1.1369999880448605
pitch,px4_stabilized_pitch,rate_d_low_x0p35,rate_d_low,0.5,"{""MC_PITCHRATE_D"": 0.00089250003220511}",pulse_train_A1p0_repeat3,safe,False,safe,False,,True,True,0.303999662399292,NO_WITNESS_FOUND_AT_HEADROOM_BOUNDARY,safe,robust_safe,not_tier1_violation,0.35,0.019711749628186226,0.02086278237402439,0.3291372176259756,0.0,0.0050933826714754105,-0.00019760873549576685,0.05960794964006969,1.0583932308166233
