query_id,cache_tag,maneuver,axis,C_track_available,C_track_axis,baseline_nte_median,nte_threshold,peak_err_threshold_radps,high_err_duration_threshold_s,baseline_ratio_threshold,overlap_threshold_s,active_window_available,C_track_status,C_track_safe,C_track_violation,C_track_unavailable_reason,active_window_start_s,active_window_end_s,rms_sp,rms_err,nte,peak_err,high_err_duration_s,saturation_error_overlap_s,explicit_limit_or_saturation_during_high_error,baseline_ratio_ok,raw_log_path,nonlinear_observable,nonlinear_activated_in_active_window
0535b6bad6bfc1e8_px4_acro_roll_0_paramsadf559745d_Hboundary_roll_Hscale_0p65_Mstrong_P0_pulse_train_A1p0_repeat3_repeat0,Hboundary_roll_Hscale_0p65_Mstrong_P0_pulse_train_A1p0_repeat3_repeat0,pulse_train_A1p0_repeat3,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781006424.207,1781006425.607,0.6344526506641804,0.2595401240253583,0.409077216012349,0.8883585557341576,0.0,0.0,False,False,runs/mantis_Hboundary_px4_seed0_v0/queries/0535b6bad6bfc1e8_px4_acro_roll_0_paramsadf559745d_Hboundary_roll_Hscale_0p65_Mstrong_P0_pulse_train_A1p0_repeat3_repeat0/raw_log.ulg,True,True
1a893b15d861806e_px4_acro_roll_0_paramsadf559745d_Hboundary_roll_Hscale_0p65_Mstrong_P0_reversal_A0p9_fast_repeat0,Hboundary_roll_Hscale_0p65_Mstrong_P0_reversal_A0p9_fast_repeat0,reversal_A0p9_fast,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781006462.906,1781006464.702,1.1182737965282035,0.2719730580939093,0.24320793256381198,0.8899668001325702,0.0,0.0,False,False,runs/mantis_Hboundary_px4_seed0_v0/queries/1a893b15d861806e_px4_acro_roll_0_paramsadf559745d_Hboundary_roll_Hscale_0p65_Mstrong_P0_reversal_A0p9_fast_repeat0/raw_log.ulg,True,True
7b6436b0c98f6238_px4_stabilized_pitch_0_paramsf532584470_Hboundary_pitch_Hscale_0p6_M0_hover_no_input_repeat0,Hboundary_pitch_Hscale_0p6_M0_hover_no_input_repeat0,hover_no_input,pitch,True,pitch,,0.65,1.0,0.25,2.5,0.2,False,safe,True,False,,1781006426.066,1781006426.066,0.0,0.0,0.0,0.0,0.0,0.0,False,False,runs/mantis_Hboundary_px4_seed0_v0/queries/7b6436b0c98f6238_px4_stabilized_pitch_0_paramsf532584470_Hboundary_pitch_Hscale_0p6_M0_hover_no_input_repeat0/raw_log.ulg,,
8534bb1a14ed0591_px4_stabilized_pitch_0_paramsf532584470_Hboundary_pitch_Hscale_0p6_Msmall_small_step_pitch_repeat0,Hboundary_pitch_Hscale_0p6_Msmall_small_step_pitch_repeat0,small_step_pitch,pitch,True,pitch,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781006537.196,1781006537.392,0.32081280148031505,0.15607594478220774,0.4865016111016521,0.2716235419114431,0.0,0.0,False,False,runs/mantis_Hboundary_px4_seed0_v0/queries/8534bb1a14ed0591_px4_stabilized_pitch_0_paramsf532584470_Hboundary_pitch_Hscale_0p6_Msmall_small_step_pitch_repeat0/raw_log.ulg,True,True
f6e2f9116e805112_px4_stabilized_pitch_0_paramsf532584470_Hboundary_pitch_Hscale_0p6_Mstrong_P0_pulse_train_A0p7_repeat3_repeat0,Hboundary_pitch_Hscale_0p6_Mstrong_P0_pulse_train_A0p7_repeat3_repeat0,pulse_train_A0p7_repeat3,pitch,True,pitch,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781006575.911,1781006577.311,0.9903883125548959,0.7095934447275133,0.7164800268058308,2.0576526522636414,0.2200000286102295,0.2200000286102295,True,False,runs/mantis_Hboundary_px4_seed0_v0/queries/f6e2f9116e805112_px4_stabilized_pitch_0_paramsf532584470_Hboundary_pitch_Hscale_0p6_Mstrong_P0_pulse_train_A0p7_repeat3_repeat0/raw_log.ulg,True,True
f6e2f9116e805112_px4_stabilized_pitch_0_paramsf532584470_Hboundary_pitch_Hscale_0p6_Mstrong_P0_pulse_train_A1p0_repeat3_repeat0,Hboundary_pitch_Hscale_0p6_Mstrong_P0_pulse_train_A1p0_repeat3_repeat0,pulse_train_A1p0_repeat3,pitch,True,pitch,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781006617.864,1781006619.256,0.9305310772447303,0.6829813343769363,0.7339693977757519,2.125279128551483,0.09999990463256836,0.09999990463256836,True,False,runs/mantis_Hboundary_px4_seed0_v0/queries/f6e2f9116e805112_px4_stabilized_pitch_0_paramsf532584470_Hboundary_pitch_Hscale_0p6_Mstrong_P0_pulse_train_A1p0_repeat3_repeat0/raw_log.ulg,True,True
1c2d1caedf9d81b3_px4_stabilized_pitch_0_paramsf532584470_Hboundary_pitch_Hscale_0p6_Mstrong_P0_strong_doublet_A0p9_hold2_repeat0,Hboundary_pitch_Hscale_0p6_Mstrong_P0_strong_doublet_A0p9_hold2_repeat0,strong_doublet_A0p9_hold2,pitch,True,pitch,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781006655.867,1781006656.879,0.989745439581149,0.6763818898736823,0.6833897513687164,1.8178345682099462,0.12799978256225586,0.12799978256225586,True,False,runs/mantis_Hboundary_px4_seed0_v0/queries/1c2d1caedf9d81b3_px4_stabilized_pitch_0_paramsf532584470_Hboundary_pitch_Hscale_0p6_Mstrong_P0_strong_doublet_A0p9_hold2_repeat0/raw_log.ulg,True,True
f6e2f9116e805112_px4_stabilized_pitch_0_paramsf532584470_Hboundary_pitch_Hscale_0p6_Mstrong_P0_pulse_train_A0p9_repeat3_repeat0,Hboundary_pitch_Hscale_0p6_Mstrong_P0_pulse_train_A0p9_repeat3_repeat0,pulse_train_A0p9_repeat3,pitch,True,pitch,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781006694.744,1781006696.148,0.9829301594612514,0.7461084030346791,0.75906553060049,2.41144198179245,0.20399999618530273,0.20399999618530273,True,False,runs/mantis_Hboundary_px4_seed0_v0/queries/f6e2f9116e805112_px4_stabilized_pitch_0_paramsf532584470_Hboundary_pitch_Hscale_0p6_Mstrong_P0_pulse_train_A0p9_repeat3_repeat0/raw_log.ulg,True,True
7b6436b0c98f6238_px4_acro_roll_0_paramse298f3d3f5_Hboundary_roll_Hscale_0p6_M0_hover_no_input_repeat0,Hboundary_roll_Hscale_0p6_M0_hover_no_input_repeat0,hover_no_input,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,False,safe,True,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,runs/mantis_Hboundary_px4_seed0_v0/queries/7b6436b0c98f6238_px4_acro_roll_0_paramse298f3d3f5_Hboundary_roll_Hscale_0p6_M0_hover_no_input_repeat0/raw_log.ulg,,
77ddc9e0aa4f00eb_px4_acro_roll_0_paramse298f3d3f5_Hboundary_roll_Hscale_0p6_Msmall_small_step_roll_repeat0,Hboundary_roll_Hscale_0p6_Msmall_small_step_roll_repeat0,small_step_roll,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781006771.727,1781006771.931,0.3490658700466156,0.11695825268205187,0.3350606940358644,0.33268121593782574,0.0,0.0,False,False,runs/mantis_Hboundary_px4_seed0_v0/queries/77ddc9e0aa4f00eb_px4_acro_roll_0_paramse298f3d3f5_Hboundary_roll_Hscale_0p6_Msmall_small_step_roll_repeat0/raw_log.ulg,True,True
0535b6bad6bfc1e8_px4_acro_roll_0_paramse298f3d3f5_Hboundary_roll_Hscale_0p6_Mstrong_P0_pulse_train_A0p9_repeat3_repeat0,Hboundary_roll_Hscale_0p6_Mstrong_P0_pulse_train_A0p9_repeat3_repeat0,pulse_train_A0p9_repeat3,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781006810.451,1781006811.859,0.6344526506641804,0.2724270987401467,0.4293891726277049,0.8931800127029419,0.0,0.0,False,False,runs/mantis_Hboundary_px4_seed0_v0/queries/0535b6bad6bfc1e8_px4_acro_roll_0_paramse298f3d3f5_Hboundary_roll_Hscale_0p6_Mstrong_P0_pulse_train_A0p9_repeat3_repeat0/raw_log.ulg,True,True
0535b6bad6bfc1e8_px4_acro_roll_0_paramse298f3d3f5_Hboundary_roll_Hscale_0p6_Mstrong_P0_pulse_train_A0p7_repeat3_repeat0,Hboundary_roll_Hscale_0p6_Mstrong_P0_pulse_train_A0p7_repeat3_repeat0,pulse_train_A0p7_repeat3,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781006848.946,1781006850.342,0.6170670778667238,0.26816283596607005,0.4345764756939257,0.9033740758895874,0.0,0.0,False,False,runs/mantis_Hboundary_px4_seed0_v0/queries/0535b6bad6bfc1e8_px4_acro_roll_0_paramse298f3d3f5_Hboundary_roll_Hscale_0p6_Mstrong_P0_pulse_train_A0p7_repeat3_repeat0/raw_log.ulg,True,True
