eval_id,point_index,arm,stage,label,theta_hash,theta_path,repeats,point_elapsed_wall_time_s,max_abs_theta,amplitude_class,support_size_abs_gt_0p1,active_channels_abs_gt_0p1,robustness_class,negative_mean_rejected_by_2sigma_gate,distinct_signature,signature_active_channels,signature_window_band,signature_channel_signs,rho_mean_post_neutral_xy_drift,rho_std_post_neutral_xy_drift,rho_min_post_neutral_xy_drift,rho_max_post_neutral_xy_drift,rho_nonpositive_post_neutral_xy_drift,rho_mean_post_neutral_alt_drift,rho_std_post_neutral_alt_drift,rho_min_post_neutral_alt_drift,rho_max_post_neutral_alt_drift,rho_nonpositive_post_neutral_alt_drift,rho_mean_post_neutral_xy_velocity,rho_std_post_neutral_xy_velocity,rho_min_post_neutral_xy_velocity,rho_max_post_neutral_xy_velocity,rho_nonpositive_post_neutral_xy_velocity
0,0,A,uniform_random,sample0001,bd501966a1930d6f,artifacts/alt_drift_seed0_v0/thetas/A_00000_bd501966a1930d6f.npy,5,102.02660340999864,0.3743967142944108,interior,22,"pitch,roll,throttle,yaw",robust_safe,False,,,,,1.9060714408595163,0.04334844538622717,1.8607933323758603,1.9675483885774094,0,0.9901638984680176,0.002904917433677805,0.9879751205444336,0.9951348304748535,0,0.8295159247436505,0.038918893721104776,0.8004583482546399,0.8960980279006682,0
1,1,A,uniform_random,sample0002,b9a6f541d1f35109,artifacts/alt_drift_seed0_v0/thetas/A_00001_b9a6f541d1f35109.npy,5,102.2498467789992,0.549251508217494,moderate,29,"pitch,roll,throttle,yaw",robust_safe,False,,,,,1.755886476929876,0.04175259677750115,1.6920103140620817,1.8019291331604075,0,0.8935085296630859,0.007420840603210482,0.8806076049804688,0.8987236022949219,0,0.6104903674781031,0.039400408658724476,0.5578255079040746,0.6498807305857793,0
2,2,A,uniform_random,sample0003,4ea351ae2b8043f3,artifacts/alt_drift_seed0_v0/thetas/A_00002_4ea351ae2b8043f3.npy,5,103.09766044199932,0.938600000394374,saturated,37,"pitch,roll,throttle,yaw",robust_safe,False,,,,,-0.7767808175400855,0.11867004633956107,-0.8831500179490566,-0.6234862493042312,5,0.8277543067932129,0.005504891355300898,0.8181614875793457,0.8322687149047852,0,-1.494741375334108,0.11515265141811837,-1.5978425045672298,-1.3461040005840141,5
3,3,A,uniform_random,sample0004,36a5a0bc8a3952c9,artifacts/alt_drift_seed0_v0/thetas/A_00003_36a5a0bc8a3952c9.npy,5,102.55032516699976,0.8251526679044936,moderate,26,"pitch,roll,throttle,yaw",robust_safe,False,,,,,-2.452813582617072,0.24280172487684748,-2.717558590827876,-2.1816786862213755,5,0.9869277954101563,0.002775395925002936,0.9843859672546387,0.9912285804748535,0,-2.3279833200222746,0.15606714846375017,-2.495685428804963,-2.1202929451251076,5
4,4,A,uniform_random,sample0005,0ce013529b61a560,artifacts/alt_drift_seed0_v0/thetas/A_00004_0ce013529b61a560.npy,5,102.23369533500045,0.764105666890948,moderate,22,"pitch,roll,throttle,yaw",robust_safe,False,,,,,1.3912639029961091,0.04604894103647476,1.3402571385658855,1.4628035554925596,0,0.6477775573730469,0.015839166886854904,0.6250219345092773,0.6675357818603516,0,0.34556045539288016,0.02867792548903147,0.3225034539686772,0.3955989807038788,0
5,5,A,uniform_random,sample0006,38b4f7f1075a05f6,artifacts/alt_drift_seed0_v0/thetas/A_00005_38b4f7f1075a05f6.npy,5,96.17493668799943,0.881401797617124,moderate,26,"pitch,roll,throttle,yaw",robust_safe,False,,,,,1.8743547159748293,0.04432951116235765,1.8131105601878457,1.9134699029802376,0,0.9791704177856445,0.006096733396797113,0.9706015586853027,0.9871530532836914,0,0.8602604738370285,0.030055962017950414,0.8097757602443246,0.8840440546976841,0
6,6,A,uniform_random,sample0007,2ee401391d6f8ee9,artifacts/alt_drift_seed0_v0/thetas/A_00006_2ee401391d6f8ee9.npy,5,99.34422666499995,0.47391898156141987,interior,28,"pitch,roll,throttle,yaw",robust_safe,False,,,,,1.4784772496093628,0.01645525413537147,1.4499339563718328,1.4905532047594516,0,0.9430064201354981,0.007303804973078181,0.9320697784423828,0.950469970703125,0,0.34810598941457754,0.01908972573172147,0.3240865503263265,0.371299635247922,0
7,7,A,uniform_random,sample0008,1371ec87d9e48992,artifacts/alt_drift_seed0_v0/thetas/A_00007_1371ec87d9e48992.npy,5,101.97772258499936,0.8808255527956899,moderate,20,"pitch,roll,throttle,yaw",robust_safe,False,,,,,1.9626397827644055,0.010689219448894489,1.9497222241744234,1.9741013896718556,0,0.3762052536010742,0.05603333740256057,0.2791481018066406,0.4144611358642578,0,0.9679731149951328,0.009557790291795815,0.9551368085778411,0.9777592271302648,0
8,8,A,uniform_random,sample0009,cdb2620804c8b62d,artifacts/alt_drift_seed0_v0/thetas/A_00008_cdb2620804c8b62d.npy,5,98.78165102799903,0.4052953487361141,interior,24,"pitch,roll,throttle,yaw",robust_safe,False,,,,,1.2237251580913973,0.03008090590334913,1.192753303244316,1.2727943699511188,0,0.9909643173217774,0.002274034542715692,0.9889640808105469,0.9945216178894043,0,0.14739307940639965,0.02470577019932874,0.10605815283708575,0.16436367285401376,0
9,9,A,uniform_random,sample0010,d5b00ffc1e75c52e,artifacts/alt_drift_seed0_v0/thetas/A_00009_d5b00ffc1e75c52e.npy,5,99.5750898740007,0.5766638525222316,moderate,26,"pitch,roll,throttle,yaw",robust_safe,False,,,,,0.5330905004907853,0.05770505566615296,0.4537512054578219,0.5904808046456207,0,0.9772837638854981,0.005001112859436315,0.9709949493408203,0.9847264289855957,0,-0.3535769482448892,0.03144123117487853,-0.3959691014235116,-0.32100046308670227,5
