group_id,channel,window_id,t_start,t_end,boundary_theta_hash,delta_probe,repeat_count,base_rho_mean_post_neutral_alt_drift,rho_plus_mean_post_neutral_alt_drift,rho_minus_mean_post_neutral_alt_drift,rho_plus_std_post_neutral_alt_drift,rho_minus_std_post_neutral_alt_drift,rho_span_plus_minus,abs_delta_rho_span,directional_sensitivity,directional_sensitivity_se,plus_projection_linf_max,minus_projection_linf_max
0,roll,0,0.0,0.5,8da972d72aa8c361,0.2,5,0.015530014038085937,0.01609659194946289,0.017603492736816405,0.03587946190550129,0.015134917083376068,-0.0015069007873535142,0.0015069007873535142,0.0037672519683837856,0.04353736185377145,0.0,0.0
1,pitch,0,0.0,0.5,8da972d72aa8c361,0.2,5,0.015530014038085937,0.03155574798583984,0.02977275848388672,0.02462738645641118,0.027717510457098353,0.0017829895019531236,0.0017829895019531236,0.004457473754882809,0.041454320486723414,0.0,0.0
2,yaw,0,0.0,0.5,8da972d72aa8c361,0.2,5,0.015530014038085937,0.013272476196289063,0.005410003662109375,0.043367097276885994,0.027479273216752375,0.007862472534179689,0.007862472534179689,0.019656181335449222,0.05740008256465987,0.0,0.0
3,throttle,0,0.0,0.5,8da972d72aa8c361,0.2,5,0.015530014038085937,0.01784515380859375,0.024185371398925782,0.025363086725982243,0.04446442847218153,-0.006340217590332032,0.006340217590332032,0.015850543975830078,0.0572316735692248,0.147265625,0.147265625
4,roll,1,0.5,1.0,8da972d72aa8c361,0.2,5,0.015530014038085937,0.02139453887939453,0.025279808044433593,0.03011637986088657,0.02029483700916604,-0.0038852691650390625,0.0038852691650390625,0.009713172912597656,0.04060290545567259,0.0,0.0
5,pitch,1,0.5,1.0,8da972d72aa8c361,0.2,5,0.015530014038085937,0.04022636413574219,0.01698017120361328,0.028128982558796253,0.023754620261547916,0.023246192932128908,0.023246192932128908,0.058115482330322266,0.04116311521804755,0.0,0.0
6,yaw,1,0.5,1.0,8da972d72aa8c361,0.2,5,0.015530014038085937,0.036923789978027345,0.00226593017578125,0.02692838076026096,0.019172453293255245,0.034657859802246095,0.034657859802246095,0.08664464950561523,0.036958095453696715,0.0,0.0
7,throttle,1,0.5,1.0,8da972d72aa8c361,0.2,5,0.015530014038085937,0.024889373779296876,0.008156204223632812,0.028162659087765378,0.015275993194108922,0.016733169555664062,0.016733169555664062,0.041832923889160156,0.03582058303127121,0.14726562499999996,0.147265625
8,roll,2,1.0,1.5,8da972d72aa8c361,0.2,5,0.015530014038085937,0.015587043762207032,0.012310981750488281,0.03897402744496226,0.0269647679442202,0.0032760620117187507,0.0032760620117187507,0.008190155029296877,0.052986714438224,0.0,0.0
9,pitch,2,1.0,1.5,8da972d72aa8c361,0.2,5,0.015530014038085937,0.018586349487304688,0.007443046569824219,0.009409618561814947,0.025513956751949347,0.011143302917480469,0.011143302917480469,0.027858257293701172,0.030403595811581113,0.0,0.0
10,yaw,2,1.0,1.5,8da972d72aa8c361,0.2,5,0.015530014038085937,0.01595306396484375,0.009674072265625,0.029907993916841364,0.02928004995528464,0.00627899169921875,0.00627899169921875,0.015697479248046875,0.04679489055326692,0.0,0.0
11,throttle,2,1.0,1.5,8da972d72aa8c361,0.2,5,0.015530014038085937,0.01987800598144531,0.03168964385986328,0.018400937932053003,0.021492967568773853,-0.01181163787841797,0.01181163787841797,0.029529094696044925,0.031633490395695185,0.14726562499999996,0.14726562499999996
12,roll,3,1.5,2.0,8da972d72aa8c361,0.2,5,0.015530014038085937,0.002338409423828125,0.01999664306640625,0.019611480413758927,0.04089383614055369,-0.017658233642578125,0.017658233642578125,0.04414558410644531,0.0507064591337941,0.0,0.0
13,pitch,3,1.5,2.0,8da972d72aa8c361,0.2,5,0.015530014038085937,0.03671760559082031,0.019690704345703126,0.042063868309577104,0.01639270644321355,0.017026901245117184,0.017026901245117184,0.042567253112792955,0.05047387742311388,0.0,0.0
14,yaw,3,1.5,2.0,8da972d72aa8c361,0.2,5,0.015530014038085937,0.03162574768066406,0.025955581665039064,0.03781535491763871,0.036952070465364764,0.005670166015624999,0.005670166015624999,0.014175415039062497,0.05911277970143453,0.0,0.0
15,throttle,3,1.5,2.0,8da972d72aa8c361,0.2,5,0.015530014038085937,0.037947463989257815,0.014705085754394531,0.0399006701844268,0.016007924528007787,0.023242378234863283,0.023242378234863283,0.0581059455871582,0.04806658310173501,0.14726562499999996,0.0
16,roll,4,2.0,2.5,8da972d72aa8c361,0.2,5,0.015530014038085937,0.007256889343261718,0.007085418701171875,0.013460106894839875,0.01605183018165519,0.00017147064208984306,0.00017147064208984306,0.00042867660522460764,0.023421030341373016,0.0,0.0
17,pitch,4,2.0,2.5,8da972d72aa8c361,0.2,5,0.015530014038085937,0.021661758422851562,0.03161487579345703,0.03037633443601837,0.029558168228664722,-0.009953117370605467,0.009953117370605467,0.02488279342651367,0.0473867993591422,0.0,0.0
18,yaw,4,2.0,2.5,8da972d72aa8c361,0.2,5,0.015530014038085937,0.017941856384277345,0.03875312805175781,0.04219833623944339,0.02422379127757091,-0.020811271667480466,0.020811271667480466,0.052028179168701165,0.05440004187999814,0.0,0.0
19,throttle,4,2.0,2.5,8da972d72aa8c361,0.2,5,0.015530014038085937,0.030507469177246095,0.01712665557861328,0.04679849854377584,0.04328907058494581,0.013380813598632815,0.013380813598632815,0.03345203399658204,0.07127449664904875,0.0,0.0
20,roll,5,2.5,3.0,8da972d72aa8c361,0.2,5,0.015530014038085937,0.030016136169433594,0.033304595947265626,0.036479793365700515,0.02428699544716192,-0.003288459777832032,0.003288459777832032,0.00822114944458008,0.04899787587047359,0.0,0.0
21,pitch,5,2.5,3.0,8da972d72aa8c361,0.2,5,0.015530014038085937,0.01571025848388672,0.013894462585449218,0.024517779195407364,0.026507425030266027,0.0018157958984375017,0.0018157958984375017,0.004539489746093754,0.04036962159857837,0.0,0.0
22,yaw,5,2.5,3.0,8da972d72aa8c361,0.2,5,0.015530014038085937,0.018508148193359376,0.024791145324707033,0.021392825532826572,0.009525003660667969,-0.006282997131347657,0.006282997131347657,0.01570749282836914,0.026181545958310376,0.0,0.0
23,throttle,5,2.5,3.0,8da972d72aa8c361,0.2,5,0.015530014038085937,0.006528091430664062,0.04865818023681641,0.02220653405624768,0.010934686389511492,-0.04213008880615235,0.04213008880615235,0.10532522201538087,0.027674390716605126,0.0,0.0
24,roll,6,3.0,3.5,8da972d72aa8c361,0.2,5,0.015530014038085937,0.025691986083984375,0.014263916015625,0.009980230290371556,0.02745290143944321,0.011428070068359376,0.011428070068359376,0.028570175170898438,0.0326585898748827,0.0,0.0
25,pitch,6,3.0,3.5,8da972d72aa8c361,0.2,5,0.015530014038085937,0.014098739624023438,0.01887969970703125,0.019008813428887664,0.021189093387173803,-0.0047809600830078115,0.0047809600830078115,0.011952400207519528,0.03182594591179955,0.0,0.0
26,yaw,6,3.0,3.5,8da972d72aa8c361,0.2,5,0.015530014038085937,0.02218208312988281,0.019698905944824218,0.02466482709792119,0.02833141269651042,0.002483177185058593,0.002483177185058593,0.006207942962646483,0.04199736064847318,0.0,0.0
27,throttle,6,3.0,3.5,8da972d72aa8c361,0.2,5,0.015530014038085937,0.0012439727783203126,0.0064791679382324215,0.014695435751834603,0.10228375607847373,-0.005235195159912109,0.005235195159912109,0.013087987899780273,0.11553096224312019,0.0,0.0
28,roll,7,3.5,4.0,8da972d72aa8c361,0.2,5,0.015530014038085937,0.012957382202148437,0.031069374084472655,0.03310893349718926,0.02827078201812226,-0.018111991882324218,0.018111991882324218,0.04527997970581054,0.048675437764306315,0.0,0.0
29,pitch,7,3.5,4.0,8da972d72aa8c361,0.2,5,0.015530014038085937,0.030339431762695313,0.022760391235351562,0.03551103646676049,0.01609075030877156,0.007579040527343751,0.007579040527343751,0.018947601318359375,0.04358821452587307,0.0,0.0
30,yaw,7,3.5,4.0,8da972d72aa8c361,0.2,5,0.015530014038085937,0.03535385131835937,0.007129478454589844,0.0202769307870111,0.013596789891514399,0.02822437286376953,0.02822437286376953,0.07056093215942381,0.02729529761458983,0.0,0.0
31,throttle,7,3.5,4.0,8da972d72aa8c361,0.2,5,0.015530014038085937,0.07248935699462891,0.0759286880493164,0.05157237900556344,0.022259895028877492,-0.0034393310546874944,0.0034393310546874944,0.008598327636718736,0.06280140526881271,0.0,0.0
32,roll,8,4.0,4.5,8da972d72aa8c361,0.2,5,0.015530014038085937,0.0356658935546875,0.02116050720214844,0.024218917942789707,0.024135046459243716,0.014505386352539062,0.014505386352539062,0.036263465881347656,0.03822722285736687,0.0,0.0
33,pitch,8,4.0,4.5,8da972d72aa8c361,0.2,5,0.015530014038085937,0.04010829925537109,0.039671134948730466,0.0256530997602286,0.044883313819250426,0.0004371643066406264,0.0004371643066406264,0.001092910766601566,0.05779914993649946,0.0,0.0
34,yaw,8,4.0,4.5,8da972d72aa8c361,0.2,5,0.015530014038085937,0.041567230224609376,0.029628181457519533,0.018926158628563297,0.01881895584091566,0.011939048767089844,0.011939048767089844,0.02984762191772461,0.02984025342083815,0.0,0.0
35,throttle,8,4.0,4.5,8da972d72aa8c361,0.2,5,0.015530014038085937,-0.8918251037597656,-0.32761344909667967,0.16351846718759677,0.1020142527653111,-0.564211654663086,0.564211654663086,1.4105291366577148,0.21547968836599757,0.0,0.0
36,roll,9,4.5,5.0,8da972d72aa8c361,0.2,5,0.015530014038085937,0.029936790466308594,0.010553359985351562,0.01647972796909442,0.017068236578552918,0.01938343048095703,0.01938343048095703,0.04845857620239258,0.026526075233550966,0.0,0.0
37,pitch,9,4.5,5.0,8da972d72aa8c361,0.2,5,0.015530014038085937,0.0300018310546875,0.05075492858886719,0.023696843526486298,0.02326629759676204,-0.020753097534179688,0.020753097534179688,0.05188274383544922,0.03712918321515891,0.0,0.0
38,yaw,9,4.5,5.0,8da972d72aa8c361,0.2,5,0.015530014038085937,0.027045440673828126,0.03644695281982422,0.025079874870813475,0.027366202300178777,-0.009401512145996094,0.009401512145996094,0.023503780364990234,0.04150164382090743,0.0,0.0
39,throttle,9,4.5,5.0,8da972d72aa8c361,0.2,5,0.015530014038085937,-1.9944330215454102,0.623345947265625,0.05548601478021519,0.016173461683987214,-2.6177789688110353,2.6177789688110353,6.544447422027588,0.06461693565770568,0.0,0.0
