metric,value,n,scope,p_value
gentlest_max_abs_theta_range,0.1640625,3,"Arm C gentlest robust violation, seeds 0/1/2",
gentlest_max_abs_theta_mean,0.3776041666666667,3,"Arm C gentlest robust violation, seeds 0/1/2",
gentlest_max_abs_theta_sample_cv,0.22695838168143906,3,"Arm C gentlest robust violation, seeds 0/1/2",
spearman_max_abs_theta_vs_duration_windows,-0.31604966549174185,36,"All Arm C interior violations, seeds 0/1/2",0.06040464067792564
spearman_max_abs_theta_vs_support,-0.3681593108621096,36,"All Arm C interior violations, seeds 0/1/2",0.027157672612427484
