stage,param_candidate,overrides_json,m0_class,msmall_class,m0_safe,msmall_safe,retained,candidate_status,boundary_margin,m0_contract_class,m0_tier1_robustness_class,m0_tier2_robustness_class,m0_threshold_mean,m0_tail_start_peak_abs_rate_mean,m0_terminal_peak_abs_rate_mean,m0_rho_tier1_mean,m0_rho_tier1_std,m0_nondecay_ratio_margin_mean,m0_nondecay_slope_margin_mean,m0_terminal_peak_over_threshold,m0_terminal_over_start_peak,msmall_contract_class,msmall_tier1_robustness_class,msmall_tier2_robustness_class,msmall_threshold_mean,msmall_tail_start_peak_abs_rate_mean,msmall_terminal_peak_abs_rate_mean,msmall_rho_tier1_mean,msmall_rho_tier1_std,msmall_nondecay_ratio_margin_mean,msmall_nondecay_slope_margin_mean,msmall_terminal_peak_over_threshold,msmall_terminal_over_start_peak
B_param_small_signal_filter,rate_p_x1p5,"{""MC_ROLLRATE_P"": 0.45000001788139343}",safe,safe,True,True,True,,0.11353912098067148,safe,robust_safe,not_tier1_violation,0.35,0.04729768633842468,0.039738692343235016,0.31026130765676496,0.0,0.001900543272495267,-0.00025272820427065646,0.11353912098067148,0.8401825843847095,safe,robust_safe,not_tier1_violation,0.35,0.02269553579390049,0.023392602801322937,0.32660739719867704,0.0,0.0052361741662025445,6.683901021247426e-05,0.06683600800377983,1.030713837899777
B_param_small_signal_filter,rate_p_x2p0,"{""MC_ROLLRATE_P"": 0.5}",violation_like,violation_like,False,False,False,INVALID_PURE_PARAM,5.381603922162737,violation_like,robust_violation,robust_violation,0.35,1.8604038953781128,1.8802578449249268,-1.5302578449249267,0.0,0.3919347286224364,0.0065434370200428485,5.372165271214077,1.0106718490517774,violation_like,robust_violation,robust_violation,0.35,1.8924453258514404,1.883561372756958,-1.533561372756958,0.0,0.3696051120758055,0.003237151010295589,5.381603922162737,0.9953055694803308
B_param_small_signal_filter,rate_p_x3p0,"{""MC_ROLLRATE_P"": 0.5}",violation_like,violation_like,False,False,False,INVALID_PURE_PARAM,5.369127477918353,violation_like,robust_violation,robust_violation,0.35,1.8673841953277588,1.8791946172714233,-1.5291946172714233,0.0,0.3852872610092162,0.00013904052996745883,5.369127477918353,1.0063245806477394,violation_like,robust_violation,robust_violation,0.35,1.882355809211731,1.872228741645813,-1.522228741645813,0.0,0.3663440942764282,0.0012270618925632124,5.349224976130895,0.994620003552804
B_param_small_signal_filter,rate_d_x0p5,"{""MC_ROLLRATE_D"": 0.000750000006519258}",violation_like,violation_like,False,False,False,INVALID_PURE_PARAM,5.534926823207311,violation_like,robust_violation,robust_violation,0.35,1.90024995803833,1.9372243881225586,-1.5872243881225585,0.0,0.41702442169189435,-0.0009339617188291076,5.534926823207311,1.019457666570559,violation_like,robust_violation,robust_violation,0.35,1.8694093227386475,1.893979549407959,-1.543979549407959,0.0,0.39845209121704084,0.014804874499943244,5.411370141165597,1.0131433102266316
B_param_small_signal_filter,rate_d_x1p5,"{""MC_ROLLRATE_D"": 0.002250000019557774}",violation_like,violation_like,False,False,False,INVALID_PURE_PARAM,5.332357883453369,violation_like,robust_violation,robust_violation,0.35,1.8446052074432373,1.8520898818969727,-1.5020898818969726,0.0,0.3764057159423828,0.002426699193211014,5.291685376848494,1.0040576023658252,violation_like,robust_violation,robust_violation,0.35,1.8481225967407227,1.8663252592086792,-1.516325259208679,0.0,0.387827181816101,-0.006545118001051322,5.332357883453369,1.0098492721749401
B_param_small_signal_filter,rate_p_x2p0_rate_d_x0p5,"{""MC_ROLLRATE_D"": 0.000750000006519258, ""MC_ROLLRATE_P"": 0.5}",safe,violation_like,True,False,False,INVALID_PURE_PARAM,5.4057993207659045,safe,robust_safe,not_tier1_violation,0.35,0.09860215336084366,0.04600248485803604,0.30399751514196394,0.0,-0.0328792378306389,-0.0055124957480787926,0.13143567102296014,0.46654645248654675,violation_like,robust_violation,robust_violation,0.35,1.8831160068511963,1.8920297622680664,-1.5420297622680663,0.0,0.3855369567871092,0.003556595035886472,5.4057993207659045,1.0047335136998676
B_param_small_signal_filter,rate_p_x2p0_att_p_x1p5,"{""MC_ROLLRATE_P"": 0.5, ""MC_ROLL_P"": 12.0}",violation_like,violation_like,False,False,False,INVALID_PURE_PARAM,5.459544658660889,violation_like,robust_violation,robust_violation,0.35,1.89371657371521,1.8977364301681519,-1.5477364301681518,0.0,0.3827631711959838,-0.00420821863908568,5.42210408619472,1.0021227339448455,violation_like,robust_violation,robust_violation,0.35,1.8303000926971436,1.910840630531311,-1.560840630531311,0.0,0.4466005563735962,-0.0023605766693527578,5.459544658660889,1.0440040068595977
B_param_small_signal_filter,rate_i_x1p5,"{""MC_ROLLRATE_I"": 0.45000001788139343}",violation_like,violation_like,False,False,False,INVALID_PURE_PARAM,5.5608936718532025,violation_like,robust_violation,robust_violation,0.35,1.9020743370056152,1.9140533208847046,-1.5640533208847045,0.0,0.3923938512802123,0.0009466571660458209,5.468723773956299,1.0062978526370046,violation_like,robust_violation,robust_violation,0.35,1.8709064722061157,1.9463127851486206,-1.5963127851486205,0.0,0.44958760738372794,0.008810386232109864,5.5608936718532025,1.0403046940414868
