eval_id,point_index,arm,stage,label,theta_hash,max_abs_theta,amplitude_class,support_size_abs_gt_0p1,active_channels_abs_gt_0p1,robustness_class,negative_mean_rejected_by_2sigma_gate,distinct_signature,signature_active_channels,signature_window_band,signature_channel_signs,rho_mean_post_neutral_alt_drift,rho_std_post_neutral_alt_drift,is_interior_robust_violation,is_channel_pure
160,0,C,zero_anchor,zero,7b6436b0c98f6238,0.0,interior,0,,robust_safe,False,,,,,0.9933549880981444,0.0032252576906378,False,False
161,1,C,duration_sweep_endpoint,swp0000_throttle_m_w00_d01,9cd786cc3458b6fe,0.25,interior,1,throttle,robust_safe,False,channels=throttle;time=w00-w00;signs=throttle:-,throttle,w00-w00,throttle:-,0.9888565063476562,0.0037703663295124,False,True
162,2,C,duration_sweep_endpoint,swp0001_throttle_p_w00_d01,f0edfab3ea5a43ff,0.25,interior,1,throttle,robust_safe,False,channels=throttle;time=w00-w00;signs=throttle:+,throttle,w00-w00,throttle:+,0.988114070892334,0.0069110172690325,False,True
163,3,C,duration_sweep_endpoint,swp0002_throttle_m_w00_d02,5b90281a128740e5,0.5,interior,3,throttle,robust_safe,False,channels=throttle;time=w00-w01;signs=throttle:-,throttle,w00-w01,throttle:-,0.985481071472168,0.0038651356557742,False,True
164,4,C,duration_sweep_endpoint,swp0003_throttle_p_w00_d02,9c6db0c7b1169941,0.5,interior,3,throttle,robust_safe,False,channels=throttle;time=w00-w01;signs=throttle:+,throttle,w00-w01,throttle:+,0.9803958892822264,0.0081349531853122,False,True
165,5,C,duration_sweep_endpoint,swp0004_throttle_m_w00_d03,4126d7e48fe1b600,0.75,moderate,5,throttle,robust_safe,False,channels=throttle;time=w00-w02;signs=throttle:-,throttle,w00-w02,throttle:-,0.9800209045410156,0.0053718073644995,False,True
166,6,C,duration_sweep_endpoint,swp0005_throttle_p_w00_d03,a6aeb6714e0e2c77,0.75,moderate,5,throttle,robust_safe,False,channels=throttle;time=w00-w02;signs=throttle:+,throttle,w00-w02,throttle:+,0.965089225769043,0.0111357522508681,False,True
167,7,C,duration_sweep_endpoint,swp0006_throttle_m_w00_d04,43754186200459c3,1.0,saturated,7,throttle,robust_safe,False,channels=throttle;time=w00-w03;signs=throttle:-,throttle,w00-w03,throttle:-,0.9770534992218016,0.0049230042830149,False,True
168,8,C,duration_sweep_endpoint,swp0007_throttle_p_w00_d04,63ec635c4b0c5241,1.0,saturated,7,throttle,robust_safe,False,channels=throttle;time=w00-w03;signs=throttle:+,throttle,w00-w03,throttle:+,0.9576223373413086,0.010758958548117,False,True
169,9,C,duration_sweep_endpoint,swp0008_throttle_m_w00_d05,0848873731e7b15f,1.0,saturated,8,throttle,robust_safe,False,channels=throttle;time=w00-w04;signs=throttle:-,throttle,w00-w04,throttle:-,0.9839947700500488,0.002129954656017,False,True
170,10,C,duration_sweep_endpoint,swp0009_throttle_p_w00_d05,d87cc7f3fdb330ff,1.0,saturated,8,throttle,robust_safe,False,channels=throttle;time=w00-w04;signs=throttle:+,throttle,w00-w04,throttle:+,0.9665603637695312,0.0082892525578516,False,True
171,11,C,duration_sweep_endpoint,swp0010_throttle_m_w00_d06,29e675fc102ec837,1.0,saturated,9,throttle,robust_safe,False,channels=throttle;time=w00-w05;signs=throttle:-,throttle,w00-w05,throttle:-,0.9841591358184816,0.004404973294413,False,True
172,12,C,duration_sweep_endpoint,swp0011_throttle_p_w00_d06,abd402e699963b5d,1.0,saturated,9,throttle,robust_safe,False,channels=throttle;time=w00-w05;signs=throttle:+,throttle,w00-w05,throttle:+,0.9467220306396484,0.0170265354942154,False,True
173,13,C,duration_sweep_endpoint,swp0012_throttle_m_w00_d07,545617d9d6b524dc,1.0,saturated,10,throttle,robust_safe,False,channels=throttle;time=w00-w06;signs=throttle:-,throttle,w00-w06,throttle:-,0.9527017593383788,0.0050482543076024,False,True
174,14,C,duration_sweep_endpoint,swp0013_throttle_p_w00_d07,b2f43b8ee0ec04cc,1.0,saturated,10,throttle,robust_safe,False,channels=throttle;time=w00-w06;signs=throttle:+,throttle,w00-w06,throttle:+,0.8650402069091797,0.0275305689329109,False,True
175,15,C,duration_sweep_endpoint,swp0014_throttle_m_w00_d08,00a9e5528c4156db,1.0,saturated,10,throttle,robust_safe,False,channels=throttle;time=w00-w07;signs=throttle:-,throttle,w00-w07,throttle:-,0.8910727500915527,0.0039444817743394,False,True
