stage,maneuver,param_candidate,contract_class,default_strong_safe,tier1_robustness_class,tier2_robustness_class,threshold_mean,tail_start_peak_abs_rate_mean,terminal_peak_abs_rate_mean,rho_tier1_mean,rho_tier1_std,nondecay_ratio_margin_mean,nondecay_slope_margin_mean,terminal_peak_over_threshold,terminal_over_start_peak
A_default_strong_safety,strong_step_roll_0p5,P0,safe,True,robust_safe,not_tier1_violation,0.35,0.02136094495654106,0.019054414704442024,0.33094558529555795,0.0,0.001965658739209175,-0.0001428480669459883,0.05444118486983436,0.8920211508998462
A_default_strong_safety,strong_step_roll_0p5_hold2,P0,safe,True,robust_safe,not_tier1_violation,0.35,0.018862158060073853,0.01699735037982464,0.33300264962017534,0.0,0.001907623931765556,7.488218183774513e-05,0.0485638582280704,0.9011349775402151
A_default_strong_safety,strong_doublet_roll_0p5,P0,safe,True,robust_safe,not_tier1_violation,0.35,0.021561376750469208,0.019114244729280472,0.3308857552707195,0.0,0.0018651433289051042,0.00010399627233736621,0.05461212779794421,0.8865039069856482
A_default_strong_safety,strong_step_roll_0p7,P0,safe,True,robust_safe,not_tier1_violation,0.35,0.0218806155025959,0.023844417184591293,0.3261555828154087,0.0,0.006339924782514571,5.3279416924938187e-05,0.06812690624168942,1.0897507513791103
A_default_strong_safety,strong_doublet_A0p7_hold1,P0,safe,True,robust_safe,not_tier1_violation,0.35,0.018094979226589203,0.02337717078626156,0.3266228292137384,0.0,0.008901187404990196,0.00012808960262738851,0.06679191653217588,1.291914762295531
A_default_strong_safety,strong_doublet_A0p9_hold1,P0,safe,True,robust_safe,not_tier1_violation,0.35,0.01949804648756981,0.01773061975836754,0.33226938024163244,0.0,0.002132182568311691,-0.00015470983311596765,0.05065891359533583,0.9093536508732286
A_default_strong_safety,strong_doublet_A0p9_hold2,P0,safe,True,robust_safe,not_tier1_violation,0.35,0.016348809003829956,0.0240760650485754,0.3259239349514246,0.0,0.010997017845511436,9.718155161243965e-05,0.068788757281644,1.4726494781935013
A_default_strong_safety,pulse_train_A0p7_repeat3,P0,safe,True,robust_safe,not_tier1_violation,0.35,0.018553858622908592,0.017105093225836754,0.3328949067741632,0.0,0.002262006327509879,-3.5795639860456685e-05,0.048871694930962155,0.9219156819874096
A_default_strong_safety,pulse_train_A0p9_repeat3,P0,safe,True,robust_safe,not_tier1_violation,0.35,0.02400517649948597,0.021765941753983498,0.3282340582460165,0.0,0.0025618005543947206,-2.8417241168906103e-05,0.062188405011381426,0.9067186718851902
A_default_strong_safety,reversal_A0p9_fast,P0,safe,True,robust_safe,not_tier1_violation,0.35,0.022390587255358696,0.018082687631249428,0.33191731236875055,0.0,0.000170217826962471,5.2847897450858654e-05,0.051664821803569794,0.8076022046684699
