name,default_value,readback_type,min,max,rebootRequired
MC_ROLLRATE_D,0.001500000013038516,9,0.0,0.01,False
MC_ROLLRATE_I,0.30000001192092896,9,0.0,,False
MC_ROLLRATE_K,1.0,9,0.01,5.0,False
MC_ROLLRATE_P,0.30000001192092896,9,0.01,0.5,False
MC_ROLL_P,9.75,9,0.0,12.0,False
