alpha,label,theta_hash,repeats,snapshot_source,snapshot_dir,rho_mean_post_neutral_xy_drift,rho_mean_post_neutral_alt_drift,rho_mean_post_neutral_xy_velocity,rho_std_post_neutral_xy_drift,rho_std_post_neutral_alt_drift,rho_std_post_neutral_xy_velocity
0.0,a000,c6fcdc238c51e0a5,3,reused_center_snapshot,runs/archive/rq1_zero_theta_sph_rejected/legacy_rq1_minimal_v0/snapshots/px4_position_seed0_7b6436b0c98f6238_phase2_px4_seed0_j5_denoise_j5,1.9627650248866788,0.9894782702128092,0.9728721031671257,0.01489684049924287,0.0035569939516525914,0.004515437642478594
0.15,a150,a86c5312df45f0da,3,new_snapshot,runs/margin_stage1_redo_v1/snapshots/px4_position_seed0_a86c5312df45f0da_stage1_redo_alpha_a150_fd_j3,1.9375693864088124,0.99444580078125,0.9554792010477966,0.023197611296966795,0.0019094645565366699,0.009922369474888641
0.25,a250,cd062cb754b24e05,3,new_snapshot,runs/margin_stage1_redo_v1/snapshots/px4_position_seed0_cd062cb754b24e05_stage1_redo_alpha_a250_fd_j3,1.711289149080243,0.9755978584289551,0.6192388314748131,0.015123962255530527,0.0033724010263276763,0.008992439406969931
0.35,a350,6a5c507dfcb258d3,3,new_snapshot,runs/margin_stage1_redo_v1/snapshots/px4_position_seed0_6a5c507dfcb258d3_stage1_redo_alpha_a350_fd_j3,1.5102204197432032,0.9458440144856771,0.42690613966578667,0.06906897796868056,0.007399747017654632,0.050746352886895364
0.44921875,V,3248eac8d31a9542,5,reused_pointV_snapshot,runs/margin_stage1_v1/snapshots/px4_position_seed0_3248eac8d31a9542_stage1_pointV_fd_j5,1.0992347247527339,0.9104436874389649,0.05855809661957334,0.030227672291962136,0.011521862349670384,0.02667986983305061
