scope_label,platform,scenario,audit_scope,source,seed,arm,eval_id,trigger_id,theta_hash,orig_label,expected_repeats,query_repeat_rows,parsed_log_repeats,raw_ulg_repeats_without_parsed,recoverable_from_parsed_logs,recoverable_from_existing_logs,needs_resimulation
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,93.0,,3de5a477d9069beb,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,94.0,,9962ebe993239ba9,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,95.0,,78939194a89760c3,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,96.0,,8b47a7bc4baf7870,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,97.0,,1ab5c0d0f90b9060,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,101.0,,6235a5ca31a58eae,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,102.0,,544d6e40aece4ddf,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,103.0,,0437bec243076160,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,104.0,,286beacbb7123abe,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,105.0,,86299434d1ec5381,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,107.0,,4f9e4e8096aeac56,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,108.0,,984dcf5bfdc2790e,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,110.0,,1bf73d3db398b829,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,111.0,,d8e2034911c09075,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,112.0,,d367b0598478ef30,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,113.0,,e42eeb10fbb8320d,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,115.0,,b0712a96bc84ee9f,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,116.0,,9fd92bf79a81d85e,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,118.0,,3b9381ae09e2dd94,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,119.0,,1875150e5456d715,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,120.0,,9e1a1c2831c8bc81,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,122.0,,39bf14fc9055198d,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,124.0,,9bdf6a9196bedefc,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,125.0,,9cf3a8c9bf55d9b3,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,126.0,,d5c47f31e940efa0,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,127.0,,e8fb02c810efd98a,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,129.0,,6020ea7db8eea01d,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,130.0,,7af19d2df60ff8f6,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,135.0,,4dff0c6730ce3189,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,136.0,,719bac3967f256d1,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,137.0,,6e5860bc000c85c1,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,138.0,,c121365910588777,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,141.0,,7777a6190dca6052,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,142.0,,fc8c9794069095d9,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,143.0,,9e470552aff09193,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,144.0,,0dddd209d6b8301b,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,145.0,,847524d6f931ec81,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,146.0,,a4ed234a38c79e80,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,147.0,,b6f37638eecd435d,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,150.0,,f683a5684a3befee,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,151.0,,a640eec192e42a4d,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,152.0,,2d684410f9b2ab97,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,153.0,,8c23b71f2705ce9c,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,B,158.0,,173f4cde14f29257,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,C,163.0,,ac6795681779fc7b,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,C,164.0,,0556702a8ad39731,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,C,168.0,,7307155a039ce0db,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,C,169.0,,1db8afa1b3adfc35,noise_band,5,5,5,0,True,True,False
