H_scale,admissible,rejection_reason,M0_C_recover_status,M0_C_track_status,Msmall_C_recover_status,Msmall_C_track_status,Mstrong_default_max_recover_ratio,Mstrong_default_max_track_nte,Mstrong_default_max_track_baseline_ratio,nonlinear_observable,nonlinear_activation_rate,max_saturation_overlap_s,selected_as_Hstar
0.65,True,,safe,safe,safe,safe,0.15466279217175075,0.8458467957431803,,True,1.0,0.23999977111816406,False
0.6,True,,safe,safe,safe,safe,0.13232173664229258,0.75906553060049,,True,1.0,0.2200000286102295,False
0.55,True,,safe,safe,safe,safe,0.14864005148410797,0.7951989036270298,,True,1.0,0.2199997901916504,False
0.5,True,,safe,safe,safe,safe,0.11569266872746604,0.7189471699423575,,True,1.0,0.20400023460388184,True
