eval_id,point_index,arm,stage,label,theta_hash,theta_path,repeats,point_elapsed_wall_time_s,max_abs_theta,amplitude_class,support_size_abs_gt_0p1,active_channels_abs_gt_0p1,robustness_class,negative_mean_rejected_by_2sigma_gate,rho_mean_post_neutral_xy_drift,rho_std_post_neutral_xy_drift,rho_min_post_neutral_xy_drift,rho_max_post_neutral_xy_drift,rho_nonpositive_post_neutral_xy_drift,rho_mean_post_neutral_alt_drift,rho_std_post_neutral_alt_drift,rho_min_post_neutral_alt_drift,rho_max_post_neutral_alt_drift,rho_nonpositive_post_neutral_alt_drift,rho_mean_post_neutral_xy_velocity,rho_std_post_neutral_xy_velocity,rho_min_post_neutral_xy_velocity,rho_max_post_neutral_xy_velocity,rho_nonpositive_post_neutral_xy_velocity
89,9,B,random_endpoint,rand0002,6e2dbe674451d227,runs/direction_a_px4_position_seed2_v0/thetas/B_00089_6e2dbe674451d227.npy,5,103.1301292279968,0.48406394986931234,interior,31,"pitch,roll,throttle,yaw",robust_violation,False,0.6845612439172456,0.08265082356818247,0.585643737738387,0.7792506286455037,0,0.78975830078125,0.025504297102298262,0.7476282119750977,0.8165187835693359,0,-0.18106247597346684,0.04523149342716474,-0.22919496508795967,-0.1301841438566227,5
94,14,B,scale_bisection,rand0002_iter04_a0p9062,d2db3d0d5de211ec,runs/direction_a_px4_position_seed2_v0/thetas/B_00094_d2db3d0d5de211ec.npy,5,96.89892018295359,0.4386829545690643,interior,30,"pitch,roll,throttle,yaw",robust_violation,False,0.8851560724632728,0.02645566772291972,0.8432779847972953,0.9077165050674938,0,0.8390432357788086,0.007607809350819991,0.8310818672180176,0.8498501777648926,0,-0.018869223068410344,0.0061595662022409835,-0.028821678673414786,-0.013028617583870306,5
117,37,B,scale_bisection,rand0006_iter02_a0p6250,065f2d8930d8d9d5,runs/direction_a_px4_position_seed2_v0/thetas/B_00117_065f2d8930d8d9d5.npy,5,99.56494600698352,0.46742650514129225,interior,24,"pitch,roll,throttle,yaw",robust_violation,False,0.9200812312479929,0.06560920874775947,0.8394669525184415,1.0208647404355973,0,0.93844575881958,0.008652734718235723,0.9252829551696777,0.9469895362854004,0,-0.09026638170501644,0.04286494987330376,-0.12825700651900407,-0.018401903184628088,5
126,46,B,scale_bisection,rand0007_iter03_a0p6875,f00209c4bf6d7785,runs/direction_a_px4_position_seed2_v0/thetas/B_00126_f00209c4bf6d7785.npy,5,102.26309494196903,0.487850420859846,interior,38,"pitch,roll,throttle,yaw",robust_violation,False,0.9255154032632269,0.03191939908954576,0.8921133905943497,0.9679657796767798,0,0.7824800491333008,0.00706343347730656,0.7725248336791992,0.7898449897766113,0,-0.18948821866191395,0.012640162991491743,-0.20463462108046993,-0.17631923191594612,5
127,47,B,scale_bisection,rand0007_iter04_a0p6562,ab43f439d631c517,runs/direction_a_px4_position_seed2_v0/thetas/B_00127_ab43f439d631c517.npy,5,96.47656563995406,0.465675401729853,interior,37,"pitch,roll,throttle,yaw",robust_violation,False,1.0078978968185528,0.045965975392385554,0.9619154448442688,1.07539610173662,0,0.8029760360717774,0.009535085864307149,0.7956862449645996,0.8170242309570312,0,-0.08389379771846794,0.03077740982582285,-0.1303182135631158,-0.05389428083502934,5
128,48,B,scale_bisection,rand0007_iter05_a0p6406,f3371426609c9483,runs/direction_a_px4_position_seed2_v0/thetas/B_00128_f3371426609c9483.npy,5,102.79374691902194,0.4545878921648565,interior,37,"pitch,roll,throttle,yaw",robust_violation,False,1.037042508653456,0.026161669969843437,1.0074672869105488,1.0675457750574486,0,0.8184061050415039,0.0026018856032303523,0.8150439262390137,0.8209662437438965,0,-0.0618370567102466,0.016078125165872082,-0.08262521800430456,-0.04137938624403725,5
140,60,B,scale_bisection,rand0009_iter01_a0p7500,e94558a67e27c0c0,runs/direction_a_px4_position_seed2_v0/thetas/B_00140_e94558a67e27c0c0.npy,5,102.83295337401796,0.46147710608909565,interior,27,"pitch,roll,throttle,yaw",robust_violation,False,0.5354188497492978,0.06823385324894658,0.4673959441957716,0.6379414682493372,0,0.9919985771179199,0.002377898638379559,0.9891939163208008,0.9953083992004395,0,-0.3596984837838651,0.042055863555297966,-0.39808069997991735,-0.30825304390114017,5
142,62,B,scale_bisection,rand0009_iter03_a0p6875,6a5a365dbd2be36a,runs/direction_a_px4_position_seed2_v0/thetas/B_00142_6a5a365dbd2be36a.npy,5,96.54418402700685,0.423020680581671,interior,27,"pitch,roll,throttle,yaw",robust_violation,False,0.7902988430469295,0.03865151327251024,0.7458482116457321,0.8349905873116048,0,0.9908309936523437,0.001207051712589971,0.9891014099121094,0.9921078681945801,0,-0.17943296386937968,0.02975639039703217,-0.20607632822479016,-0.13060518466474513,5
150,70,B,scale_bisection,rand0011_iter02_a0p6250,5349c55cb6c0368f,runs/direction_a_px4_position_seed2_v0/thetas/B_00150_5349c55cb6c0368f.npy,5,100.08755882596597,0.4958603278992582,interior,23,"pitch,roll,throttle,yaw",robust_violation,False,0.590718405486463,0.050904573233839095,0.5288797695127845,0.6333565165262445,0,0.9335054397583008,0.00650580290863762,0.9255328178405762,0.9435629844665527,0,-0.36763398397514996,0.03753638080750538,-0.4241678292038664,-0.32764616702213667,5
151,71,B,scale_bisection,rand0011_iter03_a0p5625,5eebc3bd0d9a41b4,runs/direction_a_px4_position_seed2_v0/thetas/B_00151_5eebc3bd0d9a41b4.npy,5,102.50387848296668,0.44627429510933236,interior,21,"pitch,roll,throttle,yaw",robust_violation,False,0.8833105843657432,0.04753849774443062,0.84083648729755,0.9484050307272576,0,0.9455317497253418,0.008680119766447163,0.9362974166870117,0.9584336280822754,0,-0.13828284250510886,0.017966289027976555,-0.14986523173074362,-0.10730727384211125,5
