eval_id,point_index,arm,stage,label,repeat_idx,theta_hash,query_id,cache_tag,query_retry_count,repeat_elapsed_wall_time_s,robustness_post_neutral_xy_drift,robustness_post_neutral_alt_drift,robustness_post_neutral_xy_velocity,meta_scenario_id,meta_seed,meta_query_type,meta_theta_hash,meta_cache_tag,meta_wall_time_s,meta_prepare_wall_time_s,meta_run_wall_time_s,meta_parse_wall_time_s,meta_shutdown_wall_time_s,meta_total_wall_time_s,meta_adapter_arm_request_count,meta_adapter_arm_retry_count,meta_adapter_mode_switch_request_count_total,meta_adapter_mode_switch_retry_count_total,meta_adapter_mode_switch_POSCTL_request_count,meta_adapter_mode_switch_POSCTL_retry_count
0,0,A,uniform_random,sample0001,0,f4f59901e69f993d,f4f59901e69f993d_px4_position_2_direction_a_A_uniform_random_00000_sample0001_repeat0,direction_a_A_uniform_random_00000_sample0001_repeat0,0,18.80698830203619,-0.33692024423757694,0.9847521781921387,-1.0355572243518956,px4_position,2,direction_a_probe,f4f59901e69f993d,direction_a_A_uniform_random_00000_sample0001_repeat0,3.0536088349763304,14.683013216010295,3.0536088349763304,0.011625452898442745,1.0323808350367472,18.780636691022664,2,1,3,1,3,1
0,0,A,uniform_random,sample0001,1,f4f59901e69f993d,f4f59901e69f993d_px4_position_2_direction_a_A_uniform_random_00000_sample0001_repeat1,direction_a_A_uniform_random_00000_sample0001_repeat1,0,18.838907559984364,-0.3540631545673403,0.9848623275756836,-1.0761354262366045,px4_position,2,direction_a_probe,f4f59901e69f993d,direction_a_A_uniform_random_00000_sample0001_repeat1,3.089824449038133,14.661699472926557,3.089824449038133,0.01759401406161487,1.038892949000001,18.80801942909602,2,1,3,1,3,1
0,0,A,uniform_random,sample0001,2,f4f59901e69f993d,f4f59901e69f993d_px4_position_2_direction_a_A_uniform_random_00000_sample0001_repeat2,direction_a_A_uniform_random_00000_sample0001_repeat2,0,18.982153732911684,-0.2817737969018377,0.9861316680908203,-1.0386247221220293,px4_position,2,direction_a_probe,f4f59901e69f993d,direction_a_A_uniform_random_00000_sample0001_repeat2,3.1440947439987212,14.758248439989984,3.1440947439987212,0.0178585690446198,1.0338551308959723,18.95406555593945,2,1,2,0,2,0
0,0,A,uniform_random,sample0001,3,f4f59901e69f993d,f4f59901e69f993d_px4_position_2_direction_a_A_uniform_random_00000_sample0001_repeat3,direction_a_A_uniform_random_00000_sample0001_repeat3,0,18.797468179021962,-0.44156324122115276,0.9889159202575684,-1.1462484501254866,px4_position,2,direction_a_probe,f4f59901e69f993d,direction_a_A_uniform_random_00000_sample0001_repeat3,3.0787001020507887,14.621807622956112,3.0787001020507887,0.017221402027644217,1.0517926779575646,18.769529836950824,2,1,2,0,2,0
0,0,A,uniform_random,sample0001,4,f4f59901e69f993d,f4f59901e69f993d_px4_position_2_direction_a_A_uniform_random_00000_sample0001_repeat4,direction_a_A_uniform_random_00000_sample0001_repeat4,0,18.786973634036258,-0.3463039195180504,0.9921793937683105,-1.082265515671815,px4_position,2,direction_a_probe,f4f59901e69f993d,direction_a_A_uniform_random_00000_sample0001_repeat4,3.076264299917966,14.636660997988656,3.076264299917966,0.011509996955282986,1.031622783979401,18.7560638069408,2,1,2,0,2,0
1,1,A,uniform_random,sample0002,0,9dece38e0469775d,9dece38e0469775d_px4_position_2_direction_a_A_uniform_random_00001_sample0002_repeat0,direction_a_A_uniform_random_00001_sample0002_repeat0,0,21.037472189986147,1.8626948842368634,0.8397393226623535,0.8097732863536109,px4_position,2,direction_a_probe,9dece38e0469775d,direction_a_A_uniform_random_00001_sample0002_repeat0,3.1512170339701697,16.8025749650551,3.1512170339701697,0.012425200082361698,1.0467080139787868,21.012933149002492,3,2,3,1,3,1
1,1,A,uniform_random,sample0002,1,9dece38e0469775d,9dece38e0469775d_px4_position_2_direction_a_A_uniform_random_00001_sample0002_repeat1,direction_a_A_uniform_random_00001_sample0002_repeat1,0,19.032673788024113,1.917464646144011,0.8307509422302246,0.806989923736505,px4_position,2,direction_a_probe,9dece38e0469775d,direction_a_A_uniform_random_00001_sample0002_repeat1,3.0707319090142846,14.846512165036984,3.0707319090142846,0.012333143968135118,1.0553053979529068,18.98489077598788,2,1,2,0,2,0
1,1,A,uniform_random,sample0002,2,9dece38e0469775d,9dece38e0469775d_px4_position_2_direction_a_A_uniform_random_00001_sample0002_repeat2,direction_a_A_uniform_random_00001_sample0002_repeat2,0,21.241038944921456,1.9041425295683914,0.8240132331848145,0.8077495090755433,px4_position,2,direction_a_probe,9dece38e0469775d,direction_a_A_uniform_random_00001_sample0002_repeat2,3.0440249369712546,17.08348963689059,3.0440249369712546,0.011733539053238928,1.0626078709028661,21.20186350401491,3,2,4,2,4,2
1,1,A,uniform_random,sample0002,3,9dece38e0469775d,9dece38e0469775d_px4_position_2_direction_a_A_uniform_random_00001_sample0002_repeat3,direction_a_A_uniform_random_00001_sample0002_repeat3,0,20.641971132019535,1.9143868836568958,0.8172750473022461,0.8207988973816381,px4_position,2,direction_a_probe,9dece38e0469775d,direction_a_A_uniform_random_00001_sample0002_repeat3,3.041045528021641,16.515731462975964,3.041045528021641,0.012416454963386059,1.042339681996964,20.61154135200195,3,2,3,1,3,1
1,1,A,uniform_random,sample0002,4,9dece38e0469775d,9dece38e0469775d_px4_position_2_direction_a_A_uniform_random_00001_sample0002_repeat4,direction_a_A_uniform_random_00001_sample0002_repeat4,0,20.81066455610562,1.9215310048139609,0.8427033424377441,0.8114459388179001,px4_position,2,direction_a_probe,9dece38e0469775d,direction_a_A_uniform_random_00001_sample0002_repeat4,3.1211031529819593,16.592732527991757,3.1211031529819593,0.012314510997384787,1.048788362997584,20.774946202989668,3,2,2,0,2,0
2,2,A,uniform_random,sample0003,0,0c03da36cb2a5780,0c03da36cb2a5780_px4_position_2_direction_a_A_uniform_random_00002_sample0003_repeat0,direction_a_A_uniform_random_00002_sample0003_repeat0,0,20.824114921037108,0.9758144672008418,0.7043032646179199,-0.07856418019313072,px4_position,2,direction_a_probe,0c03da36cb2a5780,direction_a_A_uniform_random_00002_sample0003_repeat0,3.091314117074944,16.631054974044673,3.091314117074944,0.011474583996459842,1.0652753959875554,20.799126559053548,3,2,2,0,2,0
2,2,A,uniform_random,sample0003,1,0c03da36cb2a5780,0c03da36cb2a5780_px4_position_2_direction_a_A_uniform_random_00002_sample0003_repeat1,direction_a_A_uniform_random_00002_sample0003_repeat1,0,18.76509007997811,0.9563615448955578,0.6749515533447266,-0.04637097754345665,px4_position,2,direction_a_probe,0c03da36cb2a5780,direction_a_A_uniform_random_00002_sample0003_repeat1,3.0822533280588686,14.578638390055858,3.0822533280588686,0.013443000032566488,1.0574703400488943,18.731812130077742,2,1,2,0,2,0
2,2,A,uniform_random,sample0003,2,0c03da36cb2a5780,0c03da36cb2a5780_px4_position_2_direction_a_A_uniform_random_00002_sample0003_repeat2,direction_a_A_uniform_random_00002_sample0003_repeat2,0,19.12968463206198,1.0361824419220151,0.6700868606567383,0.026012598094595107,px4_position,2,direction_a_probe,0c03da36cb2a5780,direction_a_A_uniform_random_00002_sample0003_repeat2,3.097098042955622,14.922508382005617,3.097098042955622,0.01132733200211078,1.0627592829987407,19.09370135993231,2,1,3,1,3,1
2,2,A,uniform_random,sample0003,3,0c03da36cb2a5780,0c03da36cb2a5780_px4_position_2_direction_a_A_uniform_random_00002_sample0003_repeat3,direction_a_A_uniform_random_00002_sample0003_repeat3,0,18.94877090700902,0.9861620299466232,0.6988811492919922,-0.030675760590803236,px4_position,2,direction_a_probe,0c03da36cb2a5780,direction_a_A_uniform_random_00002_sample0003_repeat3,3.0392729350132868,14.812386973993853,3.0392729350132868,0.011546025052666664,1.0515284659340978,18.914742495981045,2,1,2,0,2,0
2,2,A,uniform_random,sample0003,4,0c03da36cb2a5780,0c03da36cb2a5780_px4_position_2_direction_a_A_uniform_random_00002_sample0003_repeat4,direction_a_A_uniform_random_00002_sample0003_repeat4,0,19.021007037023082,0.9750284504581774,0.7042922973632812,-0.08663493341035466,px4_position,2,direction_a_probe,0c03da36cb2a5780,direction_a_A_uniform_random_00002_sample0003_repeat4,3.101271980907768,14.827666058088653,3.101271980907768,0.013790474040433764,1.0482746659545228,18.991010378929786,2,1,2,0,2,0
3,3,A,uniform_random,sample0004,0,fe2f1c8d97744701,fe2f1c8d97744701_px4_position_2_direction_a_A_uniform_random_00003_sample0004_repeat0,direction_a_A_uniform_random_00003_sample0004_repeat0,0,18.71944464603439,0.7012152413977661,0.9694743156433105,-0.3374106197537696,px4_position,2,direction_a_probe,fe2f1c8d97744701,direction_a_A_uniform_random_00003_sample0004_repeat0,3.0948290770174935,14.53438758093398,3.0948290770174935,0.011271154973655939,1.0497216979274526,18.690225734957494,2,1,2,0,2,0
