query_id,cache_tag,maneuver,axis,C_track_available,C_track_axis,baseline_nte_median,nte_threshold,peak_err_threshold_radps,high_err_duration_threshold_s,baseline_ratio_threshold,overlap_threshold_s,active_window_available,C_track_status,C_track_safe,C_track_violation,C_track_unavailable_reason,active_window_start_s,active_window_end_s,rms_sp,rms_err,nte,peak_err,high_err_duration_s,saturation_error_overlap_s,explicit_limit_or_saturation_during_high_error,baseline_ratio_ok,raw_log_path,nonlinear_observable,nonlinear_activated_in_active_window
7b6436b0c98f6238_px4_stabilized_pitch_0_params93dd53dba2_headroom_H0_M0_hover_no_input_repeat0,headroom_H0_M0_hover_no_input_repeat0,hover_no_input,pitch,True,pitch,,0.65,1.0,0.25,2.5,0.2,False,safe,True,False,,1780995264.69,1780995264.69,0.0,0.0,0.0,0.0,0.0,0.0,False,False,runs/mantis_witness_px4_stabilized_pitch_seed0_v1/queries/7b6436b0c98f6238_px4_stabilized_pitch_0_params93dd53dba2_headroom_H0_M0_hover_no_input_repeat0/raw_log.ulg,,
8534bb1a14ed0591_px4_stabilized_pitch_0_params93dd53dba2_headroom_H0_Msmall_small_step_pitch_repeat0,headroom_H0_Msmall_small_step_pitch_repeat0,small_step_pitch,pitch,True,pitch,,0.65,1.0,0.25,2.5,0.2,False,safe,True,False,,1780995378.684,1780995378.684,0.0,0.0,0.0,0.0,0.0,0.0,False,False,runs/mantis_witness_px4_stabilized_pitch_seed0_v1/queries/8534bb1a14ed0591_px4_stabilized_pitch_0_params93dd53dba2_headroom_H0_Msmall_small_step_pitch_repeat0/raw_log.ulg,,
e43dcb36cc95c1fc_px4_stabilized_pitch_0_params93dd53dba2_headroom_H0_Mstrong_P0_strong_step_A0p9_hold2_repeat0,headroom_H0_Mstrong_P0_strong_step_A0p9_hold2_repeat0,strong_step_A0p9_hold2,pitch,True,pitch,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1780995417.554,1780995418.354,0.8945162518970693,0.6400927890397368,0.7155742421473538,2.019029840826988,0.059999942779541016,0.059999942779541016,True,False,runs/mantis_witness_px4_stabilized_pitch_seed0_v1/queries/e43dcb36cc95c1fc_px4_stabilized_pitch_0_params93dd53dba2_headroom_H0_Mstrong_P0_strong_step_A0p9_hold2_repeat0/raw_log.ulg,True,True
1c2d1caedf9d81b3_px4_stabilized_pitch_0_params93dd53dba2_headroom_H0_Mstrong_P0_strong_doublet_A0p9_hold2_repeat0,headroom_H0_Mstrong_P0_strong_doublet_A0p9_hold2_repeat0,strong_doublet_A0p9_hold2,pitch,True,pitch,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1780995457.652,1780995458.856,0.9429127655285121,0.5884103265909586,0.6240347443606288,2.217887007359726,0.09999990463256836,0.09999990463256836,True,False,runs/mantis_witness_px4_stabilized_pitch_seed0_v1/queries/1c2d1caedf9d81b3_px4_stabilized_pitch_0_params93dd53dba2_headroom_H0_Mstrong_P0_strong_doublet_A0p9_hold2_repeat0/raw_log.ulg,True,True
f6e2f9116e805112_px4_stabilized_pitch_0_params93dd53dba2_headroom_H0_Mstrong_P0_pulse_train_A0p9_repeat3_repeat0,headroom_H0_Mstrong_P0_pulse_train_A0p9_repeat3_repeat0,pulse_train_A0p9_repeat3,pitch,True,pitch,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1780995493.42,1780995494.808,1.0239308894423107,0.742479348124987,0.7251264277507852,2.16488716006279,0.11999988555908203,0.11999988555908203,True,False,runs/mantis_witness_px4_stabilized_pitch_seed0_v1/queries/f6e2f9116e805112_px4_stabilized_pitch_0_params93dd53dba2_headroom_H0_Mstrong_P0_pulse_train_A0p9_repeat3_repeat0/raw_log.ulg,True,True
ee5d4935aca9c8b1_px4_stabilized_pitch_0_params93dd53dba2_headroom_H0_Mstrong_P0_reversal_A0p9_fast_repeat0,headroom_H0_Mstrong_P0_reversal_A0p9_fast_repeat0,reversal_A0p9_fast,pitch,True,pitch,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1780995533.607,1780995535.607,0.9856337121978705,0.6772276996729065,0.6870987581814266,1.9370511770248413,0.2200000286102295,0.2200000286102295,True,False,runs/mantis_witness_px4_stabilized_pitch_seed0_v1/queries/ee5d4935aca9c8b1_px4_stabilized_pitch_0_params93dd53dba2_headroom_H0_Mstrong_P0_reversal_A0p9_fast_repeat0/raw_log.ulg,True,True
f6e2f9116e805112_px4_stabilized_pitch_0_params93dd53dba2_headroom_H0_Mstrong_P0_pulse_train_A1p0_repeat3_repeat0,headroom_H0_Mstrong_P0_pulse_train_A1p0_repeat3_repeat0,pulse_train_A1p0_repeat3,pitch,True,pitch,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1780995571.049,1780995572.449,0.9541257662147419,0.7930282614396831,0.8311569496606581,2.3675211369991302,0.1399998664855957,0.1399998664855957,True,False,runs/mantis_witness_px4_stabilized_pitch_seed0_v1/queries/f6e2f9116e805112_px4_stabilized_pitch_0_params93dd53dba2_headroom_H0_Mstrong_P0_pulse_train_A1p0_repeat3_repeat0/raw_log.ulg,True,True
e45caa1ebbc1530c_px4_stabilized_pitch_0_params93dd53dba2_headroom_H0_Mstrong_P0_strong_doublet_A0p7_hold1_repeat0,headroom_H0_Mstrong_P0_strong_doublet_A0p7_hold1_repeat0,strong_doublet_A0p7_hold1,pitch,True,pitch,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1780995615.793,1780995615.997,0.9407099857882741,0.5531202199599575,0.5879816609966851,1.0560330152511597,0.039999961853027344,0.039999961853027344,True,False,runs/mantis_witness_px4_stabilized_pitch_seed0_v1/queries/e45caa1ebbc1530c_px4_stabilized_pitch_0_params93dd53dba2_headroom_H0_Mstrong_P0_strong_doublet_A0p7_hold1_repeat0/raw_log.ulg,True,True
e45caa1ebbc1530c_px4_stabilized_pitch_0_params93dd53dba2_headroom_H0_Mstrong_P0_strong_step_pitch_0p7_repeat0,headroom_H0_Mstrong_P0_strong_step_pitch_0p7_repeat0,strong_step_pitch_0p7,pitch,True,pitch,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1780995649.886,1780995650.074,1.3290625541160415,0.9406446340508327,0.7077504600048375,1.9722392004914582,0.040000200271606445,0.040000200271606445,True,False,runs/mantis_witness_px4_stabilized_pitch_seed0_v1/queries/e45caa1ebbc1530c_px4_stabilized_pitch_0_params93dd53dba2_headroom_H0_Mstrong_P0_strong_step_pitch_0p7_repeat0/raw_log.ulg,True,True
f6e2f9116e805112_px4_stabilized_pitch_0_params93dd53dba2_headroom_H0_Mstrong_P0_pulse_train_A0p7_repeat3_repeat0,headroom_H0_Mstrong_P0_pulse_train_A0p7_repeat3_repeat0,pulse_train_A0p7_repeat3,pitch,True,pitch,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1780995690.769,1780995692.165,0.950823522351252,0.7173801427089843,0.754482956979235,2.1644349098205566,0.1400001049041748,0.1400001049041748,True,False,runs/mantis_witness_px4_stabilized_pitch_seed0_v1/queries/f6e2f9116e805112_px4_stabilized_pitch_0_params93dd53dba2_headroom_H0_Mstrong_P0_pulse_train_A0p7_repeat3_repeat0/raw_log.ulg,True,True
