candidate_id,H_id,param_overrides_json,maneuver,C_recover_status,C_recover_violation,C_track_status,C_track_violation,violation_contract,nonlinear_observable,nonlinear_activated,saturation_error_overlap_s,candidate_status,contract_class,tier1_robustness_class,tier2_robustness_class,threshold_mean,tail_start_peak_abs_rate_mean,terminal_peak_abs_rate_mean,rho_tier1_mean,rho_tier1_std,nondecay_ratio_margin_mean,nondecay_slope_margin_mean,terminal_peak_over_threshold,terminal_over_start_peak
rate_i_x3,H3,"{""MC_PITCHRATE_I"": 0.6000000089406967}",pulse_train_A0p9_repeat3,safe,False,safe,False,,True,True,0.11999988555908203,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.024350248277187347,0.03614865243434906,0.3138513475656509,0.0,0.016668453812599182,0.0003344575277745641,0.10328186409814018,1.4845291112787178
rate_i_x3,H3,"{""MC_PITCHRATE_I"": 0.6000000089406967}",reversal_A0p9_fast,safe,False,safe,False,,True,True,0.2200000286102295,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.03455488383769989,0.03232210874557495,0.317677891254425,0.0,0.004678201675415036,0.0010342586624096158,0.09234888213021415,0.9353846737667528
rate_i_x3,H3,"{""MC_PITCHRATE_I"": 0.6000000089406967}",pulse_train_A1p0_repeat3,safe,False,safe,False,,True,True,0.09599995613098145,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.040281228721141815,0.028909625485539436,0.32109037451446054,0.0,-0.003315357491374016,-0.0002266237144753664,0.0825989299586841,0.7176947278762147
rate_i_x3,H3,"{""MC_PITCHRATE_I"": 0.6000000089406967}",strong_doublet_A0p7_hold1,safe,False,safe,False,,True,True,0.0,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.018568890169262886,0.021454719826579094,0.3285452801734209,0.0,0.006599607691168784,0.00013557449548051386,0.0612991995045117,1.1554120699196728
rate_i_x3,H3,"{""MC_PITCHRATE_I"": 0.6000000089406967}",strong_step_pitch_0p7,safe,False,safe,False,,True,True,0.019999980926513672,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.02807028964161873,0.029760930687189102,0.3202390693128109,0.0,0.0073046989738941165,-9.758391553932231e-05,0.08503123053482602,1.060228842208444
rate_i_x3,H3,"{""MC_PITCHRATE_I"": 0.6000000089406967}",pulse_train_A0p7_repeat3,safe,False,safe,False,,True,True,0.17999982833862305,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.04653722792863846,0.035824090242385864,0.3141759097576141,0.0,-0.001405692100524901,0.0008497071686800248,0.10235454354967391,0.769794245100279
rate_d_low_x0p35,H3,"{""MC_PITCHRATE_D"": 0.0008925000322051346}",strong_step_A0p9_hold2,safe,False,safe,False,,True,True,0.12000036239624023,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.021771211177110672,0.023054879158735275,0.3269451208412647,0.0,0.005637910217046738,-2.173146054800262e-05,0.06587108331067222,1.058961716515533
rate_d_low_x0p35,H3,"{""MC_PITCHRATE_D"": 0.0008925000322051346}",strong_doublet_A0p9_hold2,safe,False,safe,False,,True,True,0.1359999179840088,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.023755908012390137,0.018406827002763748,0.33159317299723623,0.0,-0.0005978994071483626,2.9272125543848097e-05,0.05259093429361071,0.7748315489840877
rate_d_low_x0p35,H3,"{""MC_PITCHRATE_D"": 0.0008925000322051346}",pulse_train_A0p9_repeat3,safe,False,safe,False,,True,True,0.17600011825561523,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.024526240304112434,0.02783454768359661,0.32216545231640337,0.0,0.008213555440306664,0.00018293158990447144,0.07952727909599032,1.1348884842708427
rate_d_low_x0p35,H3,"{""MC_PITCHRATE_D"": 0.0008925000322051346}",reversal_A0p9_fast,safe,False,safe,False,,True,True,0.3279998302459717,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.027943233028054237,0.01827862672507763,0.33172137327492235,0.0,-0.004075959697365763,3.631376061140275e-05,0.052224647785936086,0.6541342838434762
