label,description,active_channel,sign,theta_hash,theta_path,repeats,point_elapsed_wall_time_s,max_abs_theta,amplitude_class,support_size_abs_gt_0p1,active_channels_abs_gt_0p1,robustness_class,tier1_robustness_class,tier2_robustness_class,tier2_nondecay_robust,rho_margin_2sigma_post_neutral_climb_rate,tier_metric_residual_rate_property,tier_metric_residual_rate_unit,tier_metric_tier2_nondecay_ratio,tier_metric_tier2_rule,tier_metric_threshold_mean,tier_metric_threshold_std,tier_metric_threshold_min,tier_metric_threshold_max,tier_metric_tail_start_peak_abs_rate_mean,tier_metric_tail_start_peak_abs_rate_std,tier_metric_tail_start_peak_abs_rate_min,tier_metric_tail_start_peak_abs_rate_max,tier_metric_terminal_peak_abs_rate_mean,tier_metric_terminal_peak_abs_rate_std,tier_metric_terminal_peak_abs_rate_min,tier_metric_terminal_peak_abs_rate_max,tier_metric_rho_tier1_mean,tier_metric_rho_tier1_std,tier_metric_rho_tier1_min,tier_metric_rho_tier1_max,tier_metric_nondecay_ratio_margin_mean,tier_metric_nondecay_ratio_margin_std,tier_metric_nondecay_ratio_margin_min,tier_metric_nondecay_ratio_margin_max,tier_metric_nondecay_slope_margin_mean,tier_metric_nondecay_slope_margin_std,tier_metric_nondecay_slope_margin_min,tier_metric_nondecay_slope_margin_max,tier_metric_tier2_nondecay_ratio_robust,tier_metric_tier2_nondecay_slope_robust,rho_mean_post_neutral_xy_drift,rho_std_post_neutral_xy_drift,rho_min_post_neutral_xy_drift,rho_max_post_neutral_xy_drift,rho_nonpositive_post_neutral_xy_drift,rho_mean_post_neutral_alt_drift,rho_std_post_neutral_alt_drift,rho_min_post_neutral_alt_drift,rho_max_post_neutral_alt_drift,rho_nonpositive_post_neutral_alt_drift,rho_mean_post_neutral_xy_velocity,rho_std_post_neutral_xy_velocity,rho_min_post_neutral_xy_velocity,rho_max_post_neutral_xy_velocity,rho_nonpositive_post_neutral_xy_velocity,rho_mean_post_neutral_climb_rate,rho_std_post_neutral_climb_rate,rho_min_post_neutral_climb_rate,rho_max_post_neutral_climb_rate,rho_nonpositive_post_neutral_climb_rate,rho_mean_post_neutral_yaw_rate,rho_std_post_neutral_yaw_rate,rho_min_post_neutral_yaw_rate,rho_max_post_neutral_yaw_rate,rho_nonpositive_post_neutral_yaw_rate
zero_anchor,neutral zero input,throttle,0,7b6436b0c98f6238,artifacts/residual_rate_climb_rate_seed0_v0/thetas/phase0_zero_anchor_7b6436b0c98f6238.npy,5,102.53934517699963,0.0,interior,0,,robust_safe,robust_safe,not_tier1_violation,False,0.29589652726651916,post_neutral_climb_rate,m/s,0.8,tier1 robust and (ratio margin robust >= 0 or slope margin robust >= 0),0.3,0.0,0.3,0.3,0.007447934849187679,0.003858069279693565,0.0020890485029667,0.011558212339878,0.008321432676166241,0.0021089799713427393,0.0057618399150669,0.011607808060944,0.29167856732383374,0.002108979971342746,0.28839219193905596,0.2942381600849331,0.002363084796816096,0.0026922223269635,-0.00039098523557193864,0.00682671274989844,0.00015093021302987046,0.00043659605875460706,-0.00025917560908416244,0.0008654196574757991,False,False,1.948352198522246,0.018813930282053696,1.9165955437605904,1.9614475428219122,0,0.9897120475769043,0.0039028279802852924,0.9830741882324219,0.9934554100036621,0,0.9663545905475666,0.006477004215777382,0.9566856639533532,0.9741523337281536,0,0.2916785673238337,0.002108979971342749,0.2883921919390559,0.29423816008493303,0,0.24608624576889326,0.0011105903887521729,0.2447874717351084,0.2472303559940343,0
throttle_pos_full,saturated positive throttle,throttle,1,04f3db5143fee943,artifacts/residual_rate_climb_rate_seed0_v0/thetas/phase0_throttle_pos_full_04f3db5143fee943.npy,5,103.03049458500027,1.0,saturated,10,throttle,robust_safe,robust_safe,not_tier1_violation,False,0.2831518763741892,post_neutral_climb_rate,m/s,0.8,tier1 robust and (ratio margin robust >= 0 or slope margin robust >= 0),0.3,0.0,0.3,0.3,3.002678108215332,0.0005920400535776001,3.001826047897339,3.0033390522003174,0.026151722297072362,0.004651799335630817,0.0214162375777959,0.0311928000301122,0.27384827770292763,0.004651799335630804,0.2688071999698878,0.27858376242220406,-2.375990764275193,0.004751582403631827,-2.3808994743973018,-2.3703345570713283,-0.19200175407981962,0.011564467943429114,-0.2061242000157783,-0.17949775323467884,False,False,1.9485936564058164,0.00668807113194778,1.9383782105774623,1.9569574767172748,0,-1.3412769317626954,0.030457907151450477,-1.3800315856933594,-1.3023805618286133,5,0.9583489824983739,0.003972184166853849,0.951840084020562,0.9617672615888588,0,0.2738482777029276,0.004651799335630812,0.2688071999698877,0.278583762422204,0,0.24406126383059074,0.003414516874625133,0.2382156182017212,0.24685590285174897,0
throttle_neg_full,saturated negative throttle,throttle,-1,374ef6ac39cdc091,artifacts/residual_rate_climb_rate_seed0_v0/thetas/phase0_throttle_neg_full_374ef6ac39cdc091.npy,5,102.66509188499913,1.0,saturated,10,throttle,robust_safe,robust_safe,not_tier1_violation,False,0.2962140360236757,post_neutral_climb_rate,m/s,0.8,tier1 robust and (ratio margin robust >= 0 or slope margin robust >= 0),0.3,0.0,0.3,0.3,0.6980820298194885,0.004946180462001491,0.6901944279670715,0.703684389591217,0.0126228187233209,0.004418427373498333,0.0056586153805255,0.0175025761127471,0.2873771812766791,0.004418427373498338,0.2824974238872529,0.2943413846194745,-0.5458428051322699,0.004763737691086376,-0.5528486840426923,-0.5399734472855927,-0.026110078833595667,0.0022902277035336243,-0.028476964493921213,-0.023210123394422844,False,False,1.9548073814865135,0.014619099339147072,1.9441236362768142,1.9756375121830396,0,0.7324916362762451,0.01562827350205294,0.7101390361785889,0.7531795501708984,0,0.9655869750354962,0.007700446799531512,0.9538721002244224,0.9716482826663786,0,0.28737718127667905,0.004418427373498324,0.2824974238872528,0.2943413846194744,0,0.24609064626805832,0.003881597874072741,0.240544787042964,0.25045246481262495,0
