stage,param_candidate,overrides_json,m0_class,msmall_class,m0_safe,msmall_safe,retained,candidate_status,boundary_margin,m0_contract_class,m0_tier1_robustness_class,m0_tier2_robustness_class,m0_threshold_mean,m0_tail_start_peak_abs_rate_mean,m0_terminal_peak_abs_rate_mean,m0_rho_tier1_mean,m0_rho_tier1_std,m0_nondecay_ratio_margin_mean,m0_nondecay_slope_margin_mean,m0_terminal_peak_over_threshold,m0_terminal_over_start_peak,msmall_contract_class,msmall_tier1_robustness_class,msmall_tier2_robustness_class,msmall_threshold_mean,msmall_tail_start_peak_abs_rate_mean,msmall_terminal_peak_abs_rate_mean,msmall_rho_tier1_mean,msmall_rho_tier1_std,msmall_nondecay_ratio_margin_mean,msmall_nondecay_slope_margin_mean,msmall_terminal_peak_over_threshold,msmall_terminal_over_start_peak
B_param_small_signal_filter,rate_p_x1p55,"{""MC_ROLLRATE_P"": 0.4650000184774399}",safe,safe,True,True,True,,0.17848012702805657,safe,robust_safe,not_tier1_violation,0.35,0.05375257134437561,0.031003933399915695,0.3189960666000843,0.0,-0.011998123675584796,-0.0014785467471516787,0.088582666856902,0.5767897725540116,safe,robust_safe,not_tier1_violation,0.35,0.037011802196502686,0.062468044459819794,0.2875319555401802,0.0,0.032858602702617645,0.0013637935710433572,0.17848012702805657,1.6877871584897457
B_param_small_signal_filter,rate_p_x1p60,"{""MC_ROLLRATE_P"": 0.48000001907348633}",safe,safe,True,True,True,,0.1533338853291103,safe,robust_safe,not_tier1_violation,0.35,0.07158951461315155,0.0536668598651886,0.2963331401348114,0.0,-0.0036047518253326458,-0.0006138039135474716,0.1533338853291103,0.7496469302130117,safe,robust_safe,not_tier1_violation,0.35,0.029036827385425568,0.052847687155008316,0.29715231284499166,0.0,0.02961822524666786,0.0018692856612926119,0.15099339187145233,1.8200227749927707
B_param_small_signal_filter,rate_p_x1p70,"{""MC_ROLLRATE_P"": 0.5}",violation_like,violation_like,False,False,False,INVALID_PURE_PARAM,5.390723432813372,violation_like,robust_violation,robust_violation,0.35,1.8845869302749634,1.8695166110992432,-1.519516611099243,0.0,0.36184706687927237,0.001837088277801238,5.341476031712124,0.9920033833761537,violation_like,robust_violation,robust_violation,0.35,1.8879891633987427,1.8867532014846802,-1.53675320148468,0.0,0.37636187076568595,-0.001053103426166851,5.390723432813372,0.9993453553982071
B_param_small_signal_filter,rate_p_x1p80,"{""MC_ROLLRATE_P"": 0.5}",violation_like,violation_like,False,False,False,INVALID_PURE_PARAM,5.361465726579939,violation_like,robust_violation,robust_violation,0.35,1.8956724405288696,1.8652456998825073,-1.5152456998825072,0.0,0.3487077474594116,0.0010199638750222999,5.3292734282357355,0.9839493680470063,violation_like,robust_violation,robust_violation,0.35,1.8705662488937378,1.8765130043029785,-1.5265130043029784,0.0,0.3800600051879881,-0.0026488297275899736,5.361465726579939,1.0031791204469542
B_param_small_signal_filter,rate_p_x1p90,"{""MC_ROLLRATE_P"": 0.5}",violation_like,violation_like,False,False,False,INVALID_PURE_PARAM,5.384536470685687,violation_like,robust_violation,robust_violation,0.35,1.8693758249282837,1.8845877647399902,-1.5345877647399901,0.0,0.3890871047973632,0.002753227922486249,5.384536470685687,1.0081374433160277,violation_like,robust_violation,robust_violation,0.35,1.855873942375183,1.8711140155792236,-1.5211140155792235,0.0,0.386414861679077,0.00570374631694997,5.346040044512068,1.0082118040757315
B_param_small_signal_filter,rate_d_x0p75,"{""MC_ROLLRATE_D"": 0.001125000009778887}",safe,safe,True,True,True,,0.05596060838018145,safe,robust_safe,not_tier1_violation,0.35,0.01743559166789055,0.019586212933063507,0.33041378706693647,0.0,0.005637739598751067,0.00010985731949049374,0.05596060838018145,1.1233466180062905,safe,robust_safe,not_tier1_violation,0.35,0.017259398475289345,0.01661994867026806,0.3333800513297319,0.0,0.0028124298900365826,-8.960040585528643e-05,0.04748556762933731,0.962950632031771
B_param_small_signal_filter,rate_d_x0p85,"{""MC_ROLLRATE_D"": 0.0012750000110827386}",safe,safe,True,True,True,,0.06436578397239957,safe,robust_safe,not_tier1_violation,0.35,0.017965521663427353,0.02252802439033985,0.3274719756096601,0.0,0.008155607059597968,-7.920201685455867e-05,0.06436578397239957,1.2539588224816451,safe,robust_safe,not_tier1_violation,0.35,0.019894391298294067,0.021701334044337273,0.3282986659556627,0.0,0.005785821005702019,0.00011924886625216106,0.06200381155524935,1.090826742017392
B_param_small_signal_filter,rate_d_x1p15,"{""MC_ROLLRATE_D"": 0.0017250000149942933}",safe,safe,True,True,True,,0.05638907530478069,safe,robust_safe,not_tier1_violation,0.35,0.016397709026932716,0.01741405762732029,0.3325859423726797,0.0,0.004295890405774116,-3.879029326029212e-05,0.04975445036377226,1.0619811339936727,safe,robust_safe,not_tier1_violation,0.35,0.019417235627770424,0.01973617635667324,0.33026382364332674,0.0,0.004202387854456901,1.808951209619898e-05,0.05638907530478069,1.0164256506444547
B_param_small_signal_filter,rate_d_x1p25,"{""MC_ROLLRATE_D"": 0.001875000016298145}",safe,safe,True,True,True,,0.06657095892088755,safe,robust_safe,not_tier1_violation,0.35,0.02137434296309948,0.018244735896587372,0.3317552641034126,0.0,0.0011452615261077874,-6.805076934691526e-05,0.0521278168473925,0.8535811336088768,safe,robust_safe,not_tier1_violation,0.35,0.01917954906821251,0.02329983562231064,0.32670016437768934,0.0,0.00795619636774063,-8.371029560820745e-05,0.06657095892088755,1.2148270816714322
B_param_small_signal_filter,att_p_x1p10,"{""MC_ROLL_P"": 10.725000000000001}",safe,safe,True,True,True,,0.06940153560468129,safe,robust_safe,not_tier1_violation,0.35,0.02009665220975876,0.02429053746163845,0.3257094625383615,0.0,0.008213215693831443,0.0001228170110872313,0.06940153560468129,1.2086857655745855,safe,robust_safe,not_tier1_violation,0.35,0.029476528987288475,0.023365097120404243,0.32663490287959573,0.0,-0.00021612606942653795,8.592051486228982e-06,0.06675742034401212,0.7926678589083627
B_param_small_signal_filter,att_p_x1p20,"{""MC_ROLL_P"": 11.7}",safe,safe,True,True,True,,0.055882648697921214,safe,robust_safe,not_tier1_violation,0.35,0.014832778833806515,0.014861559495329857,0.3351384405046701,0.0,0.002995336428284645,-5.1938293347485934e-05,0.04246159855808531,1.001940341850021,safe,robust_safe,not_tier1_violation,0.35,0.01715555600821972,0.019558927044272423,0.33044107295572756,0.0,0.005834482237696647,0.0002980196609317732,0.055882648697921214,1.1400928675760307
