cell_id,probe_label,repeat_idx,measured_axis,peak,threshold,rho,query_id,theta_hash,cache_tag,query_retry_count
G01,roll_minus_full,4,xy_velocity,0.3259727909876971,1.0,0.674027209012303,efc822e18fc44e8c_px4_position_0_contract_grid_G01_roll_minus_full_repeat4,efc822e18fc44e8c,contract_grid_G01_roll_minus_full_repeat4,0
G02,zero_anchor,0,xy_velocity,0.03437099638597073,1.0,0.9656290036140293,7b6436b0c98f6238_px4_position_0_contract_grid_G02_zero_anchor_repeat0,7b6436b0c98f6238,contract_grid_G02_zero_anchor_repeat0,0
G02,zero_anchor,1,xy_velocity,0.01575262185346177,1.0,0.9842473781465382,7b6436b0c98f6238_px4_position_0_contract_grid_G02_zero_anchor_repeat1,7b6436b0c98f6238,contract_grid_G02_zero_anchor_repeat1,0
G02,zero_anchor,2,xy_velocity,0.0367165021646549,1.0,0.9632834978353451,7b6436b0c98f6238_px4_position_0_contract_grid_G02_zero_anchor_repeat2,7b6436b0c98f6238,contract_grid_G02_zero_anchor_repeat2,0
G02,zero_anchor,3,xy_velocity,0.016908066148935395,1.0,0.9830919338510646,7b6436b0c98f6238_px4_position_0_contract_grid_G02_zero_anchor_repeat3,7b6436b0c98f6238,contract_grid_G02_zero_anchor_repeat3,0
G02,zero_anchor,4,xy_velocity,0.01950423936116631,1.0,0.9804957606388337,7b6436b0c98f6238_px4_position_0_contract_grid_G02_zero_anchor_repeat4,7b6436b0c98f6238,contract_grid_G02_zero_anchor_repeat4,0
G02,pitch_plus_full,0,xy_velocity,0.30426286992045304,1.0,0.695737130079547,a08edfccf9989958_px4_position_0_contract_grid_G02_pitch_plus_full_repeat0,a08edfccf9989958,contract_grid_G02_pitch_plus_full_repeat0,0
G02,pitch_plus_full,1,xy_velocity,0.2989029875138806,1.0,0.7010970124861193,a08edfccf9989958_px4_position_0_contract_grid_G02_pitch_plus_full_repeat1,a08edfccf9989958,contract_grid_G02_pitch_plus_full_repeat1,0
G02,pitch_plus_full,2,xy_velocity,0.3222915098764924,1.0,0.6777084901235075,a08edfccf9989958_px4_position_0_contract_grid_G02_pitch_plus_full_repeat2,a08edfccf9989958,contract_grid_G02_pitch_plus_full_repeat2,0
G02,pitch_plus_full,3,xy_velocity,0.274698429887366,1.0,0.725301570112634,a08edfccf9989958_px4_position_0_contract_grid_G02_pitch_plus_full_repeat3,a08edfccf9989958,contract_grid_G02_pitch_plus_full_repeat3,0
G02,pitch_plus_full,4,xy_velocity,0.3428500713956289,1.0,0.6571499286043712,a08edfccf9989958_px4_position_0_contract_grid_G02_pitch_plus_full_repeat4,a08edfccf9989958,contract_grid_G02_pitch_plus_full_repeat4,0
G02,pitch_minus_full,0,xy_velocity,0.31190649119709846,1.0,0.6880935088029015,e89a4b6a2371829e_px4_position_0_contract_grid_G02_pitch_minus_full_repeat0,e89a4b6a2371829e,contract_grid_G02_pitch_minus_full_repeat0,0
G02,pitch_minus_full,1,xy_velocity,0.2953709528889245,1.0,0.7046290471110754,e89a4b6a2371829e_px4_position_0_contract_grid_G02_pitch_minus_full_repeat1,e89a4b6a2371829e,contract_grid_G02_pitch_minus_full_repeat1,0
G02,pitch_minus_full,2,xy_velocity,0.31862540536548595,1.0,0.681374594634514,e89a4b6a2371829e_px4_position_0_contract_grid_G02_pitch_minus_full_repeat2,e89a4b6a2371829e,contract_grid_G02_pitch_minus_full_repeat2,0
G02,pitch_minus_full,3,xy_velocity,0.2903486093780806,1.0,0.7096513906219194,e89a4b6a2371829e_px4_position_0_contract_grid_G02_pitch_minus_full_repeat3,e89a4b6a2371829e,contract_grid_G02_pitch_minus_full_repeat3,0
G02,pitch_minus_full,4,xy_velocity,0.30644253688474016,1.0,0.6935574631152599,e89a4b6a2371829e_px4_position_0_contract_grid_G02_pitch_minus_full_repeat4,e89a4b6a2371829e,contract_grid_G02_pitch_minus_full_repeat4,0
G03,zero_anchor,0,climb_rate,0.0097827371209859,0.30000000000000004,0.29021726287901417,7b6436b0c98f6238_px4_position_0_contract_grid_G03_zero_anchor_repeat0,7b6436b0c98f6238,contract_grid_G03_zero_anchor_repeat0,0
G03,zero_anchor,1,climb_rate,0.0055043664760887,0.30000000000000004,0.29449563352391134,7b6436b0c98f6238_px4_position_0_contract_grid_G03_zero_anchor_repeat1,7b6436b0c98f6238,contract_grid_G03_zero_anchor_repeat1,0
G03,zero_anchor,2,climb_rate,0.0087011642754077,0.30000000000000004,0.29129883572459236,7b6436b0c98f6238_px4_position_0_contract_grid_G03_zero_anchor_repeat2,7b6436b0c98f6238,contract_grid_G03_zero_anchor_repeat2,0
G03,zero_anchor,3,climb_rate,0.0067300125956535,0.30000000000000004,0.29326998740434657,7b6436b0c98f6238_px4_position_0_contract_grid_G03_zero_anchor_repeat3,7b6436b0c98f6238,contract_grid_G03_zero_anchor_repeat3,0
G03,zero_anchor,4,climb_rate,0.0104452241212129,0.30000000000000004,0.28955477587878714,7b6436b0c98f6238_px4_position_0_contract_grid_G03_zero_anchor_repeat4,7b6436b0c98f6238,contract_grid_G03_zero_anchor_repeat4,0
G03,throttle_plus_full,0,climb_rate,0.0274066384881734,0.30000000000000004,0.27259336151182667,04f3db5143fee943_px4_position_0_contract_grid_G03_throttle_plus_full_repeat0,04f3db5143fee943,contract_grid_G03_throttle_plus_full_repeat0,0
G03,throttle_plus_full,1,climb_rate,0.0282300841063261,0.30000000000000004,0.27176991589367394,04f3db5143fee943_px4_position_0_contract_grid_G03_throttle_plus_full_repeat1,04f3db5143fee943,contract_grid_G03_throttle_plus_full_repeat1,0
G03,throttle_plus_full,2,climb_rate,0.0138259762898087,0.30000000000000004,0.28617402371019135,04f3db5143fee943_px4_position_0_contract_grid_G03_throttle_plus_full_repeat2,04f3db5143fee943,contract_grid_G03_throttle_plus_full_repeat2,0
G03,throttle_plus_full,3,climb_rate,0.0247600227594375,0.30000000000000004,0.27523997724056254,04f3db5143fee943_px4_position_0_contract_grid_G03_throttle_plus_full_repeat3,04f3db5143fee943,contract_grid_G03_throttle_plus_full_repeat3,0
G03,throttle_plus_full,4,climb_rate,0.0321990475058555,0.30000000000000004,0.26780095249414454,04f3db5143fee943_px4_position_0_contract_grid_G03_throttle_plus_full_repeat4,04f3db5143fee943,contract_grid_G03_throttle_plus_full_repeat4,0
G03,throttle_minus_full,0,climb_rate,0.01556580606848,0.30000000000000004,0.28443419393152003,374ef6ac39cdc091_px4_position_0_contract_grid_G03_throttle_minus_full_repeat0,374ef6ac39cdc091,contract_grid_G03_throttle_minus_full_repeat0,0
G03,throttle_minus_full,1,climb_rate,0.0048531438224017,0.30000000000000004,0.29514685617759834,374ef6ac39cdc091_px4_position_0_contract_grid_G03_throttle_minus_full_repeat1,374ef6ac39cdc091,contract_grid_G03_throttle_minus_full_repeat1,0
G03,throttle_minus_full,2,climb_rate,0.0107941254973411,0.30000000000000004,0.28920587450265894,374ef6ac39cdc091_px4_position_0_contract_grid_G03_throttle_minus_full_repeat2,374ef6ac39cdc091,contract_grid_G03_throttle_minus_full_repeat2,0
G03,throttle_minus_full,3,climb_rate,0.0110440216958522,0.30000000000000004,0.2889559783041478,374ef6ac39cdc091_px4_position_0_contract_grid_G03_throttle_minus_full_repeat3,374ef6ac39cdc091,contract_grid_G03_throttle_minus_full_repeat3,0
G03,throttle_minus_full,4,climb_rate,0.0077982069924473,0.30000000000000004,0.2922017930075527,374ef6ac39cdc091_px4_position_0_contract_grid_G03_throttle_minus_full_repeat4,374ef6ac39cdc091,contract_grid_G03_throttle_minus_full_repeat4,0
G04,zero_anchor,0,yaw_rate,0.0159761197865009,0.26179938779914946,0.24582326801264856,7b6436b0c98f6238_px4_position_0_contract_grid_G04_zero_anchor_repeat0,7b6436b0c98f6238,contract_grid_G04_zero_anchor_repeat0,0
G04,zero_anchor,1,yaw_rate,0.0164517946541309,0.26179938779914946,0.24534759314501856,7b6436b0c98f6238_px4_position_0_contract_grid_G04_zero_anchor_repeat1,7b6436b0c98f6238,contract_grid_G04_zero_anchor_repeat1,0
G04,zero_anchor,2,yaw_rate,0.0130078746005892,0.26179938779914946,0.24879151319856027,7b6436b0c98f6238_px4_position_0_contract_grid_G04_zero_anchor_repeat2,7b6436b0c98f6238,contract_grid_G04_zero_anchor_repeat2,0
G04,zero_anchor,3,yaw_rate,0.0155533421784639,0.26179938779914946,0.24624604562068556,7b6436b0c98f6238_px4_position_0_contract_grid_G04_zero_anchor_repeat3,7b6436b0c98f6238,contract_grid_G04_zero_anchor_repeat3,0
G04,zero_anchor,4,yaw_rate,0.0137196192517876,0.26179938779914946,0.24807976854736186,7b6436b0c98f6238_px4_position_0_contract_grid_G04_zero_anchor_repeat4,7b6436b0c98f6238,contract_grid_G04_zero_anchor_repeat4,0
