eval_id,point_index,arm,stage,label,theta_hash,theta_path,repeats,point_elapsed_wall_time_s,max_abs_theta,amplitude_class,support_size_abs_gt_0p1,active_channels_abs_gt_0p1,robustness_class,negative_mean_rejected_by_2sigma_gate,rho_mean_post_neutral_xy_drift,rho_std_post_neutral_xy_drift,rho_min_post_neutral_xy_drift,rho_max_post_neutral_xy_drift,rho_nonpositive_post_neutral_xy_drift,rho_mean_post_neutral_alt_drift,rho_std_post_neutral_alt_drift,rho_min_post_neutral_alt_drift,rho_max_post_neutral_alt_drift,rho_nonpositive_post_neutral_alt_drift,rho_mean_post_neutral_xy_velocity,rho_std_post_neutral_xy_velocity,rho_min_post_neutral_xy_velocity,rho_max_post_neutral_xy_velocity,rho_nonpositive_post_neutral_xy_velocity
0,0,A,uniform_random,sample0001,bd501966a1930d6f,runs/direction_a_px4_position_seed0_v0/thetas/A_00000_bd501966a1930d6f.npy,5,92.9677337789908,0.3743967142944108,interior,22,"pitch,roll,throttle,yaw",robust_safe,False,1.9366911243331135,0.020006163316156633,1.9047038018706455,1.9533095400008422,0,0.9944670677185059,0.0011627447805809194,0.9928255081176758,0.9956340789794922,0,0.8820882204607539,0.012280843313763655,0.8660401654481876,0.8982152793946636,0
1,1,A,uniform_random,sample0002,b9a6f541d1f35109,runs/direction_a_px4_position_seed0_v0/thetas/A_00001_b9a6f541d1f35109.npy,5,95.17879556698608,0.549251508217494,moderate,29,"pitch,roll,throttle,yaw",robust_safe,False,1.701319102163266,0.04859364343183866,1.6569040235851658,1.7828194025997148,0,0.8945979118347168,0.011035806121355738,0.8760356903076172,0.9050359725952148,0,0.5566231845160795,0.047744225124414806,0.5232141840319628,0.6383289972748557,0
2,2,A,uniform_random,sample0003,4ea351ae2b8043f3,runs/direction_a_px4_position_seed0_v0/thetas/A_00002_4ea351ae2b8043f3.npy,5,93.31285624101292,0.938600000394374,saturated,37,"pitch,roll,throttle,yaw",robust_violation,False,-0.20808250725406596,0.12901402753005434,-0.3477043677234728,-0.00440910865428723,5,0.8340681076049805,0.01600195013947328,0.8177602291107178,0.859856128692627,0,-1.0621509192531984,0.07881422601049602,-1.1571996879716848,-0.9413080822479776,5
3,3,A,uniform_random,sample0004,36a5a0bc8a3952c9,runs/direction_a_px4_position_seed0_v0/thetas/A_00003_36a5a0bc8a3952c9.npy,5,92.62540264701238,0.8251526679044936,moderate,26,"pitch,roll,throttle,yaw",robust_violation,False,-1.5428095534302586,0.21793299579697722,-1.8017786149182653,-1.287028335541557,5,0.9889731407165527,0.0036037688369571714,0.9859113693237305,0.9947848320007324,0,-1.7136993589979084,0.10353326540533614,-1.849444568945688,-1.6043827275344662,5
4,4,A,uniform_random,sample0005,0ce013529b61a560,runs/direction_a_px4_position_seed0_v0/thetas/A_00004_0ce013529b61a560.npy,5,92.3524358769937,0.764105666890948,moderate,22,"pitch,roll,throttle,yaw",robust_safe,False,1.5642341087420217,0.06810922292197608,1.498132129161725,1.6440985169517868,0,0.6146269798278808,0.025389645214971515,0.5803103446960449,0.6426119804382324,0,0.5130426315990472,0.03388236075844434,0.47706714202812206,0.5502054810658215,0
5,5,A,uniform_random,sample0006,38b4f7f1075a05f6,runs/direction_a_px4_position_seed0_v0/thetas/A_00005_38b4f7f1075a05f6.npy,5,92.00299979400006,0.881401797617124,moderate,26,"pitch,roll,throttle,yaw",robust_safe,False,1.873188009654428,0.026858982276158985,1.8420071664495385,1.90337475575861,0,0.9816484451293945,0.0034078457662524253,0.9774961471557617,0.9845666885375977,0,0.8249992434024691,0.036845960805561996,0.7722940934532017,0.8540304889661156,0
6,6,A,uniform_random,sample0007,2ee401391d6f8ee9,runs/direction_a_px4_position_seed0_v0/thetas/A_00006_2ee401391d6f8ee9.npy,5,92.22396765500889,0.47391898156141987,interior,28,"pitch,roll,throttle,yaw",robust_safe,False,1.6034045474595437,0.04921440524761164,1.5399906155487126,1.6651304614519862,0,0.9369001388549805,0.003423479782312008,0.9336833953857422,0.9415054321289062,0,0.5035792510744539,0.04747175886564265,0.45697174056866985,0.5786894751590282,0
7,7,A,uniform_random,sample0008,1371ec87d9e48992,runs/direction_a_px4_position_seed0_v0/thetas/A_00007_1371ec87d9e48992.npy,5,92.13804084502044,0.8808255527956899,moderate,20,"pitch,roll,throttle,yaw",robust_safe,False,1.9551631796666513,0.007723806631421932,1.9491382053538024,1.9647016745009707,0,0.3077103614807129,0.02487860547193802,0.2842535972595215,0.34512758255004883,0,0.9683803396000016,0.007264948456614477,0.9602770140576332,0.976445516050027,0
8,8,A,uniform_random,sample0009,cdb2620804c8b62d,runs/direction_a_px4_position_seed0_v0/thetas/A_00008_cdb2620804c8b62d.npy,5,92.79751880699769,0.4052953487361141,interior,24,"pitch,roll,throttle,yaw",robust_safe,False,1.480201699097813,0.07044265977998239,1.4247256017130137,1.5985714765627277,0,0.9924566268920898,0.0027773507398985253,0.9877805709838867,0.9949827194213867,0,0.36645026408032827,0.06679910153736793,0.31598180086944516,0.47575021555861474,0
9,9,A,uniform_random,sample0010,d5b00ffc1e75c52e,runs/direction_a_px4_position_seed0_v0/thetas/A_00009_d5b00ffc1e75c52e.npy,5,91.94812883599661,0.5766638525222316,moderate,26,"pitch,roll,throttle,yaw",robust_violation,False,0.8961285550021193,0.07795578380867928,0.7763547971255984,0.9726088710516765,0,0.9785481452941894,0.002842871153266704,0.9758520126342773,0.9821209907531738,0,-0.079921375643588,0.03983322777734033,-0.14322898146924845,-0.03848338406099372,5
10,10,A,uniform_random,sample0011,841b3a46c67d953a,runs/direction_a_px4_position_seed0_v0/thetas/A_00010_841b3a46c67d953a.npy,5,94.0428391280002,0.86305421526422,moderate,26,"pitch,roll,throttle,yaw",robust_violation,False,-3.026899859730684,0.16481276210707707,-3.2080465670885694,-2.8063083510863516,5,0.7605425834655761,0.012486738980834716,0.7462520599365234,0.774345874786377,0,-2.6610026354161844,0.0941242845572272,-2.7692909578821485,-2.523525436617827,5
11,11,A,uniform_random,sample0012,cc54059b56a47e7d,runs/direction_a_px4_position_seed0_v0/thetas/A_00011_cc54059b56a47e7d.npy,5,92.74395395102329,0.9951752851471565,saturated,32,"pitch,roll,throttle,yaw",robust_violation,False,-1.092829363064644,0.10091043851190082,-1.159340483783851,-0.9153362501330151,5,-0.6264660835266114,0.05561374202980855,-0.7024474143981934,-0.5715417861938477,5,-1.4563149821377386,0.08740258862517442,-1.5230883821550107,-1.307357801058941,5
12,12,A,uniform_random,sample0013,7427fd7baf35875f,runs/direction_a_px4_position_seed0_v0/thetas/A_00012_7427fd7baf35875f.npy,5,92.34665276997839,0.8257492013438907,moderate,34,"pitch,roll,throttle,yaw",robust_violation,False,-0.589288432246174,0.1873769315445485,-0.7766052977745344,-0.33170059793197604,5,0.9074079513549804,0.008286995003886313,0.9002180099487305,0.9205760955810547,0,-1.0250635725112454,0.09939207741082776,-1.1279372889958488,-0.9029420673203041,5
13,13,A,uniform_random,sample0014,17e88f5924c7aa09,runs/direction_a_px4_position_seed0_v0/thetas/A_00013_17e88f5924c7aa09.npy,5,95.1725014760159,0.871741238061625,moderate,19,"pitch,roll,throttle,yaw",robust_safe,False,1.9561621408635506,0.012508929470688426,1.9425106931957519,1.9690322845101327,0,0.32583913803100584,0.060609808807559694,0.24538326263427734,0.40306663513183594,0,0.9676750256507821,0.00797671988066625,0.9573207095213341,0.9764117657816237,0
14,14,A,uniform_random,sample0015,052fe22e4391dcbe,runs/direction_a_px4_position_seed0_v0/thetas/A_00014_052fe22e4391dcbe.npy,5,95.78269558097236,0.5714290365716745,moderate,34,"pitch,roll,throttle,yaw",robust_safe,False,1.4679284219386206,0.07089439486647896,1.3710938192154944,1.5428813694382,0,0.9898611068725586,0.0030674768238693937,0.9863195419311523,0.9936442375183105,0,0.41943832857258395,0.05637696530578143,0.34177888976894544,0.4777195751017189,0
15,15,A,uniform_random,sample0016,168fef8ba7e3e91b,runs/direction_a_px4_position_seed0_v0/thetas/A_00015_168fef8ba7e3e91b.npy,5,96.16060500100139,0.6024266940015532,moderate,26,"pitch,roll,throttle,yaw",robust_safe,False,1.905030702568114,0.032780454653738786,1.846596402378372,1.9236452504385695,0,0.9469820499420166,0.0034100342330430984,0.9434046745300293,0.9506101608276367,0,0.8341014515704954,0.01157873525151517,0.8239655156495982,0.848532650144776,0
16,16,A,uniform_random,sample0017,0159a5e7e1697a71,runs/direction_a_px4_position_seed0_v0/thetas/A_00016_0159a5e7e1697a71.npy,5,92.57895969500532,0.6954095588307502,moderate,31,"pitch,roll,throttle,yaw",robust_violation,False,0.03478157991984534,0.10527379032907758,-0.036207904524065526,0.22053078665177095,2,0.9659707069396972,0.0026320639414116717,0.9631409645080566,0.9694104194641113,0,-0.7947459811867345,0.09821621742738144,-0.8938391308495404,-0.6337259741584307,5
17,17,A,uniform_random,sample0018,f3a6aa4a27b7d219,runs/direction_a_px4_position_seed0_v0/thetas/A_00017_f3a6aa4a27b7d219.npy,5,92.20560946501791,0.9723376358711422,saturated,27,"pitch,roll,throttle,yaw",robust_violation,False,-1.8067584765287847,0.30865271705660385,-2.213380081149098,-1.3559849986325996,5,0.970307731628418,0.00809226776740115,0.960503101348877,0.9797248840332031,0,-2.232733126718889,0.2233392257749386,-2.5095361673601486,-1.8991591731107889,5
18,18,A,uniform_random,sample0019,56fa3317d16fad86,runs/direction_a_px4_position_seed0_v0/thetas/A_00018_56fa3317d16fad86.npy,5,95.2063506669947,0.7609725921355044,moderate,34,"pitch,roll,throttle,yaw",robust_safe,False,1.638601998585565,0.05938122065664331,1.5380527226888587,1.6801087693176864,0,0.9795345306396485,0.0019315730234092151,0.9772367477416992,0.9820780754089355,0,0.5824475088621922,0.038229295283061106,0.5253770059628737,0.6241830953577152,0
19,19,A,uniform_random,sample0020,2274f7fea9f5c8e6,runs/direction_a_px4_position_seed0_v0/thetas/A_00019_2274f7fea9f5c8e6.npy,5,92.97957309801131,0.45973721482184243,interior,21,"pitch,roll,throttle,yaw",robust_safe,False,1.4628666459981683,0.08024855942068755,1.4003369539054784,1.5908838322912389,0,0.9941378593444824,0.0025853979767510313,0.9907646179199219,0.9973139762878418,0,0.35187189799071383,0.06644327366250462,0.28655610292230604,0.459330246436345,0
20,20,A,uniform_random,sample0021,d81ed80232c4bfb0,runs/direction_a_px4_position_seed0_v0/thetas/A_00020_d81ed80232c4bfb0.npy,5,92.94231597500038,0.5041881744491945,moderate,25,"pitch,roll,throttle,yaw",robust_safe,False,1.5994950199024678,0.04285759681120731,1.564466108717191,1.6730480263647576,0,0.9866007804870606,0.003413632462260521,0.9824953079223633,0.9901928901672363,0,0.5046182752429594,0.02478721426886099,0.4687086376485252,0.5291053334795002,0
21,21,A,uniform_random,sample0022,62f4da8df7459adb,runs/direction_a_px4_position_seed0_v0/thetas/A_00021_62f4da8df7459adb.npy,5,92.02986728900578,0.986557849279539,saturated,36,"pitch,roll,throttle,yaw",robust_violation,False,-1.754970958548812,0.30747572140429313,-2.2416890256216657,-1.3997505414403384,5,0.22693967819213867,0.033764949105337935,0.1947932243347168,0.27879858016967773,0,-2.2510827611380817,0.20490974900092188,-2.443468682749241,-1.959832029893032,5
22,22,A,uniform_random,sample0023,3b807fff4fb7c030,runs/direction_a_px4_position_seed0_v0/thetas/A_00022_3b807fff4fb7c030.npy,5,94.43089729000349,0.5959946045534555,moderate,34,"pitch,roll,throttle,yaw",robust_violation,False,0.809654128800935,0.03887257511050415,0.7637193966472393,0.8668028857354007,0,0.984149169921875,0.004307980266652334,0.977726936340332,0.9879336357116699,0,-0.2750683226747566,0.0540169595774806,-0.3359975410093574,-0.19170837123719098,5
23,23,A,uniform_random,sample0024,32505920f322783d,runs/direction_a_px4_position_seed0_v0/thetas/A_00023_32505920f322783d.npy,5,92.30848675200832,0.9602657634328735,saturated,32,"pitch,roll,throttle,yaw",robust_violation,False,0.2727575752898738,0.053539956297694265,0.20671512940639936,0.33598895616638846,0,0.8875649452209473,0.0018610708900669488,0.886049747467041,0.8907589912414551,0,-0.4341105767903845,0.024827429817248906,-0.4567165954892898,-0.39169979807919986,5
24,24,A,uniform_random,sample0025,10cde3ea3d9fb87b,runs/direction_a_px4_position_seed0_v0/thetas/A_00024_10cde3ea3d9fb87b.npy,5,92.15391440500389,0.8396396700700394,moderate,31,"pitch,roll,throttle,yaw",robust_violation,False,-2.1802898339032986,0.11662193947998253,-2.2660260057259745,-1.977433748482249,5,0.939827823638916,0.00449426304887195,0.9340848922729492,0.9450283050537109,0,-2.5286854843424957,0.08850723864203444,-2.6232810702053735,-2.384442995766235,5
25,25,A,uniform_random,sample0026,a8cd4c9b1cbcd2ea,runs/direction_a_px4_position_seed0_v0/thetas/A_00025_a8cd4c9b1cbcd2ea.npy,5,95.72881521601812,0.7903028790590263,moderate,29,"pitch,roll,throttle,yaw",robust_violation,False,0.4194331804732915,0.12080577813926852,0.2610413716559934,0.5460636425509562,0,0.9905454635620117,0.002607132107458795,0.9869670867919922,0.9929742813110352,0,-0.5197105498022803,0.08925586504165421,-0.6121716128355357,-0.4114979497751816,5
26,26,A,uniform_random,sample0027,f3aebbcda9a32b91,runs/direction_a_px4_position_seed0_v0/thetas/A_00026_f3aebbcda9a32b91.npy,5,92.8744060129975,0.9418828634004148,saturated,37,"pitch,roll,throttle,yaw",robust_violation,False,0.20978240949007848,0.05225578846100122,0.1603060681772921,0.29431348432591076,0,0.5160591125488281,0.04249431721652711,0.46927356719970703,0.5674943923950195,0,-0.5813813563749474,0.025444188054871305,-0.6031905669940334,-0.5393748376136895,5
27,27,A,uniform_random,sample0028,ec1d06f9dc931e49,runs/direction_a_px4_position_seed0_v0/thetas/A_00027_ec1d06f9dc931e49.npy,5,92.47490667999955,0.6529756765823442,moderate,27,"pitch,roll,throttle,yaw",robust_violation,False,0.43148632415504284,0.09794288936578896,0.31412678982576203,0.5616993258266281,0,0.9427534103393554,0.008654269741735795,0.9295282363891602,0.9520349502563477,0,-0.4874085444002036,0.0495840788963805,-0.5325292425536823,-0.42582582361020727,5
28,28,A,uniform_random,sample0029,a6f173e68ffb39e1,runs/direction_a_px4_position_seed0_v0/thetas/A_00028_a6f173e68ffb39e1.npy,5,92.26848558400525,0.4740471039284415,interior,27,"pitch,roll,throttle,yaw",robust_safe,False,1.4059338896760596,0.030831178578277735,1.3709084472415012,1.451373466904816,0,0.9541448593139649,0.001768573122989304,0.951869010925293,0.9561948776245117,0,0.2656679932477096,0.03887004162047015,0.2321449319334974,0.3257083991116111,0
29,29,A,uniform_random,sample0030,0877b7fb97eefe3a,runs/direction_a_px4_position_seed0_v0/thetas/A_00029_0877b7fb97eefe3a.npy,5,92.26619575501536,0.7879870138336156,moderate,34,"pitch,roll,throttle,yaw",noise_band,True,1.0421832773095105,0.04183466751165591,0.9816509935331965,1.0898391398456901,0,0.5902646064758301,0.03844811668090134,0.5388622283935547,0.6363716125488281,0,-0.013199846410940385,0.03229687203244596,-0.06715411664611004,0.017443773087405634,3
30,30,A,uniform_random,sample0031,412d53edb7c2005b,runs/direction_a_px4_position_seed0_v0/thetas/A_00030_412d53edb7c2005b.npy,5,95.31720301200403,0.9489588688118653,saturated,33,"pitch,roll,throttle,yaw",robust_violation,False,-1.8761799913552621,0.04636624565947571,-1.922996971975294,-1.8036069910353052,5,0.9138823509216308,0.004723996816142173,0.9086308479309082,0.9198384284973145,0,-2.576249403343319,0.030572560301256494,-2.625614416285742,-2.542048291549109,5
31,31,A,uniform_random,sample0032,c76b043cda6e1957,runs/direction_a_px4_position_seed0_v0/thetas/A_00031_c76b043cda6e1957.npy,5,94.81930681300582,0.6908477957880246,moderate,33,"pitch,roll,throttle,yaw",robust_violation,False,0.24727658365978397,0.08907837031526421,0.14805150177847248,0.35865617313607023,0,0.8640212059020996,0.01286750965111979,0.844977855682373,0.8785247802734375,0,-0.6196281212456036,0.06268662325447202,-0.6849689745238661,-0.5440158792379863,5
32,32,A,uniform_random,sample0033,cab0d76b70fb6ea5,runs/direction_a_px4_position_seed0_v0/thetas/A_00032_cab0d76b70fb6ea5.npy,5,93.09351843199693,0.7235439004555391,moderate,33,"pitch,roll,throttle,yaw",robust_violation,False,-1.9383781426198603,0.1057203569622935,-2.055775042016431,-1.778433737781397,5,0.9384198188781738,0.009408521655725862,0.9279108047485352,0.9494390487670898,0,-1.9694760085728613,0.0784541028814217,-2.044070763701172,-1.8502154131606403,5
33,33,A,uniform_random,sample0034,d29a713149639fd7,runs/direction_a_px4_position_seed0_v0/thetas/A_00033_d29a713149639fd7.npy,5,96.74952903101803,0.7563967440831385,moderate,37,"pitch,roll,throttle,yaw",robust_violation,False,-0.39021857768190704,0.07951173164138171,-0.46016287655426114,-0.29807869045707847,5,0.889622688293457,0.0038854526125100953,0.8861551284790039,0.8956646919250488,0,-1.067691851467742,0.07430941074798643,-1.1430382795649248,-0.9778298527930782,5
34,34,A,uniform_random,sample0035,a003dd1fffa92a85,runs/direction_a_px4_position_seed0_v0/thetas/A_00034_a003dd1fffa92a85.npy,5,93.49499359200126,0.9726432004355698,saturated,27,"pitch,roll,throttle,yaw",robust_violation,False,-1.9338343795412434,0.16772071737797825,-2.167814395673843,-1.7509113015643099,5,0.9811736106872558,0.00227340778841863,0.9778389930725098,0.9838175773620605,0,-2.4718289417249424,0.08953690357161383,-2.5609581271928925,-2.3403567564134833,5
35,35,A,uniform_random,sample0036,3969a25c6c7c298b,runs/direction_a_px4_position_seed0_v0/thetas/A_00035_3969a25c6c7c298b.npy,5,94.90531380998436,0.5291546654258317,moderate,31,"pitch,roll,throttle,yaw",robust_safe,False,1.8032980778192347,0.023574761444959104,1.7782225176059132,1.8371088533207813,0,0.8553747177124024,0.012536635324387138,0.839470386505127,0.8727073669433594,0,0.7986758628645377,0.015514113848850174,0.7815274704197103,0.823507489952298,0
36,36,A,uniform_random,sample0037,fcb548ae275c1780,runs/direction_a_px4_position_seed0_v0/thetas/A_00036_fcb548ae275c1780.npy,5,96.6707486740197,0.7393593843033672,moderate,26,"pitch,roll,throttle,yaw",robust_violation,False,0.22828666307983303,0.10299110843750511,0.07401655879977365,0.35403894871162667,0,0.9809026718139648,0.006515725012529875,0.9717764854431152,0.9881515502929688,0,-0.6131218969322676,0.07019417187273737,-0.7107315295210499,-0.5255170648063556,5
37,37,A,uniform_random,sample0038,27c6907faf9071bc,runs/direction_a_px4_position_seed0_v0/thetas/A_00037_27c6907faf9071bc.npy,5,96.6580543910095,0.567307555875659,moderate,29,"pitch,roll,throttle,yaw",noise_band,True,0.8877125028898455,0.1163519593673425,0.7836368571660721,1.0799984137617964,0,0.9482265472412109,0.005052318714076044,0.9450192451477051,0.9567933082580566,0,-0.13103350378971879,0.08326999345442719,-0.1808313017522749,0.017095451089239377,4
38,38,A,uniform_random,sample0039,7947d05e8726b1bd,runs/direction_a_px4_position_seed0_v0/thetas/A_00038_7947d05e8726b1bd.npy,5,94.27317031900748,0.7885868810250195,moderate,33,"pitch,roll,throttle,yaw",robust_violation,False,-1.3516154984292907,0.14104525674024312,-1.601044192858529,-1.2676052867813983,5,0.8821331024169922,0.0028469864200999654,0.8791360855102539,0.8868145942687988,0,-1.8210020384887788,0.09110542677687133,-1.9651868604323486,-1.7118200969229629,5
39,39,A,uniform_random,sample0040,207a957ecf65a9fa,runs/direction_a_px4_position_seed0_v0/thetas/A_00039_207a957ecf65a9fa.npy,5,97.53687762099435,0.8603976302133045,moderate,36,"pitch,roll,throttle,yaw",robust_violation,False,-1.8600361132115293,0.0935398931843029,-1.9697347562490926,-1.7442221474522879,5,0.9651721000671387,0.0035323100669456668,0.9604902267456055,0.9688906669616699,0,-1.7571346494005855,0.0487811125234916,-1.8082917705513282,-1.7075947093284558,5
40,40,A,uniform_random,sample0041,22393126ff638070,runs/direction_a_px4_position_seed0_v0/thetas/A_00040_22393126ff638070.npy,5,93.5433100759983,0.8882172195532265,moderate,30,"pitch,roll,throttle,yaw",robust_violation,False,-1.3591697472032052,0.10494081615365412,-1.4376904810898892,-1.1773809239983328,5,0.8376902580261231,0.013324729927178482,0.8194036483764648,0.8518710136413574,0,-1.9057433798121628,0.048404399067786034,-1.9573400680809927,-1.828182632102883,5
