label,description,active_channel,sign,repeat_idx,theta_hash,query_id,cache_tag,query_retry_count,repeat_elapsed_wall_time_s,robustness_post_neutral_xy_drift,robustness_post_neutral_alt_drift,robustness_post_neutral_xy_velocity,robustness_post_neutral_climb_rate,robustness_post_neutral_yaw_rate,residual_rate_property,residual_rate_unit,residual_rate_threshold,residual_rate_tail_start_window_lo_s,residual_rate_tail_start_window_hi_s,residual_rate_terminal_window_lo_s,residual_rate_terminal_window_hi_s,residual_rate_full_tail_window_lo_s,residual_rate_full_tail_window_hi_s,residual_rate_tail_start_peak_abs_rate,residual_rate_terminal_peak_abs_rate,residual_rate_rho_tier1,residual_rate_nondecay_ratio_margin,residual_rate_nondecay_slope_margin,meta_scenario_id,meta_seed,meta_query_type,meta_theta_hash,meta_cache_tag,meta_wall_time_s,meta_prepare_wall_time_s,meta_run_wall_time_s,meta_parse_wall_time_s,meta_shutdown_wall_time_s,meta_total_wall_time_s,meta_adapter_arm_request_count,meta_adapter_arm_retry_count,meta_adapter_mode_switch_request_count_total,meta_adapter_mode_switch_retry_count_total,meta_adapter_mode_switch_POSCTL_request_count,meta_adapter_mode_switch_POSCTL_retry_count
zero_anchor,neutral zero input,yaw,0,0,7b6436b0c98f6238,7b6436b0c98f6238_px4_position_0_residual_rate_phase0_yaw_rate_zero_anchor_repeat0,residual_rate_phase0_yaw_rate_zero_anchor_repeat0,0,20.542012436999357,1.942262519543356,0.9947724342346191,0.9710801489827453,0.2928750959224999,0.24467283151410868,post_neutral_yaw_rate,rad/s,0.261799388,5.0,7.0,11.0,13.0,5.0,13.0,0.014209296554327,0.0171265564858913,0.24467283151410874,0.0057591192424297,9.893618559751288e-05,px4_position,0,residual_rate_phase0,7b6436b0c98f6238,residual_rate_phase0_yaw_rate_zero_anchor_repeat0,3.0871016410019365,16.345567516997107,3.0871016410019365,0.016349165998690296,1.0373871560004773,20.48641376800515,1,0,2,0,2,0
zero_anchor,neutral zero input,yaw,0,1,7b6436b0c98f6238,7b6436b0c98f6238_px4_position_0_residual_rate_phase0_yaw_rate_zero_anchor_repeat1,residual_rate_phase0_yaw_rate_zero_anchor_repeat1,0,20.677499804995023,1.9320579141035035,0.9927949905395508,0.9578196077631712,0.29177952390164136,0.24746814779304316,post_neutral_yaw_rate,rad/s,0.261799388,5.0,7.0,11.0,13.0,5.0,13.0,0.0153739806264638,0.0143312402069568,0.2474681477930432,0.0020320557057857593,-6.30283184014511e-05,px4_position,0,residual_rate_phase0,7b6436b0c98f6238,residual_rate_phase0_yaw_rate_zero_anchor_repeat1,3.0754855449995375,16.484309958002996,3.0754855449995375,0.014715869001520332,1.043378574999224,20.61789823500294,1,0,2,0,2,0
zero_anchor,neutral zero input,yaw,0,2,7b6436b0c98f6238,7b6436b0c98f6238_px4_position_0_residual_rate_phase0_yaw_rate_zero_anchor_repeat2,residual_rate_phase0_yaw_rate_zero_anchor_repeat2,0,20.6216999390017,1.9150958598302115,0.9889459609985352,0.9522521676140231,0.28826649878174065,0.24825801085047772,post_neutral_yaw_rate,rad/s,0.261799388,5.0,7.0,11.0,13.0,5.0,13.0,0.0205374881625175,0.0135413771495223,0.24825801085047772,-0.0028886133804917006,3.60313333756263e-05,px4_position,0,residual_rate_phase0,7b6436b0c98f6238,residual_rate_phase0_yaw_rate_zero_anchor_repeat2,3.095380499995372,16.367391305997444,3.095380499995372,0.015809794000233524,1.0581516609963728,20.53674116500042,1,0,2,0,2,0
zero_anchor,neutral zero input,yaw,0,3,7b6436b0c98f6238,7b6436b0c98f6238_px4_position_0_residual_rate_phase0_yaw_rate_zero_anchor_repeat3,residual_rate_phase0_yaw_rate_zero_anchor_repeat3,0,20.426946109997516,1.9646988788753588,0.9864330291748047,0.9775579952313218,0.29336248263716697,0.24719840511046698,post_neutral_yaw_rate,rad/s,0.261799388,5.0,7.0,11.0,13.0,5.0,13.0,0.0137330368161201,0.014600982889533,0.24719840511046703,0.003614553436636919,8.801863893597508e-06,px4_position,0,residual_rate_phase0,7b6436b0c98f6238,residual_rate_phase0_yaw_rate_zero_anchor_repeat3,3.034959237993462,16.251886339996418,3.034959237993462,0.015155688000959344,1.0397680660025799,20.34177746000205,1,0,2,0,2,0
zero_anchor,neutral zero input,yaw,0,4,7b6436b0c98f6238,7b6436b0c98f6238_px4_position_0_residual_rate_phase0_yaw_rate_zero_anchor_repeat4,residual_rate_phase0_yaw_rate_zero_anchor_repeat4,0,20.509013202005008,1.9349113307724897,0.9936857223510742,0.9626516185179163,0.2945379761047661,0.24681639987342407,post_neutral_yaw_rate,rad/s,0.261799388,5.0,7.0,11.0,13.0,5.0,13.0,0.0206370800733566,0.0149829881265759,0.24681639987342413,-0.0015266759321093826,7.481735788107598e-05,px4_position,0,residual_rate_phase0,7b6436b0c98f6238,residual_rate_phase0_yaw_rate_zero_anchor_repeat4,3.0313102759973845,16.32410632399842,3.0313102759973845,0.015105657003005035,1.0491618590021972,20.419692980001855,1,0,2,0,2,0
yaw_pos_full,saturated positive yaw,yaw,1,0,2179b4bc58a97941,2179b4bc58a97941_px4_position_0_residual_rate_phase0_yaw_rate_yaw_pos_full_repeat0,residual_rate_phase0_yaw_rate_yaw_pos_full_repeat0,0,20.32465672699618,1.9392412694439416,0.9843349456787109,0.8881143353643328,0.28418402671813964,0.2457165405090933,post_neutral_yaw_rate,rad/s,0.261799388,5.0,7.0,11.0,13.0,5.0,13.0,2.6497085094451904,0.0160828474909067,0.2457165405090933,-2.1036839600652457,-0.09919548597066304,px4_position,0,residual_rate_phase0,2179b4bc58a97941,residual_rate_phase0_yaw_rate_yaw_pos_full_repeat0,3.0870727520014043,16.098149430996273,3.0870727520014043,0.016023834999941755,1.0366862529990613,20.23793979099719,1,0,2,0,2,0
yaw_pos_full,saturated positive yaw,yaw,1,1,2179b4bc58a97941,2179b4bc58a97941_px4_position_0_residual_rate_phase0_yaw_rate_yaw_pos_full_repeat1,residual_rate_phase0_yaw_rate_yaw_pos_full_repeat1,0,20.42802454399498,1.9226151028578828,0.9875607490539551,0.8836241038207805,0.2897530088201165,0.24187176152430823,post_neutral_yaw_rate,rad/s,0.261799388,5.0,7.0,11.0,13.0,5.0,13.0,2.669376373291016,0.0199276264756917,0.2418717615243083,-2.1155734721571213,-0.1041111410654226,px4_position,0,residual_rate_phase0,2179b4bc58a97941,residual_rate_phase0_yaw_rate_yaw_pos_full_repeat1,3.0366792770000757,16.263739952002652,3.0366792770000757,0.014407093993213493,1.0384490540018305,20.353284017000988,1,0,2,0,2,0
yaw_pos_full,saturated positive yaw,yaw,1,2,2179b4bc58a97941,2179b4bc58a97941_px4_position_0_residual_rate_phase0_yaw_rate_yaw_pos_full_repeat2,residual_rate_phase0_yaw_rate_yaw_pos_full_repeat2,0,20.501241728001332,1.9095512469044884,0.9901919364929199,0.8407695577381289,0.2922280730679631,0.24553706906102946,post_neutral_yaw_rate,rad/s,0.261799388,5.0,7.0,11.0,13.0,5.0,13.0,2.650041103363037,0.0162623189389705,0.2455370690610295,-2.103770563751459,-0.09899286936568569,px4_position,0,residual_rate_phase0,2179b4bc58a97941,residual_rate_phase0_yaw_rate_yaw_pos_full_repeat2,3.146154342000955,16.22171113200602,3.146154342000955,0.015678650997870136,1.0313981600047555,20.414950956997927,1,0,3,1,3,1
yaw_pos_full,saturated positive yaw,yaw,1,3,2179b4bc58a97941,2179b4bc58a97941_px4_position_0_residual_rate_phase0_yaw_rate_yaw_pos_full_repeat3,residual_rate_phase0_yaw_rate_yaw_pos_full_repeat3,0,20.76153345599596,1.9060084381524125,0.9940476417541504,0.9129090863968337,0.2981345352716744,0.2501235971163993,post_neutral_yaw_rate,rad/s,0.261799388,5.0,7.0,11.0,13.0,5.0,13.0,2.655640125274658,0.0116757908836007,0.2501235971163993,-2.1128363093361258,-0.1068532205036875,px4_position,0,residual_rate_phase0,2179b4bc58a97941,residual_rate_phase0_yaw_rate_yaw_pos_full_repeat3,3.173541522002779,16.4434592769976,3.173541522002779,0.015676271003030706,1.0459786880019237,20.67866366200178,1,0,2,0,2,0
yaw_pos_full,saturated positive yaw,yaw,1,4,2179b4bc58a97941,2179b4bc58a97941_px4_position_0_residual_rate_phase0_yaw_rate_yaw_pos_full_repeat4,residual_rate_phase0_yaw_rate_yaw_pos_full_repeat4,0,20.518561080003565,1.8849463835984324,0.992100715637207,0.8804285496733658,0.29176450818777083,0.2494679208781605,post_neutral_yaw_rate,rad/s,0.261799388,5.0,7.0,11.0,13.0,5.0,13.0,2.6579861640930176,0.0123314671218395,0.24946792087816053,-2.1140574641525745,-0.10219214333169163,px4_position,0,residual_rate_phase0,2179b4bc58a97941,residual_rate_phase0_yaw_rate_yaw_pos_full_repeat4,3.128568328000256,16.273852567996073,3.128568328000256,0.015852837001148146,1.0376325210017967,20.455914029997075,1,0,2,0,2,0
