seed,eval_id,label,theta_hash,active_channels,active_channel_count,support,duration_support_over_active_channels_windows,duration_label_d_windows,duration_crosscheck_match,max_abs_theta,rho_mean_xy_velocity,rho_std_xy_velocity,probe_groups_csv_present
0,164,env0129_deg045_w07_d03_iter00_a0p5000,0556702a8ad39731,"pitch,roll",2,6,3.0,3,True,0.5,-0.21579814827218402,0.027386990442624846,False
0,168,env0129_deg045_w07_d03_iter04_a0p4688,7307155a039ce0db,"pitch,roll",2,6,3.0,3,True,0.46875,-0.10159106193766303,0.041266041616683215,False
0,174,env0190_deg270_w04_d05_iter00_a0p5000,f7d1cf8cc272f027,pitch,1,6,6.0,5,False,0.5,-0.27569431634334424,0.018786963184361394,False
0,178,env0190_deg270_w04_d05_iter04_a0p4688,afbdfb6c0cf0f9b4,pitch,1,6,6.0,5,False,0.46875,-0.1202765921826996,0.016175800519844748,False
0,179,env0190_deg270_w04_d05_iter05_a0p4531,5847a4b75d46778f,pitch,1,6,6.0,5,False,0.453125,-0.0410131898450663,0.019494240937728377,False
0,182,env0161_deg045_w06_d04_iter00_a0p5000,36c4ad75ca8b372b,"pitch,roll",2,8,4.0,4,True,0.5,-0.6057221788611551,0.031542194415760415,False
0,185,env0161_deg045_w06_d04_iter03_a0p4375,32018296437e814e,"pitch,roll",2,8,4.0,4,True,0.4375,-0.2805254123829051,0.038954021097324,False
0,186,env0161_deg045_w06_d04_iter04_a0p4062,115d1049daf89b7a,"pitch,roll",2,8,4.0,4,True,0.40625,-0.09229208495793513,0.02120639924320243,False
0,191,env0164_deg180_w06_d04_iter00_a0p5000,520f34858a740487,roll,1,4,4.0,4,True,0.5,-0.14264804786724827,0.02138559592797741,False
0,196,env0164_deg180_w06_d04_iter05_a0p4844,9dfde040ab231b58,roll,1,4,4.0,4,True,0.484375,-0.04889124494504684,0.011718642787812997,False
0,199,env0167_deg315_w06_d04_iter00_a0p5000,a98d7690b189a629,"pitch,roll",2,8,4.0,4,True,0.5,-0.6352777700934911,0.03729419719888912,False
0,202,env0167_deg315_w06_d04_iter03_a0p4375,65ea075e8f5028c3,"pitch,roll",2,8,4.0,4,True,0.4375,-0.3064724063342138,0.0412976566286422,False
0,203,env0167_deg315_w06_d04_iter04_a0p4062,c22e3f18f193458b,"pitch,roll",2,8,4.0,4,True,0.40625,-0.09687958821115297,0.03869205414839823,False
0,226,env0162_deg090_w06_d04_iter00_a0p5000,07cb13c99e811d06,pitch,1,4,4.0,4,True,0.5,-0.12156258017263699,0.02540585151267053,False
0,231,env0162_deg090_w06_d04_iter05_a0p4844,a03b4fa95d47c883,pitch,1,4,4.0,4,True,0.484375,-0.059233088344094444,0.026914764006297585,False
0,234,env0184_deg000_w04_d05_iter00_a0p5000,aec082d57a938c50,roll,1,6,6.0,5,False,0.5,-0.2825505087145494,0.024339615983357793,False
0,238,env0184_deg000_w04_d05_iter04_a0p4688,06e3f5b3f479d040,roll,1,6,6.0,5,False,0.46875,-0.13465042098956373,0.015616155047291823,False
0,239,env0184_deg000_w04_d05_iter05_a0p4531,58fb2fe932525f32,roll,1,6,6.0,5,False,0.453125,-0.038870416463832005,0.011477006289615838,False
1,174,env0221_deg225_w00_d10_iter00_a0p5000,643f33ad0890d370,"pitch,roll",2,20,10.0,10,True,0.5,-1.8653864058339351,0.05175607503425563,True
1,176,env0221_deg225_w00_d10_iter02_a0p3750,f64cf84b442cc523,"pitch,roll",2,20,10.0,10,True,0.375,-0.691364546318813,0.06375392338492583,True
1,177,env0221_deg225_w00_d10_iter03_a0p3125,07fe2efa95474bec,"pitch,roll",2,20,10.0,10,True,0.3125,-0.2795731346441237,0.013140891570603006,True
1,178,env0221_deg225_w00_d10_iter04_a0p2812,69de18c2eda02fd0,"pitch,roll",2,20,10.0,10,True,0.28125,-0.0484001339572326,0.02353733743466496,True
1,186,env0191_deg315_w04_d05_iter00_a0p5000,c667c890a134799c,"pitch,roll",2,12,6.0,5,False,0.5,-0.8470169015478177,0.014739816297970127,True
1,198,env0209_deg045_w00_d08_iter00_a0p5000,c68dd5e48807600d,"pitch,roll",2,18,9.0,8,False,0.5,-0.7855700694103254,0.03990016308375558,True
