query_id,trace_index,scenario_id,cache_tag,failure_stage,failure_reason,target_test_mode,staging_mode_used,final_pre_maneuver_mode,time_s,requested_mode,observed_mode_before,ack_result,ack,observed_mode_after,success,request_count,reason
600e8ba266f44424_px4_acro_roll_0_paramsb8fe5bcbd1_mantis_stage_c_rate_p_x1p5_strong_doublet_roll_0p7_strong_doublet_roll_0p7_repeat0,0,px4_acro_roll,mantis_stage_c_rate_p_x1p5_strong_doublet_roll_0p7_strong_doublet_roll_0p7_repeat0,,,ACRO,,ACRO,12.013235121004982,ACRO,TAKEOFF,0.0,result=0 progress=0 result_param2=0,ACRO,True,1,matched_requested_mode
600e8ba266f44424_px4_acro_roll_0_paramsb8fe5bcbd1_mantis_stage_c_rate_p_x1p5_strong_step_roll_0p5_strong_step_roll_0p5_repeat0,0,px4_acro_roll,mantis_stage_c_rate_p_x1p5_strong_step_roll_0p5_strong_step_roll_0p5_repeat0,,,ACRO,,ACRO,11.924459846006357,ACRO,TAKEOFF,0.0,result=0 progress=0 result_param2=0,ACRO,True,1,matched_requested_mode
600e8ba266f44424_px4_acro_roll_0_paramsb8fe5bcbd1_mantis_stage_c_rate_p_x1p5_strong_step_roll_0p7_strong_step_roll_0p7_repeat0,0,px4_acro_roll,mantis_stage_c_rate_p_x1p5_strong_step_roll_0p7_strong_step_roll_0p7_repeat0,,,ACRO,,ACRO,12.319715317004011,ACRO,TAKEOFF,0.0,result=0 progress=0 result_param2=0,ACRO,True,1,matched_requested_mode
600e8ba266f44424_px4_acro_roll_0_paramsb8fe5bcbd1_mantis_stage_c_rate_p_x1p5_strong_step_roll_0p9_strong_step_roll_0p9_repeat0,0,px4_acro_roll,mantis_stage_c_rate_p_x1p5_strong_step_roll_0p9_strong_step_roll_0p9_repeat0,,,ACRO,,ACRO,11.89982686600706,ACRO,TAKEOFF,0.0,result=0 progress=0 result_param2=0,ACRO,True,1,matched_requested_mode
77ddc9e0aa4f00eb_px4_acro_roll_0_params0b218f611c_mantis_stage_b_small_rate_i_x1p5_small_step_roll_repeat0,0,px4_acro_roll,mantis_stage_b_small_rate_i_x1p5_small_step_roll_repeat0,,,ACRO,,ACRO,12.265917336000712,ACRO,TAKEOFF,0.0,result=0 progress=0 result_param2=0,ACRO,True,1,matched_requested_mode
77ddc9e0aa4f00eb_px4_acro_roll_0_params122a77cb20_mantis_stage_b_small_rate_p_x2p0_att_p_x1p5_small_step_roll_repeat0,0,px4_acro_roll,mantis_stage_b_small_rate_p_x2p0_att_p_x1p5_small_step_roll_repeat0,,,ACRO,,ACRO,11.718873956997413,ACRO,TAKEOFF,,,ACRO,True,1,matched_requested_mode
77ddc9e0aa4f00eb_px4_acro_roll_0_params2c7f0ea37a_mantis_stage_b_small_rate_d_x0p5_small_step_roll_repeat0,0,px4_acro_roll,mantis_stage_b_small_rate_d_x0p5_small_step_roll_repeat0,,,ACRO,,ACRO,12.095289646007586,ACRO,TAKEOFF,0.0,result=0 progress=0 result_param2=0,ACRO,True,1,matched_requested_mode
77ddc9e0aa4f00eb_px4_acro_roll_0_params851acf5c9a_mantis_stage_b_small_rate_d_x1p5_small_step_roll_repeat0,0,px4_acro_roll,mantis_stage_b_small_rate_d_x1p5_small_step_roll_repeat0,,,ACRO,,ACRO,12.113073059997987,ACRO,TAKEOFF,0.0,result=0 progress=0 result_param2=0,ACRO,True,1,matched_requested_mode
77ddc9e0aa4f00eb_px4_acro_roll_0_params8a1c96817e_mantis_stage_b_small_rate_p_x2p0_rate_d_x0p5_small_step_roll_repeat0,0,px4_acro_roll,mantis_stage_b_small_rate_p_x2p0_rate_d_x0p5_small_step_roll_repeat0,,,ACRO,,ACRO,12.117299317003926,ACRO,TAKEOFF,0.0,result=0 progress=0 result_param2=0,ACRO,True,1,matched_requested_mode
77ddc9e0aa4f00eb_px4_acro_roll_0_paramsb8fe5bcbd1_mantis_stage_b_small_rate_p_x1p5_small_step_roll_repeat0,0,px4_acro_roll,mantis_stage_b_small_rate_p_x1p5_small_step_roll_repeat0,,,ACRO,,ACRO,12.120348201002344,ACRO,TAKEOFF,0.0,result=0 progress=0 result_param2=0,ACRO,True,1,matched_requested_mode
