trigger_id,source_rank,selection_bucket,eval_id,stage,label,theta_hash,theta_path,max_abs_theta,support_size_abs_gt_0p1,active_channels_abs_gt_0p1,rho_mean_post_neutral_xy_velocity,rho_std_post_neutral_xy_velocity
0,0,arm_b_interior,97,random_endpoint,rand0003,1ab5c0d0f90b9060,runs/direction_a_px4_position_seed0_v0/thetas/B_00097_1ab5c0d0f90b9060.npy,0.4519552994823258,28,"pitch,roll,throttle,yaw",-0.1297905226362667,0.024550168544633
1,1,arm_b_interior,107,scale_bisection,rand0004_iter01_a0p7500,4f9e4e8096aeac56,runs/direction_a_px4_position_seed0_v0/thetas/B_00107_4f9e4e8096aeac56.npy,0.4947269496917144,32,"pitch,roll,throttle,yaw",-0.4557087822829336,0.0207468478898996
2,2,arm_b_interior,116,scale_bisection,rand0005_iter02_a0p6250,9fd92bf79a81d85e,runs/direction_a_px4_position_seed0_v0/thetas/B_00116_9fd92bf79a81d85e.npy,0.4261430019508351,26,"pitch,roll,throttle,yaw",-0.0781099208849352,0.0059132869926727
3,3,arm_b_interior,119,scale_bisection,rand0005_iter05_a0p6094,1875150e5456d715,runs/direction_a_px4_position_seed0_v0/thetas/B_00119_1875150e5456d715.npy,0.4154894269020642,25,"pitch,roll,throttle,yaw",-0.0273948517888157,0.0064258580035489
4,4,arm_b_interior,147,scale_bisection,rand0010_iter00_a0p5000,b6f37638eecd435d,runs/direction_a_px4_position_seed0_v0/thetas/B_00147_b6f37638eecd435d.npy,0.4588768271267793,31,"pitch,roll,throttle,yaw",-0.5761638471178098,0.0095290251815392
5,5,arm_b_interior,150,scale_bisection,rand0010_iter03_a0p4375,f683a5684a3befee,runs/direction_a_px4_position_seed0_v0/thetas/B_00150_f683a5684a3befee.npy,0.4015172237359319,27,"pitch,roll,throttle,yaw",-0.2398807346231795,0.0244878692851606
6,6,arm_b_interior,151,scale_bisection,rand0010_iter04_a0p4062,a640eec192e42a4d,runs/direction_a_px4_position_seed0_v0/thetas/B_00151_a640eec192e42a4d.npy,0.3728374220405082,27,"pitch,roll,throttle,yaw",-0.0994290309427096,0.0087103079831138
7,7,arm_b_densest_moderate,113,random_endpoint,rand0005,e42eeb10fbb8320d,runs/direction_a_px4_position_seed0_v0/thetas/B_00113_e42eeb10fbb8320d.npy,0.6818288031213362,32,"pitch,roll,throttle,yaw",-1.5198770475548813,0.027778027714608
8,8,arm_b_densest_moderate,105,random_endpoint,rand0004,86299434d1ec5381,runs/direction_a_px4_position_seed0_v0/thetas/B_00105_86299434d1ec5381.npy,0.6596359329222858,32,"pitch,roll,throttle,yaw",-1.2326657272500203,0.0213619984170854
9,9,arm_b_densest_moderate,89,random_endpoint,rand0002,9ab8912bc8b9fd52,runs/direction_a_px4_position_seed0_v0/thetas/B_00089_9ab8912bc8b9fd52.npy,0.7385352995181491,29,"pitch,roll,throttle,yaw",-1.1401240184166794,0.0648777326451894
