trigger_id,source_eval_id,source_theta_hash,selection_bucket,source_stage,source_label,source_theta_path,source_max_abs_theta,source_support_size_abs_gt_0p1,source_active_channels_abs_gt_0p1,source_rho_mean_post_neutral_xy_velocity,source_rho_std_post_neutral_xy_velocity,final_theta_hash,final_theta_path,final_max_abs_theta,final_support_size_abs_gt_0p1,final_active_channels_abs_gt_0p1,final_active_group_ids_abs_gt_0p1,final_robustness_class,final_rho_mean_post_neutral_xy_velocity,final_rho_std_post_neutral_xy_velocity,final_rho_margin_2sigma_post_neutral_xy_velocity,is_clean,is_roll_pitch_only,is_support_le_8,j5_points_used,query_repeats_used,memo_hits,accepted_steps,budget_exhausted,elapsed_wall_time_s
0,97,1ab5c0d0f90b9060,arm_b_interior,random_endpoint,rand0003,runs/direction_a_px4_position_seed0_v0/thetas/B_00097_1ab5c0d0f90b9060.npy,0.4519552994823258,28,"pitch,roll,throttle,yaw",-0.1297905226362667,0.024550168544633,92a47d3c9d085bfb,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_final_92a47d3c9d085bfb.npy,0.4519552994823258,17,"pitch,roll,throttle,yaw","11,12,16,17,19,20,21,22,23,25,26,29,32,33,37,38,39",robust_violation,-0.037384327027020256,0.01616071665602454,-0.005062893714971178,False,False,False,40,200,7,4,False,3920.855086610012
1,107,4f9e4e8096aeac56,arm_b_interior,scale_bisection,rand0004_iter01_a0p7500,runs/direction_a_px4_position_seed0_v0/thetas/B_00107_4f9e4e8096aeac56.npy,0.4947269496917144,32,"pitch,roll,throttle,yaw",-0.4557087822829336,0.0207468478898996,5da5a141db383307,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T01_final_5da5a141db383307.npy,0.47417763682707226,8,"pitch,roll","20,25,28,29,32,33,36,37",robust_violation,-0.04235196645905135,0.01981887582750816,-0.0027142148040350325,True,True,True,40,200,3,9,True,4048.0337502949988
2,116,9fd92bf79a81d85e,arm_b_interior,scale_bisection,rand0005_iter02_a0p6250,runs/direction_a_px4_position_seed0_v0/thetas/B_00116_9fd92bf79a81d85e.npy,0.4261430019508351,26,"pitch,roll,throttle,yaw",-0.0781099208849352,0.0059132869926727,7e2e9c13e4a03267,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T02_final_7e2e9c13e4a03267.npy,0.4261430019508351,17,"pitch,roll,throttle","8,9,12,16,17,20,21,24,25,28,29,32,33,35,36,37,39",robust_violation,-0.06160382349671294,0.021024083517113514,-0.01955565646248591,False,False,False,40,200,7,4,False,4083.2751709839795
3,119,1875150e5456d715,arm_b_interior,scale_bisection,rand0005_iter05_a0p6094,runs/direction_a_px4_position_seed0_v0/thetas/B_00119_1875150e5456d715.npy,0.4154894269020642,25,"pitch,roll,throttle,yaw",-0.0273948517888157,0.0064258580035489,6f126656b1cf4f9a,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T03_final_6f126656b1cf4f9a.npy,0.3822578977177042,24,"pitch,roll,throttle,yaw","0,3,6,8,9,12,16,17,20,21,22,24,25,26,27,28,29,31,32,33,35,36,37,38",robust_violation,-0.039665895338453036,0.007227443644505105,-0.025211008049442825,False,False,False,40,200,7,1,False,4026.071198900987
4,147,b6f37638eecd435d,arm_b_interior,scale_bisection,rand0010_iter00_a0p5000,runs/direction_a_px4_position_seed0_v0/thetas/B_00147_b6f37638eecd435d.npy,0.4588768271267793,31,"pitch,roll,throttle,yaw",-0.5761638471178098,0.0095290251815392,0d1bbfdd234aab75,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T04_final_0d1bbfdd234aab75.npy,0.4552918519148514,12,"pitch,roll","12,17,20,21,24,25,28,29,32,33,36,37",robust_violation,-0.17216790264145407,0.07818576995697626,-0.01579636272750154,False,True,False,40,200,1,7,True,3740.9632823750144
5,150,f683a5684a3befee,arm_b_interior,scale_bisection,rand0010_iter03_a0p4375,runs/direction_a_px4_position_seed0_v0/thetas/B_00150_f683a5684a3befee.npy,0.4015172237359319,27,"pitch,roll,throttle,yaw",-0.2398807346231795,0.0244878692851606,d28470e4a10b5fb6,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T05_final_d28470e4a10b5fb6.npy,0.38896981049418405,27,"pitch,roll,throttle,yaw","4,8,10,12,13,14,16,17,18,20,21,22,23,24,25,26,28,29,30,31,32,33,34,36,37,38,39",robust_violation,-0.1578500999141573,0.035935110591430626,-0.08597987873129605,False,False,False,40,200,0,1,True,3810.8890125129838
6,151,a640eec192e42a4d,arm_b_interior,scale_bisection,rand0010_iter04_a0p4062,runs/direction_a_px4_position_seed0_v0/thetas/B_00151_a640eec192e42a4d.npy,0.3728374220405082,27,"pitch,roll,throttle,yaw",-0.0994290309427096,0.0087103079831138,9b2db2b1862a540d,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T06_final_9b2db2b1862a540d.npy,0.37283742204050824,17,"pitch,roll,throttle","4,8,12,13,16,17,20,21,24,25,28,29,32,33,36,37,39",robust_violation,-0.08635615731069249,0.014189196507840578,-0.057977764295011336,False,False,False,40,200,7,3,False,3990.2652532830252
7,113,e42eeb10fbb8320d,arm_b_densest_moderate,random_endpoint,rand0005,runs/direction_a_px4_position_seed0_v0/thetas/B_00113_e42eeb10fbb8320d.npy,0.6818288031213362,32,"pitch,roll,throttle,yaw",-1.5198770475548813,0.027778027714608,42c8211a023bf73f,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T07_final_42c8211a023bf73f.npy,0.5211302465242322,6,"pitch,roll","28,29,32,33,36,37",robust_violation,-0.1364618356070748,0.015265701144418737,-0.10593043331823734,True,True,True,38,190,3,5,False,3822.7667436129996
8,105,86299434d1ec5381,arm_b_densest_moderate,random_endpoint,rand0004,runs/direction_a_px4_position_seed0_v0/thetas/B_00105_86299434d1ec5381.npy,0.6596359329222858,32,"pitch,roll,throttle,yaw",-1.2326657272500203,0.0213619984170854,4d6376be0a5f63ec,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T08_final_4d6376be0a5f63ec.npy,0.637215092009084,5,"pitch,roll","25,29,33,36,37",robust_violation,-0.05795108019228819,0.012769922892914447,-0.032411234406459294,True,True,True,40,200,1,7,False,3775.4785903969896
9,89,9ab8912bc8b9fd52,arm_b_densest_moderate,random_endpoint,rand0002,runs/direction_a_px4_position_seed0_v0/thetas/B_00089_9ab8912bc8b9fd52.npy,0.7385352995181491,29,"pitch,roll,throttle,yaw",-1.1401240184166794,0.0648777326451894,eed06199809c4868,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T09_final_eed06199809c4868.npy,0.6750674222158082,4,roll,"24,28,32,36",robust_violation,-0.1160651520019341,0.0428682476938812,-0.030328656614171695,True,True,True,35,175,1,8,False,3323.105344220996
