stage,maneuver,param_candidate,contract_class,default_strong_safe,tier1_robustness_class,tier2_robustness_class,threshold_mean,tail_start_peak_abs_rate_mean,terminal_peak_abs_rate_mean,rho_tier1_mean,rho_tier1_std,nondecay_ratio_margin_mean,nondecay_slope_margin_mean,terminal_peak_over_threshold,terminal_over_start_peak
A_default_strong_safety,strong_step_pitch_0p5,P0,safe,True,robust_safe,not_tier1_violation,0.35,0.023313425481319427,0.024699265137314796,0.3253007348626852,0.0,0.0060485247522592545,-0.0002735304066815134,0.07056932896375656,1.0594438452258255
A_default_strong_safety,strong_step_pitch_0p5_hold2,P0,safe,True,robust_safe,not_tier1_violation,0.35,0.01882941834628582,0.020744826644659042,0.32925517335534094,0.0,0.005681291967630385,0.00028711826744196056,0.059270933270454414,1.1017242414581034
A_default_strong_safety,strong_doublet_pitch_0p5,P0,safe,True,robust_safe,not_tier1_violation,0.35,0.027866583317518234,0.02184194326400757,0.3281580567359924,0.0,-0.00045132339000701974,0.0001402351749863069,0.06240555218287877,0.7838041361273272
A_default_strong_safety,strong_step_pitch_0p7,P0,safe,True,robust_safe,not_tier1_violation,0.35,0.01779269613325596,0.02549908123910427,0.3245009187608957,0.0,0.011264924332499503,-0.0001296182321696526,0.07285451782601221,1.4331207057172448
A_default_strong_safety,strong_doublet_A0p7_hold1,P0,safe,True,robust_safe,not_tier1_violation,0.35,0.0216988455504179,0.028174161911010742,0.32182583808898924,0.0,0.01081508547067642,9.775110245957925e-05,0.0804976054600307,1.2984175515488718
A_default_strong_safety,strong_doublet_A0p9_hold1,P0,safe,True,robust_safe,not_tier1_violation,0.35,0.017544645816087723,0.02311530150473118,0.3268846984952688,0.0,0.009079584851861,0.00017265112716257456,0.06604371858494623,1.317513146006937
A_default_strong_safety,strong_doublet_A0p9_hold2,P0,safe,True,robust_safe,not_tier1_violation,0.35,0.017084451392292976,0.02460440993309021,0.32539559006690977,0.0,0.010936848819255829,-0.00013917017032406083,0.07029831409454346,1.4401638875094103
A_default_strong_safety,pulse_train_A0p7_repeat3,P0,safe,True,robust_safe,not_tier1_violation,0.35,0.02527429535984993,0.022921638563275337,0.32707836143672464,0.0,0.0027022022753953913,-1.2845869907603245e-05,0.0654903958950724,0.9069150390514167
A_default_strong_safety,pulse_train_A0p9_repeat3,P0,safe,True,robust_safe,not_tier1_violation,0.35,0.018677251413464546,0.020294977352023125,0.32970502264797685,0.0,0.005353176221251487,0.0001521370999311479,0.057985649577208934,1.086614775522717
A_default_strong_safety,reversal_A0p9_fast,P0,safe,True,robust_safe,not_tier1_violation,0.35,0.021541761234402657,0.01612650789320469,0.3338734921067953,0.0,-0.0011069010943174362,-0.00040863688183692714,0.046075736837727685,0.7486160355101471
