trigger_id,step_index,phase,action,accepted,memo_hit,skipped_reason,j5_points_used_after,query_repeats_used_after,candidate_theta_hash,candidate_support_size_abs_gt_0p1,candidate_active_channels_abs_gt_0p1,candidate_active_group_ids_abs_gt_0p1,details_json,candidate_eval_id,candidate_robustness_class,candidate_max_abs_theta,candidate_rho_mean_post_neutral_xy_velocity,candidate_rho_std_post_neutral_xy_velocity,candidate_rho_margin_2sigma_post_neutral_xy_velocity
0,1,start,cached_arm_b_start,True,True,,0,0,6e2dbe674451d227,31,"pitch,roll,throttle,yaw","0,2,6,7,9,10,11,12,13,14,15,16,18,19,20,22,23,24,26,28,29,30,31,32,33,34,35,36,37,38,39","{""selection_bucket"": ""arm_b_interior""}",arm_b_89,robust_violation,0.4840639498693123,-0.1810624759734668,0.0452314934271647,-0.09059948911913741
0,2,whole_channel,zero_throttle,True,False,,1,5,b8bf95eada37b6da,23,"pitch,roll,yaw","0,2,6,9,10,12,13,14,16,18,20,22,24,26,28,29,30,32,33,34,36,37,38","{""group_ids"": [3, 7, 11, 15, 19, 23, 27, 31, 35, 39]}",0,robust_violation,0.48406394986931234,-0.17535949494225936,0.049400974869037495,-0.07655754520418437
0,3,whole_channel,zero_yaw,True,False,,2,10,585643816483f6be,13,"pitch,roll","0,9,12,13,16,20,24,28,29,32,33,36,37","{""group_ids"": [2, 6, 10, 14, 18, 22, 26, 30, 34, 38]}",1,robust_violation,0.48406394986931234,-0.251894696705162,0.028739145950713682,-0.19441640480373465
0,4,support_ddmin,outer0_remove_07_of_13,False,False,,3,15,fc4ac5b79ea512f5,6,"pitch,roll","28,29,32,33,36,37","{""granularity"": 2, ""group_ids"": [0, 9, 12, 13, 16, 20, 24], ""outer_pass"": 0}",2,robust_safe,0.48406394986931234,0.20908765343523497,0.04971692374088564,0.30852150091700625
0,5,support_ddmin,outer0_remove_06_of_13,False,False,,4,20,eb926e83a8b0bc72,7,"pitch,roll","0,9,12,13,16,20,24","{""granularity"": 2, ""group_ids"": [28, 29, 32, 33, 36, 37], ""outer_pass"": 0}",3,robust_safe,0.2016616867529848,0.9675700272503965,0.004732012674921271,0.9770340526002391
0,6,support_ddmin,outer0_remove_04_of_13,True,False,,5,25,cca6e57ce3d94e8a,9,"pitch,roll","16,20,24,28,29,32,33,36,37","{""granularity"": 4, ""group_ids"": [0, 9, 12, 13], ""outer_pass"": 0}",4,robust_violation,0.48406394986931234,-0.11948355792480214,0.02283820338952731,-0.07380715114574751
0,7,support_ddmin,outer0_remove_03_of_09,False,True,,5,25,fc4ac5b79ea512f5,6,"pitch,roll","28,29,32,33,36,37","{""granularity"": 3, ""group_ids"": [16, 20, 24], ""outer_pass"": 0}",2,robust_safe,0.48406394986931234,0.20908765343523497,0.04971692374088564,0.30852150091700625
0,8,support_ddmin,outer0_remove_03_of_09,False,False,,6,30,47bfe751639453c5,6,"pitch,roll","16,20,24,33,36,37","{""granularity"": 3, ""group_ids"": [28, 29, 32], ""outer_pass"": 0}",5,robust_safe,0.3504297761762243,0.6824273710143587,0.026826979379118522,0.7360813297725958
0,9,support_ddmin,outer0_remove_03_of_09,False,False,,7,35,f87ea29a604575fa,7,"pitch,roll","16,20,24,28,29,32,36","{""granularity"": 3, ""group_ids"": [33, 36, 37], ""outer_pass"": 0}",6,robust_safe,0.4509945640002518,0.3263507217139388,0.06165249389187059,0.44965570949767997
0,10,support_ddmin,outer0_remove_02_of_09,False,False,,8,40,6462f8c47db74414,7,"pitch,roll","24,28,29,32,33,36,37","{""granularity"": 6, ""group_ids"": [16, 20], ""outer_pass"": 0}",7,noise_band,0.48406394986931234,-0.003413621062528649,0.06029345830005134,0.11717329553757402
0,11,support_ddmin,outer0_remove_02_of_09,False,False,,9,45,22a2ba3b1d334b8d,7,"pitch,roll","16,20,29,32,33,36,37","{""granularity"": 6, ""group_ids"": [24, 28], ""outer_pass"": 0}",8,robust_safe,0.48406394986931234,0.31032842366766095,0.03378623860027802,0.377900900868217
0,12,support_ddmin,outer0_remove_02_of_09,False,False,,10,50,69c98abcd6709c44,8,"pitch,roll","16,20,24,28,32,33,36,37","{""granularity"": 6, ""group_ids"": [29, 32], ""outer_pass"": 0}",9,robust_safe,0.3892200911795105,0.3428477155932609,0.06245704553801299,0.46776180666928685
0,13,support_ddmin,outer0_remove_01_of_09,True,False,,11,55,9b71e29a49f0fcea,8,"pitch,roll","16,20,24,28,29,32,36,37","{""granularity"": 6, ""group_ids"": [33], ""outer_pass"": 0}",10,robust_violation,0.48406394986931234,-0.069430018313929,0.025969921188790206,-0.017490175936348593
0,14,support_ddmin,outer0_remove_02_of_08,False,False,,12,60,3f374a48aaf00116,6,"pitch,roll","24,28,29,32,36,37","{""granularity"": 5, ""group_ids"": [16, 20], ""outer_pass"": 0}",11,robust_safe,0.48406394986931234,0.09908608382002053,0.021663653434716663,0.14241339068945386
0,15,support_ddmin,outer0_remove_02_of_08,False,False,,13,65,c91305cab7d79984,6,"pitch,roll","16,20,29,32,36,37","{""granularity"": 5, ""group_ids"": [24, 28], ""outer_pass"": 0}",12,robust_safe,0.48406394986931234,0.397754621383669,0.030922174854123297,0.4595989710919156
0,16,support_ddmin,outer0_remove_02_of_08,False,False,,14,70,7f3750a5768b54cd,7,"pitch,roll","16,20,24,28,32,36,37","{""granularity"": 5, ""group_ids"": [29, 32], ""outer_pass"": 0}",13,robust_safe,0.3892200911795105,0.40184161561422266,0.013256020143861187,0.428353655901945
0,17,support_ddmin,outer0_remove_01_of_08,False,False,,15,75,3e80a9e721a2414d,8,"pitch,roll","16,20,24,28,29,32,36,37","{""granularity"": 5, ""group_ids"": [36], ""outer_pass"": 0}",14,robust_safe,0.4509945640002518,0.29840701859576463,0.017225912661931714,0.33285884391962806
0,18,support_ddmin,outer0_remove_01_of_08,False,False,,16,80,4c916a33c80b6e81,7,"pitch,roll","16,20,24,28,29,32,36","{""granularity"": 5, ""group_ids"": [37], ""outer_pass"": 0}",15,noise_band,0.48406394986931234,-0.0388610929498596,0.03476716254757513,0.030673232145290656
0,19,support_ddmin,outer0_remove_01_of_08,False,False,,17,85,fdd48aa7598e818b,7,"pitch,roll","20,24,28,29,32,36,37","{""granularity"": 8, ""group_ids"": [16], ""outer_pass"": 0}",16,noise_band,0.48406394986931234,-0.003918359801318427,0.04785988811049771,0.091801416419677
0,20,support_ddmin,outer0_remove_01_of_08,False,False,,18,90,2c5a6b5f8f62c2e9,7,"pitch,roll","16,24,28,29,32,36,37","{""granularity"": 8, ""group_ids"": [20], ""outer_pass"": 0}",17,robust_safe,0.48406394986931234,0.0682512233753468,0.023882938212273535,0.11601709979989386
0,21,support_ddmin,outer0_remove_01_of_08,False,False,,19,95,8193bd98d0f30bad,7,"pitch,roll","16,20,28,29,32,36,37","{""granularity"": 8, ""group_ids"": [24], ""outer_pass"": 0}",18,robust_safe,0.48406394986931234,0.19186791993138483,0.03082192970412452,0.25351177933963387
0,22,support_ddmin,outer0_remove_01_of_08,False,False,,20,100,4b81e0d8e0f73541,7,"pitch,roll","16,20,24,29,32,36,37","{""granularity"": 8, ""group_ids"": [28], ""outer_pass"": 0}",19,robust_safe,0.48406394986931234,0.29935019841985444,0.035605984528237815,0.3705621674763301
0,23,support_ddmin,outer0_remove_01_of_08,False,False,,21,105,cb1607be1cbaa5cc,7,"pitch,roll","16,20,24,28,32,36,37","{""granularity"": 8, ""group_ids"": [29], ""outer_pass"": 0}",20,noise_band,0.48406394986931234,-0.06845451943664634,0.043139191244058045,0.017823863051469754
0,24,support_ddmin,outer0_remove_01_of_08,False,False,,22,110,c89404c80ee73272,8,"pitch,roll","16,20,24,28,29,32,36,37","{""granularity"": 8, ""group_ids"": [32], ""outer_pass"": 0}",21,robust_safe,0.3892200911795105,0.3912015591030933,0.03274889468401999,0.45669934847113325
0,25,support_ddmin,outer0_remove_01_of_08,False,True,,22,110,3e80a9e721a2414d,8,"pitch,roll","16,20,24,28,29,32,36,37","{""granularity"": 8, ""group_ids"": [36], ""outer_pass"": 0}",14,robust_safe,0.4509945640002518,0.29840701859576463,0.017225912661931714,0.33285884391962806
0,26,support_ddmin,outer0_remove_01_of_08,False,True,,22,110,4c916a33c80b6e81,7,"pitch,roll","16,20,24,28,29,32,36","{""granularity"": 8, ""group_ids"": [37], ""outer_pass"": 0}",15,noise_band,0.48406394986931234,-0.0388610929498596,0.03476716254757513,0.030673232145290656
0,27,amplitude_bisection,outer0_iter00_scale0p5000,False,False,,23,115,093b555f13db0cce,4,"pitch,roll","28,32,36,37","{""iteration"": 0, ""outer_pass"": 0, ""scale"": 0.5}",22,robust_safe,0.24203197493465617,0.8474416729226402,0.010506945494752238,0.8684555639121446
0,28,amplitude_bisection,outer0_iter01_scale0p7500,False,False,,24,120,d4e4411e23f5daf3,7,"pitch,roll","20,24,28,29,32,36,37","{""iteration"": 1, ""outer_pass"": 0, ""scale"": 0.75}",23,robust_safe,0.3630479624019842,0.4338858780694113,0.028450481447541528,0.4907868409644944
