group_id,channel,window_id,t_start,t_end,alpha,delta_probe,repeat_count,base_rho_xy_velocity,rho_plus_mean,rho_minus_mean,rho_plus_std,rho_minus_std,rho_span_plus_minus,abs_delta_rho_span,directional_sensitivity,directional_sensitivity_se,directional_snr,max_abs_delta_rho_from_base,plus_projection_linf_max,minus_projection_linf_max
15,throttle,3,1.5,2.0,0.44921875,0.2,3,0.05855809661957334,0.01256203033500595,0.03824371673038599,0.043509084499102006,0.0036150350904551754,-0.025681686395380043,0.025681686395380043,0.06420421598845011,0.06301634894770068,1.0188501406473942,0.04599606628456739,0.0,0.0
16,roll,4,2.0,2.5,0.44921875,0.2,3,0.05855809661957334,-0.07551334112839984,0.032613062083918266,0.04820596899028095,0.016332327822491575,-0.10812640321231812,0.10812640321231812,0.27031600803079525,0.07346428239845056,3.6795569112711637,0.1340714377479732,0.0,0.0
17,pitch,4,2.0,2.5,0.44921875,0.2,3,0.05855809661957334,0.07359828079060349,-0.07056487258463313,0.04981783871473214,0.018838924542177966,0.1441631533752366,0.1441631533752366,0.3604078834380915,0.07687546926839074,4.688204011865228,0.12912296920420646,0.0,0.0
18,yaw,4,2.0,2.5,0.44921875,0.2,3,0.05855809661957334,-0.03895150132045466,0.017478557224049007,0.03253324298190442,0.020610475384447418,-0.05643005854450367,0.05643005854450367,0.14107514636125917,0.055587835796387486,2.5378780148592743,0.097509597940028,0.0623046875,0.06230468750000003
19,throttle,4,2.0,2.5,0.44921875,0.2,3,0.05855809661957334,0.044016319377736944,0.020839430937994046,0.03696085043905305,0.03256408486246132,0.023176888439742898,0.023176888439742898,0.05794222109935724,0.07110034118688106,0.8149359079313157,0.03771866568157929,0.0,0.0
20,roll,5,2.5,3.0,0.44921875,0.2,3,0.05855809661957334,-0.12537264247035998,0.08058827774129988,0.015199326930138802,0.07724830319169317,-0.20596092021165985,0.20596092021165985,0.5149023005291495,0.11363611409822029,4.531150194770816,0.18393073908993332,0.0,0.0
21,pitch,5,2.5,3.0,0.44921875,0.2,3,0.05855809661957334,0.0757597624172142,-0.056964762157228455,0.05756617909127189,0.059588451639083946,0.13272452457444267,0.13272452457444267,0.33181131143610665,0.11958825666907956,2.774614503782619,0.1155228587768018,0.0,0.0
22,yaw,5,2.5,3.0,0.44921875,0.2,3,0.05855809661957334,0.0010228839515759036,-0.03923536413574524,0.05276115929072152,0.013086789189567271,0.04025824808732115,0.04025824808732115,0.10064562021830287,0.07846182698443588,1.2827335799645283,0.09779346075531858,0.06230468750000004,0.06230468750000001
23,throttle,5,2.5,3.0,0.44921875,0.2,3,0.05855809661957334,-0.009337964808529553,-0.008061338791923648,0.012246520379420622,0.041714739378723366,-0.0012766260166059053,0.0012766260166059053,0.0031915650415147634,0.06275110793906315,0.050860696270320103,0.0678960614281029,0.0,0.0
24,roll,6,3.0,3.5,0.44921875,0.2,3,0.05855809661957334,-0.10133882810563051,0.08198785136733448,0.0511465567311235,0.03740071069551642,-0.183326679472965,0.183326679472965,0.4583166986824125,0.0914556293371699,5.011355801759716,0.15989692472520384,0.0,0.0
25,pitch,6,3.0,3.5,0.44921875,0.2,3,0.05855809661957334,0.1045980933480251,-0.0968552064497475,0.011832668407541828,0.06575057759285363,0.2014532997977726,0.2014532997977726,0.5036332494944314,0.0964273311817063,5.2229305044789855,0.15541330306932083,0.0,0.0
26,yaw,6,3.0,3.5,0.44921875,0.2,3,0.05855809661957334,0.020897102552553354,0.015720883078110665,0.05435428559330999,0.02052886960322877,0.005176219474442689,0.005176219474442689,0.012940548686106723,0.08386277046393356,0.1543062388055973,0.04283721354146268,0.06230468750000007,0.0
27,throttle,6,3.0,3.5,0.44921875,0.2,3,0.05855809661957334,-0.003944341863427884,0.05223772562926091,0.019087453904150942,0.053483591357281327,-0.056182067492688795,0.056182067492688795,0.14045516873172198,0.0819657631907949,1.71358337022714,0.06250243848300123,0.0,0.0
28,roll,7,3.5,4.0,0.44921875,0.2,3,0.05855809661957334,-0.09996772122014146,0.06509193678620968,0.0483617295523309,0.0074329977395877446,-0.16505965800635114,0.16505965800635114,0.41264914501587785,0.07062380294987768,5.842918786301249,0.1585258178397148,0.0,0.0
29,pitch,7,3.5,4.0,0.44921875,0.2,3,0.05855809661957334,-0.07170336488492672,-0.3083796466727223,0.11918901129996202,0.18210007780019488,0.23667628178779554,0.23667628178779554,0.5916907044694888,0.314133924297887,1.8835619419073,0.3669377432922956,0.0,0.0
30,yaw,7,3.5,4.0,0.44921875,0.2,3,0.05855809661957334,-0.28469743264343395,-0.2514403354291244,0.014053318066979955,0.004411397396525499,-0.03325709721430953,0.03325709721430953,0.08314274303577382,0.021260104248812348,3.9107401385587477,0.3432555292630073,0.043990893572239426,0.06230468750000001
31,throttle,7,3.5,4.0,0.44921875,0.2,3,0.05855809661957334,-0.24704540390169458,-0.2776703261753011,0.07827893448310944,0.013126302470208361,0.030624922273606497,0.030624922273606497,0.07656230568401624,0.11456340493687271,0.6682963528030961,0.3362284227948744,0.0,0.0
32,roll,8,4.0,4.5,0.44921875,0.2,3,0.05855809661957334,-0.43837760577191204,-0.15869240338500692,0.034376153342685914,0.03033859758080751,-0.2796852023869051,0.2796852023869051,0.6992130059672627,0.06617764007153454,10.565698704448364,0.4969357023914854,0.0,0.0
33,pitch,8,4.0,4.5,0.44921875,0.2,3,0.05855809661957334,-0.16697744314630816,-0.48551077524669983,0.009092717238950065,0.039168397111813705,0.3185333321003917,0.3185333321003917,0.7963333302509792,0.0580380772836577,13.72087718135366,0.5440688718662732,0.0,0.0
34,yaw,8,4.0,4.5,0.44921875,0.2,3,0.05855809661957334,-0.28977090263947614,-0.2808199134618361,0.01113680309546229,0.022681871292991533,-0.008950989177640034,0.008950989177640034,0.022377472944100085,0.036471897530237,0.6135538444510066,0.3483289992590495,0.06230468750000001,0.043990893572239426
35,throttle,8,4.0,4.5,0.44921875,0.2,3,0.05855809661957334,-0.2633577948124443,-0.27153274908861397,0.022496484808235493,0.02561060354181231,0.008174954276169655,0.008174954276169655,0.020437385690424137,0.049201855539685084,0.4153783524269692,0.3300908457081873,0.0,0.0
36,roll,9,4.5,5.0,0.44921875,0.2,3,0.05855809661957334,-0.5261536497445453,-0.17297161975371753,0.012088479175898456,0.01606320426762272,-0.3531820299908277,0.3531820299908277,0.8829550749770693,0.02901715943948452,30.428721902241257,0.5847117463641186,0.0,0.0
37,pitch,9,4.5,5.0,0.44921875,0.2,3,0.05855809661957334,-0.15345137751994886,-0.5307047123657597,0.01085316828387543,0.017675067945186126,0.3772533348458108,0.3772533348458108,0.943133337114527,0.029937410009087628,31.50350470625999,0.589262808985333,0.0,0.0
38,yaw,9,4.5,5.0,0.44921875,0.2,3,0.05855809661957334,-0.27558210526131105,-0.25021905971389446,0.02483547942026725,0.043091475807173645,-0.025363045547416585,0.025363045547416585,0.06340761386854146,0.07178782866421295,0.883264127755279,0.3341402018808844,0.0,0.06230468750000001
39,throttle,9,4.5,5.0,0.44921875,0.2,3,0.05855809661957334,-0.26286824551212756,-0.25243157851534775,0.027717405837505066,0.027207696195667687,-0.010436666996779809,0.010436666996779809,0.02609166749194952,0.05606011131359931,0.465423041099458,0.3214263421317009,0.0,0.0
