group_id,channel,window_id,t_start,t_end,alpha,delta_probe,repeat_count,base_rho_xy_velocity,rho_plus_mean,rho_minus_mean,rho_plus_std,rho_minus_std,rho_span_plus_minus,abs_delta_rho_span,directional_sensitivity,directional_sensitivity_se,directional_snr,max_abs_delta_rho_from_base,plus_projection_linf_max,minus_projection_linf_max
0,roll,0,0.0,0.5,0.44921875,0.2,3,0.05855809661957334,0.040403030522868165,0.0077265151958614275,0.026354533686196818,0.010370449721085908,0.03267651532700674,0.03267651532700674,0.08169128831751683,0.04087857204663316,1.9983889903083123,0.05083158142371191,0.06230468750000001,0.06230468750000001
1,pitch,0,0.0,0.5,0.44921875,0.2,3,0.05855809661957334,-0.006069739622891516,0.004543221810946278,0.03489496340150125,0.04545993557857419,-0.010612961433837794,0.010612961433837794,0.026532403584594483,0.08271769527535895,0.32075849667076384,0.06462783624246486,0.06230468750000001,0.06230468750000001
2,yaw,0,0.0,0.5,0.44921875,0.2,3,0.05855809661957334,0.034584335229800166,0.039149907527012716,0.027477964331645732,0.0939032210891383,-0.00456557229721255,0.00456557229721255,0.011413930743031375,0.1412212614918429,0.08082303346150649,0.023973761389773175,0.06230468750000001,0.06230468750000001
3,throttle,0,0.0,0.5,0.44921875,0.2,3,0.05855809661957334,-0.0068931895512853725,0.030105833054688613,0.06420330852928056,0.014377664785599844,-0.036999022605973986,0.036999022605973986,0.09249755651493496,0.09496470913354546,0.974020321431817,0.06545128617085871,0.06230468750000001,0.008211582483107022
4,roll,1,0.5,1.0,0.44921875,0.2,3,0.05855809661957334,-0.022565494964181736,0.021323153053104504,0.02072051334221066,0.03894389677947363,-0.043888648017286244,0.043888648017286244,0.1097216200432156,0.0636717946702565,1.7232374336461211,0.08112359158375508,0.06230468750000001,0.03984375000000001
5,pitch,1,0.5,1.0,0.44921875,0.2,3,0.05855809661957334,0.02064678006049292,0.0012488373838642763,0.047171093318046864,0.04446553381408936,0.019397942676628643,0.019397942676628643,0.04849485669157161,0.09356699629801599,0.5182901943021965,0.057309259235709065,0.03984375000000001,0.06230468750000001
6,yaw,1,0.5,1.0,0.44921875,0.2,3,0.05855809661957334,0.025799067230357593,0.005932893239855537,0.05462176044324966,0.0705939537771387,0.019866173990502056,0.019866173990502056,0.04966543497625514,0.12883324997686404,0.3855016852029588,0.0526252033797178,0.03984375000000001,0.06230468750000001
7,throttle,1,0.5,1.0,0.44921875,0.2,3,0.05855809661957334,-0.039590988611142075,0.009518116539190435,0.034250187251365805,0.03446614684178701,-0.04910910515033251,0.04910910515033251,0.12277276287583128,0.07013366115368042,1.750554025788065,0.09814908523071542,0.00821158248310705,0.06230468749999998
8,roll,2,1.0,1.5,0.44921875,0.2,3,0.05855809661957334,-0.0500380687119529,0.05930678077286925,0.026605120258672017,0.03981903816238932,-0.10934484948482215,0.10934484948482215,0.27336212371205537,0.06912229838235115,3.9547603321861233,0.10859616533152625,0.039843749999999956,0.0
9,pitch,2,1.0,1.5,0.44921875,0.2,3,0.05855809661957334,0.07640404171427302,0.0045424925786992825,0.03983702215674455,0.03455165866644587,0.07186154913557374,0.07186154913557374,0.17965387283893436,0.07611402426239008,2.3603255061065798,0.054015604040874056,0.0,0.039843749999999956
10,yaw,2,1.0,1.5,0.44921875,0.2,3,0.05855809661957334,0.015891608108757893,-0.005374381404120461,0.045049028000377626,0.04939112974707587,0.021265989512878353,0.021265989512878353,0.05316497378219588,0.09648940595422133,0.5509928603708018,0.0639324780236938,0.0,0.039843749999999956
11,throttle,2,1.0,1.5,0.44921875,0.2,3,0.05855809661957334,0.024329040464798595,0.0021675585232797667,0.052488278053749754,0.04384863276356659,0.02216148194151883,0.02216148194151883,0.055403704853797066,0.09871805314760772,0.5612317411786366,0.056390538096293574,0.06230468750000001,0.0
12,roll,3,1.5,2.0,0.44921875,0.2,3,0.05855809661957334,-0.03636458643994578,0.011179020512748772,0.022523849627346382,0.024412791736777233,-0.04754360695269455,0.04754360695269455,0.11885901738173638,0.04794328686102663,2.4791587136333275,0.09492268305951912,0.0,0.0
13,pitch,3,1.5,2.0,0.44921875,0.2,3,0.05855809661957334,0.05769156445208575,-0.0543736427061563,0.03212420605470142,0.07218649531601845,0.11206520715824206,0.11206520715824206,0.2801630178956051,0.1140436203156354,2.4566303412694688,0.11293173932572964,0.0,0.0
14,yaw,3,1.5,2.0,0.44921875,0.2,3,0.05855809661957334,0.03485423769046292,0.010039757161700061,0.0404857326407592,0.05545258055562477,0.02481448052876286,0.02481448052876286,0.062036201321907146,0.09910099265539979,0.6259897066583715,0.04851833945787328,0.06230468750000004,0.06230468749999997
