label,repeat_idx,alpha,theta_hash,query_id,cache_tag,query_total_wall_time_s,robustness_post_neutral_xy_drift,robustness_post_neutral_alt_drift,robustness_post_neutral_xy_velocity
a250,0,0.25,cd062cb754b24e05,cd062cb754b24e05_px4_position_0_stage1_redo_verify_a250_alpha_0.25000000_repeat0,stage1_redo_verify_a250_alpha_0.25000000_repeat0,20.316055827017408,1.7047863634423395,0.9733171463012695,0.6145045566719433
a250,1,0.25,cd062cb754b24e05,cd062cb754b24e05_px4_position_0_stage1_redo_verify_a250_alpha_0.25000000_repeat1,stage1_redo_verify_a250_alpha_0.25000000_repeat1,20.28396490000887,1.7285769078290685,0.9794716835021973,0.6296093399195153
a250,2,0.25,cd062cb754b24e05,cd062cb754b24e05_px4_position_0_stage1_redo_verify_a250_alpha_0.25000000_repeat2,stage1_redo_verify_a250_alpha_0.25000000_repeat2,20.117610592977144,1.7005041759693211,0.9740047454833984,0.6136025978329807
