stage,param_candidate,overrides_json,m0_class,msmall_class,m0_safe,msmall_safe,retained,candidate_status,boundary_margin,m0_contract_class,m0_tier1_robustness_class,m0_tier2_robustness_class,m0_threshold_mean,m0_tail_start_peak_abs_rate_mean,m0_terminal_peak_abs_rate_mean,m0_rho_tier1_mean,m0_rho_tier1_std,m0_nondecay_ratio_margin_mean,m0_nondecay_slope_margin_mean,m0_terminal_peak_over_threshold,m0_terminal_over_start_peak,msmall_contract_class,msmall_tier1_robustness_class,msmall_tier2_robustness_class,msmall_threshold_mean,msmall_tail_start_peak_abs_rate_mean,msmall_terminal_peak_abs_rate_mean,msmall_rho_tier1_mean,msmall_rho_tier1_std,msmall_nondecay_ratio_margin_mean,msmall_nondecay_slope_margin_mean,msmall_terminal_peak_over_threshold,msmall_terminal_over_start_peak
B_param_small_signal_filter,rate_p_x1p55,"{""MC_PITCHRATE_P"": 0.23250000923871994}",safe,safe,True,True,True,,0.0757987637604986,safe,robust_safe,not_tier1_violation,0.35,0.04864765331149101,0.026529567316174507,0.32347043268382547,0.0,-0.012388555333018303,-0.0012527140888097012,0.0757987637604986,0.5453411523533446,safe,robust_safe,not_tier1_violation,0.35,0.022199390456080437,0.025911036878824234,0.32408896312117574,0.0,0.008151524513959885,-7.485119622972541e-05,0.07403153393949781,1.1671958709896548
B_param_small_signal_filter,rate_p_x1p60,"{""MC_PITCHRATE_P"": 0.24000000953674316}",safe,safe,True,True,True,,0.11277021041938237,safe,robust_safe,not_tier1_violation,0.35,0.03720627725124359,0.02986166998744011,0.32013833001255987,0.0,9.664818644523551e-05,0.00044415708323981265,0.08531905710697174,0.8025976311952039,safe,robust_safe,not_tier1_violation,0.35,0.029731739312410355,0.03946957364678383,0.31053042635321615,0.0,0.015684182196855544,7.625091050719875e-05,0.11277021041938237,1.3275231977534794
B_param_small_signal_filter,rate_p_x1p70,"{""MC_PITCHRATE_P"": 0.2550000101327896}",safe,safe,True,True,True,,0.17803407141140531,safe,robust_safe,not_tier1_violation,0.35,0.04178711771965027,0.05619056522846222,0.29380943477153776,0.0,0.022760871052742,0.0007126208771979708,0.16054447208132064,1.3446863123090869,safe,robust_safe,not_tier1_violation,0.35,0.055713437497615814,0.06231192499399185,0.2876880750060081,0.0,0.017741174995899195,0.0021228858595987135,0.17803407141140531,1.118436194080798
B_param_small_signal_filter,rate_p_x1p80,"{""MC_PITCHRATE_P"": 0.27000001072883606}",violation_like,violation_like,False,False,False,INVALID_PURE_PARAM,4.449710845947266,violation_like,robust_violation,robust_violation,0.35,1.5695263147354126,1.557398796081543,-1.2073987960815429,0.0,0.3017777442932128,-0.005981434895912956,4.449710845947266,0.9922731345502073,violation_like,robust_violation,robust_violation,0.35,1.556472659111023,1.5449572801589966,-1.1949572801589965,0.0,0.2997791528701781,0.007657873436055897,4.4141636575971335,0.9926016182265589
B_param_small_signal_filter,rate_p_x1p90,"{""MC_PITCHRATE_P"": 0.2850000113248825}",violation_like,violation_like,False,False,False,INVALID_PURE_PARAM,4.691873277936663,violation_like,robust_violation,robust_violation,0.35,1.6347801685333252,1.642155647277832,-1.292155647277832,0.0,0.3343315124511719,0.007092337793264441,4.691873277936663,1.0045116027747778,violation_like,robust_violation,robust_violation,0.35,1.6347463130950928,1.6353906393051147,-1.2853906393051147,0.0,0.32759358882904044,0.003301827499581448,4.6725446837288995,1.0003941444644104
B_param_small_signal_filter,rate_d_x0p75,"{""MC_PITCHRATE_D"": 0.002250000019557774}",safe,safe,True,True,True,,0.07357876215662275,safe,robust_safe,not_tier1_violation,0.35,0.015711307525634766,0.025752566754817963,0.324247433245182,0.0,0.01318352073431015,0.0002964290859994504,0.07357876215662275,1.6391103485690006,safe,robust_safe,not_tier1_violation,0.35,0.014480863697826862,0.016934342682361603,0.3330656573176384,0.0,0.005349651724100112,0.0002162397109950999,0.04838383623531887,1.169429050347524
B_param_small_signal_filter,rate_d_x0p85,"{""MC_PITCHRATE_D"": 0.002550000022165477}",safe,safe,True,True,True,,0.07709519139357976,safe,robust_safe,not_tier1_violation,0.35,0.019371645525097847,0.026983316987752914,0.32301668301224706,0.0,0.011486000567674636,0.000229639325226662,0.07709519139357976,1.3929284919442393,safe,robust_safe,not_tier1_violation,0.35,0.022541414946317673,0.017870619893074036,0.33212938010692594,0.0,-0.00016251206398010254,-0.000105763037768699,0.051058913980211534,0.792790511848208
B_param_small_signal_filter,rate_d_x1p15,"{""MC_PITCHRATE_D"": 0.0034500000299885866}",safe,safe,True,True,True,,0.07379907050303051,safe,robust_safe,not_tier1_violation,0.35,0.028570182621479034,0.020917296409606934,0.32908270359039304,0.0,-0.001938849687576294,-8.748870372515264e-05,0.059763704027448385,0.7321373015614304,safe,robust_safe,not_tier1_violation,0.35,0.020374346524477005,0.025829674676060677,0.3241703253239393,0.0,0.00953019745647907,9.083556935442433e-05,0.07379907050303051,1.2677547544913814
B_param_small_signal_filter,rate_d_x1p25,"{""MC_PITCHRATE_D"": 0.00375000003259629}",safe,safe,True,True,True,,0.0888105801173619,safe,robust_safe,not_tier1_violation,0.35,0.024874510243535042,0.0262389425188303,0.3237610574811697,0.0,0.0063393343240022645,-0.0002486246067851139,0.074968407196658,1.0548526287326552,safe,robust_safe,not_tier1_violation,0.35,0.027981888502836227,0.03108370304107666,0.3189162969589233,0.0,0.008698192238807675,0.00011365421912876616,0.0888105801173619,1.1108507932881668
B_param_small_signal_filter,att_p_x1p10,"{""MC_PITCH_P"": 7.15}",safe,safe,True,True,True,,0.08044508951050895,safe,robust_safe,not_tier1_violation,0.35,0.027173183858394623,0.02815578132867813,0.32184421867132185,0.0,0.00641723424196243,-3.9517516712416555e-05,0.08044508951050895,1.0361605572392267,safe,robust_safe,not_tier1_violation,0.35,0.027030104771256447,0.025321587920188904,0.3246784120798111,0.0,0.0036975041031837436,0.00011066341839410415,0.07234739405768259,0.9367920744101457
