label,description,theta_hash,theta_path,repeats,point_elapsed_wall_time_s,max_abs_theta,amplitude_class,support_size_abs_gt_0p1,active_channels_abs_gt_0p1,robustness_class,rho_margin_2sigma_post_neutral_alt_drift,rho_mean_post_neutral_xy_drift,rho_std_post_neutral_xy_drift,rho_min_post_neutral_xy_drift,rho_max_post_neutral_xy_drift,rho_nonpositive_post_neutral_xy_drift,rho_mean_post_neutral_alt_drift,rho_std_post_neutral_alt_drift,rho_min_post_neutral_alt_drift,rho_max_post_neutral_alt_drift,rho_nonpositive_post_neutral_alt_drift,rho_mean_post_neutral_xy_velocity,rho_std_post_neutral_xy_velocity,rho_min_post_neutral_xy_velocity,rho_max_post_neutral_xy_velocity,rho_nonpositive_post_neutral_xy_velocity
zero_anchor,neutral zero input,7b6436b0c98f6238,artifacts/alt_drift_seed0_v0/thetas/phase0_zero_anchor_7b6436b0c98f6238.npy,5,127.19539587100007,0.0,interior,0,,robust_safe,0.9961428986152163,1.9615059517082436,0.013579791423874913,1.9452919234854957,1.9799850409092068,0,0.9901061058044434,0.0030183964053865026,0.9852852821350098,0.9926323890686035,0,0.9727174300367809,0.0067677088196329335,0.9622846787813422,0.9806463510266745,0
throttle_pos_full,saturated positive throttle,04f3db5143fee943,artifacts/alt_drift_seed0_v0/thetas/phase0_throttle_pos_full_04f3db5143fee943.npy,5,98.57220036299987,1.0,saturated,10,throttle,robust_violation,-1.2740729029290696,1.9459826433780567,0.02482262456119534,1.9056260876158075,1.9677598289267155,0,-1.3629634857177735,0.04444529139435199,-1.4154462814331055,-1.2985773086547852,5,0.9632327508287973,0.011241130858240201,0.9454586182601826,0.9721123608999893,0
throttle_neg_full,saturated negative throttle,374ef6ac39cdc091,artifacts/alt_drift_seed0_v0/thetas/phase0_throttle_neg_full_374ef6ac39cdc091.npy,5,91.60676626300028,1.0,saturated,10,throttle,robust_safe,0.7350583572700352,1.9490327129155638,0.012547328500817403,1.92943871052883,1.9584634721617524,0,0.7219638824462891,0.006547237411873057,0.7131826877593994,0.7299880981445312,0,0.9590444531526903,0.008869730193882331,0.9493174324848539,0.9683189229248543,0
