label,description,repeat_idx,theta_hash,query_id,cache_tag,query_retry_count,repeat_elapsed_wall_time_s,robustness_post_neutral_xy_drift,robustness_post_neutral_alt_drift,robustness_post_neutral_xy_velocity,meta_scenario_id,meta_seed,meta_query_type,meta_theta_hash,meta_cache_tag,meta_wall_time_s,meta_prepare_wall_time_s,meta_run_wall_time_s,meta_parse_wall_time_s,meta_shutdown_wall_time_s,meta_total_wall_time_s,meta_adapter_arm_request_count,meta_adapter_arm_retry_count,meta_adapter_mode_switch_request_count_total,meta_adapter_mode_switch_retry_count_total,meta_adapter_mode_switch_POSCTL_request_count,meta_adapter_mode_switch_POSCTL_retry_count
zero_anchor,neutral zero input,0,7b6436b0c98f6238,7b6436b0c98f6238_px4_position_0_alt_drift_phase0_zero_anchor_repeat0,alt_drift_phase0_zero_anchor_repeat0,0,18.89920600000005,1.9686578394004555,0.9852852821350098,0.9712087701591847,px4_position,0,alt_drift_phase0,7b6436b0c98f6238,alt_drift_phase0_zero_anchor_repeat0,3.160466082000312,14.633034329999646,3.160466082000312,0.01215675999992527,1.0383838259995173,18.844050438000522,2,1,3,1,3,1
zero_anchor,neutral zero input,1,7b6436b0c98f6238,7b6436b0c98f6238_px4_position_0_alt_drift_phase0_zero_anchor_repeat1,alt_drift_phase0_zero_anchor_repeat1,0,18.147473876999356,1.9611438858251786,0.9918384552001953,0.9806463510266745,px4_position,0,alt_drift_phase0,7b6436b0c98f6238,alt_drift_phase0_zero_anchor_repeat1,3.0452639590002946,13.982854300999861,3.0452639590002946,0.01564332099951571,1.0525076590001845,18.096281080000153,2,1,3,1,3,1
zero_anchor,neutral zero input,2,7b6436b0c98f6238,7b6436b0c98f6238_px4_position_0_alt_drift_phase0_zero_anchor_repeat2,alt_drift_phase0_zero_anchor_repeat2,1,53.42181121199974,1.9452919234854957,0.9890341758728027,0.9754889693807867,px4_position,0,alt_drift_phase0,7b6436b0c98f6238,alt_drift_phase0_zero_anchor_repeat2,3.1457406260005882,17.410682886999894,3.1457406260005882,0.012834522999582987,1.0371525089994975,21.60641937699984,1,0,4,2,4,2
zero_anchor,neutral zero input,3,7b6436b0c98f6238,7b6436b0c98f6238_px4_position_0_alt_drift_phase0_zero_anchor_repeat3,alt_drift_phase0_zero_anchor_repeat3,0,18.568198367999685,1.9799850409092068,0.9926323890686035,0.9739583808359163,px4_position,0,alt_drift_phase0,7b6436b0c98f6238,alt_drift_phase0_zero_anchor_repeat3,3.095344756000486,14.35347685600027,3.095344756000486,0.012404930999764474,1.0442304990001503,18.505466737999996,2,1,3,1,3,1
zero_anchor,neutral zero input,4,7b6436b0c98f6238,7b6436b0c98f6238_px4_position_0_alt_drift_phase0_zero_anchor_repeat4,alt_drift_phase0_zero_anchor_repeat4,0,18.156861006000327,1.952451068920881,0.9917402267456055,0.9622846787813422,px4_position,0,alt_drift_phase0,7b6436b0c98f6238,alt_drift_phase0_zero_anchor_repeat4,3.0406952909997926,14.008031893999942,3.0406952909997926,0.011971435000305064,1.0366131480004697,18.097320567999304,2,1,3,1,3,1
throttle_pos_full,saturated positive throttle,0,04f3db5143fee943,04f3db5143fee943_px4_position_0_alt_drift_phase0_throttle_pos_full_repeat0,alt_drift_phase0_throttle_pos_full_repeat0,0,18.85442766899996,1.9524812089769403,-1.3907804489135742,0.9721123608999893,px4_position,0,alt_drift_phase0,04f3db5143fee943,alt_drift_phase0_throttle_pos_full_repeat0,3.0950233569992633,14.662092225000379,3.0950233569992633,0.01318645299943455,1.0491931970000223,18.819504287999735,2,1,3,1,3,1
throttle_pos_full,saturated positive throttle,1,04f3db5143fee943,04f3db5143fee943_px4_position_0_alt_drift_phase0_throttle_pos_full_repeat1,alt_drift_phase0_throttle_pos_full_repeat1,0,18.134161369999674,1.9677598289267155,-1.2985773086547852,0.9714108546055319,px4_position,0,alt_drift_phase0,04f3db5143fee943,alt_drift_phase0_throttle_pos_full_repeat1,3.059962037999867,13.951879686999746,3.059962037999867,0.012449210999875504,1.0494112320002387,18.073712247999538,2,1,2,0,2,0
throttle_pos_full,saturated positive throttle,2,04f3db5143fee943,04f3db5143fee943_px4_position_0_alt_drift_phase0_throttle_pos_full_repeat2,alt_drift_phase0_throttle_pos_full_repeat2,0,21.273371981999844,1.9056260876158075,-1.3478965759277344,0.9589247615740746,px4_position,0,alt_drift_phase0,04f3db5143fee943,alt_drift_phase0_throttle_pos_full_repeat2,3.1254561339992506,17.024410575999354,3.1254561339992506,0.012856548000854673,1.0504676580003434,21.213199875999635,1,0,2,0,2,0
throttle_pos_full,saturated positive throttle,3,04f3db5143fee943,04f3db5143fee943_px4_position_0_alt_drift_phase0_throttle_pos_full_repeat3,alt_drift_phase0_throttle_pos_full_repeat3,0,18.083285080999303,1.9631259525592795,-1.4154462814331055,0.9682571588042079,px4_position,0,alt_drift_phase0,04f3db5143fee943,alt_drift_phase0_throttle_pos_full_repeat3,3.09114802699969,13.878727610999704,3.09114802699969,0.012556171000142058,1.0403051630000846,18.0227472760007,2,1,3,1,3,1
throttle_pos_full,saturated positive throttle,4,04f3db5143fee943,04f3db5143fee943_px4_position_0_alt_drift_phase0_throttle_pos_full_repeat4,alt_drift_phase0_throttle_pos_full_repeat4,0,22.225247853000837,1.94092013881154,-1.362116813659668,0.9454586182601826,px4_position,0,alt_drift_phase0,04f3db5143fee943,alt_drift_phase0_throttle_pos_full_repeat4,3.1358197010004005,17.97539724499984,3.1358197010004005,0.01368578300025547,1.0402628649999315,22.16517317799935,1,0,2,0,2,0
