eval_id,point_index,arm,stage,label,repeat_idx,theta_hash,query_id,cache_tag,query_retry_count,repeat_elapsed_wall_time_s,robustness_post_neutral_xy_drift,robustness_post_neutral_alt_drift,robustness_post_neutral_xy_velocity,meta_scenario_id,meta_seed,meta_query_type,meta_theta_hash,meta_cache_tag,meta_wall_time_s,meta_prepare_wall_time_s,meta_run_wall_time_s,meta_parse_wall_time_s,meta_shutdown_wall_time_s,meta_total_wall_time_s,meta_adapter_arm_request_count,meta_adapter_arm_retry_count,meta_adapter_mode_switch_request_count_total,meta_adapter_mode_switch_retry_count_total,meta_adapter_mode_switch_POSCTL_request_count,meta_adapter_mode_switch_POSCTL_retry_count
0,0,A,uniform_random,sample0001,0,bd501966a1930d6f,bd501966a1930d6f_px4_position_0_direction_a_A_uniform_random_00000_sample0001_repeat0,direction_a_A_uniform_random_00000_sample0001_repeat0,0,20.355332020000787,1.8607933323758603,0.9892802238464355,0.8072229826149753,px4_position,0,direction_a_probe,bd501966a1930d6f,direction_a_A_uniform_random_00000_sample0001_repeat0,3.0608936920016276,16.18404462000035,3.0608936920016276,0.014689634001115337,1.049768419999964,20.30940260600073,1,0,2,0,2,0
0,0,A,uniform_random,sample0001,1,bd501966a1930d6f,bd501966a1930d6f_px4_position_0_direction_a_A_uniform_random_00000_sample0001_repeat1,direction_a_A_uniform_random_00000_sample0001_repeat1,0,20.482375093999508,1.9164133033009443,0.9883008003234863,0.812728816070919,px4_position,0,direction_a_probe,bd501966a1930d6f,direction_a_A_uniform_random_00000_sample0001_repeat1,3.0292773279998073,16.350275366999995,3.0292773279998073,0.014344340001116507,1.0161445850008022,20.410050483000305,1,0,2,0,2,0
0,0,A,uniform_random,sample0001,2,bd501966a1930d6f,bd501966a1930d6f_px4_position_0_direction_a_A_uniform_random_00000_sample0001_repeat2,direction_a_A_uniform_random_00000_sample0001_repeat2,0,20.3827916070004,1.86802539508119,0.9901285171508789,0.8004583482546399,px4_position,0,direction_a_probe,bd501966a1930d6f,direction_a_A_uniform_random_00000_sample0001_repeat2,3.0826772210002673,16.170582922000904,3.0826772210002673,0.014494543000182603,1.044125909000286,20.311890355998912,1,0,2,0,2,0
0,0,A,uniform_random,sample0001,3,bd501966a1930d6f,bd501966a1930d6f_px4_position_0_direction_a_A_uniform_random_00000_sample0001_repeat3,direction_a_A_uniform_random_00000_sample0001_repeat3,0,20.476979794000727,1.9675483885774094,0.9951348304748535,0.8960980279006682,px4_position,0,direction_a_probe,bd501966a1930d6f,direction_a_A_uniform_random_00000_sample0001_repeat3,3.02857119699911,16.315813396999147,3.02857119699911,0.014023562000147649,1.0490035590009938,20.407420003999505,1,0,2,0,2,0
0,0,A,uniform_random,sample0001,4,bd501966a1930d6f,bd501966a1930d6f_px4_position_0_direction_a_A_uniform_random_00000_sample0001_repeat4,direction_a_A_uniform_random_00000_sample0001_repeat4,0,20.328761474998828,1.917576784962179,0.9879751205444336,0.8310714488770508,px4_position,0,direction_a_probe,bd501966a1930d6f,direction_a_A_uniform_random_00000_sample0001_repeat4,3.026256638000632,16.19602214400038,3.026256638000632,0.014017305000379565,1.0220089510003163,20.258314159998918,1,0,2,0,2,0
1,1,A,uniform_random,sample0002,0,b9a6f541d1f35109,b9a6f541d1f35109_px4_position_0_direction_a_A_uniform_random_00001_sample0002_repeat0,direction_a_A_uniform_random_00001_sample0002_repeat0,0,20.46149886999956,1.8019291331604075,0.8987236022949219,0.6480182034674924,px4_position,0,direction_a_probe,b9a6f541d1f35109,direction_a_A_uniform_random_00001_sample0002_repeat0,3.1438802819993725,16.22218224899916,3.1438802819993725,0.014583883001250797,1.0339750999992248,20.414629355000216,1,0,2,0,2,0
1,1,A,uniform_random,sample0002,1,b9a6f541d1f35109,b9a6f541d1f35109_px4_position_0_direction_a_A_uniform_random_00001_sample0002_repeat1,direction_a_A_uniform_random_00001_sample0002_repeat1,0,20.213293781000175,1.782355082723111,0.8948698043823242,0.6498807305857793,px4_position,0,direction_a_probe,b9a6f541d1f35109,direction_a_A_uniform_random_00001_sample0002_repeat1,3.0265498379994824,16.068204893001166,3.0265498379994824,0.014432077001401922,1.0365030470002239,20.145697857000414,1,0,2,0,2,0
1,1,A,uniform_random,sample0002,2,b9a6f541d1f35109,b9a6f541d1f35109_px4_position_0_direction_a_A_uniform_random_00001_sample0002_repeat2,direction_a_A_uniform_random_00001_sample0002_repeat2,0,20.313571770000635,1.7557616242064298,0.8951230049133301,0.6079012539322745,px4_position,0,direction_a_probe,b9a6f541d1f35109,direction_a_A_uniform_random_00001_sample0002_repeat2,3.0212541740002052,16.18564109699946,3.0212541740002052,0.014163809000820038,1.0217609580013232,20.2428280059994,1,0,2,0,2,0
1,1,A,uniform_random,sample0002,3,b9a6f541d1f35109,b9a6f541d1f35109_px4_position_0_direction_a_A_uniform_random_00001_sample0002_repeat3,direction_a_A_uniform_random_00001_sample0002_repeat3,0,20.38485865900111,1.6920103140620817,0.8982186317443848,0.5578255079040746,px4_position,0,direction_a_probe,b9a6f541d1f35109,direction_a_A_uniform_random_00001_sample0002_repeat3,3.1361929419999797,16.18326131199865,3.1361929419999797,0.01168750800025009,1.0206356910002796,20.351785998000196,3,2,2,0,2,0
1,1,A,uniform_random,sample0002,4,b9a6f541d1f35109,b9a6f541d1f35109_px4_position_0_direction_a_A_uniform_random_00001_sample0002_repeat4,direction_a_A_uniform_random_00001_sample0002_repeat4,0,20.876270142000067,1.7473762304973517,0.8806076049804688,0.5888261415008949,px4_position,0,direction_a_probe,b9a6f541d1f35109,direction_a_A_uniform_random_00001_sample0002_repeat4,3.1053052469997056,16.686397757999657,3.1053052469997056,0.011750128000130644,1.0452098499990825,20.848671175999698,3,2,3,1,3,1
