group_id,channel,window_id,t_start,t_end,boundary_theta_hash,sign,repeat_idx,delta_probe,projection_linf,theta_hash,query_id,query_retry_count,rho_post_neutral_alt_drift,rho_post_neutral_xy_drift,rho_post_neutral_xy_velocity
0,roll,0,0.0,0.5,8da972d72aa8c361,+,0,0.2,0.0,8d5ae0a02aded56d,8d5ae0a02aded56d_px4_position_0_alt_drift_h1_g00_plus_repeat0,0,0.06355762481689453,1.9372786873012064,0.9522028033781464
0,roll,0,0.0,0.5,8da972d72aa8c361,+,1,0.2,0.0,8d5ae0a02aded56d,8d5ae0a02aded56d_px4_position_0_alt_drift_h1_g00_plus_repeat1,0,0.008553504943847656,1.956529133669534,0.9703266823304901
0,roll,0,0.0,0.5,8da972d72aa8c361,+,2,0.2,0.0,8d5ae0a02aded56d,8d5ae0a02aded56d_px4_position_0_alt_drift_h1_g00_plus_repeat2,0,-0.02993154525756836,1.921679309851704,0.9624155492404141
0,roll,0,0.0,0.5,8da972d72aa8c361,+,3,0.2,0.0,8d5ae0a02aded56d,8d5ae0a02aded56d_px4_position_0_alt_drift_h1_g00_plus_repeat3,0,0.000408172607421875,1.9541596197311206,0.9669854956884958
0,roll,0,0.0,0.5,8da972d72aa8c361,+,4,0.2,0.0,8d5ae0a02aded56d,8d5ae0a02aded56d_px4_position_0_alt_drift_h1_g00_plus_repeat4,0,0.03789520263671875,1.9347422933806668,0.9649535400643029
0,roll,0,0.0,0.5,8da972d72aa8c361,-,0,0.2,0.0,14ef5c1a49242005,14ef5c1a49242005_px4_position_0_alt_drift_h1_g00_minus_repeat0,0,0.02287578582763672,1.958045703076368,0.9791221007696473
0,roll,0,0.0,0.5,8da972d72aa8c361,-,1,0.2,0.0,14ef5c1a49242005,14ef5c1a49242005_px4_position_0_alt_drift_h1_g00_minus_repeat1,0,0.009198188781738281,1.931886221678749,0.9726441805765809
0,roll,0,0.0,0.5,8da972d72aa8c361,-,2,0.2,0.0,14ef5c1a49242005,14ef5c1a49242005_px4_position_0_alt_drift_h1_g00_minus_repeat2,0,0.04153633117675781,1.9501022768023983,0.9628881199683889
0,roll,0,0.0,0.5,8da972d72aa8c361,-,3,0.2,0.0,14ef5c1a49242005,14ef5c1a49242005_px4_position_0_alt_drift_h1_g00_minus_repeat3,0,0.010993003845214844,1.9682215774716785,0.9617614666054144
0,roll,0,0.0,0.5,8da972d72aa8c361,-,4,0.2,0.0,14ef5c1a49242005,14ef5c1a49242005_px4_position_0_alt_drift_h1_g00_minus_repeat4,0,0.003414154052734375,1.9411887324084676,0.9686662060173616
1,pitch,0,0.0,0.5,8da972d72aa8c361,+,0,0.2,0.0,bb20917608c70b30,bb20917608c70b30_px4_position_0_alt_drift_h1_g01_plus_repeat0,0,-0.00043392181396484375,1.936501795700343,0.9596611076543837
1,pitch,0,0.0,0.5,8da972d72aa8c361,+,1,0.2,0.0,bb20917608c70b30,bb20917608c70b30_px4_position_0_alt_drift_h1_g01_plus_repeat1,0,0.014306068420410156,1.9293959067042825,0.9668635384001923
1,pitch,0,0.0,0.5,8da972d72aa8c361,+,2,0.2,0.0,bb20917608c70b30,bb20917608c70b30_px4_position_0_alt_drift_h1_g01_plus_repeat2,0,0.06202888488769531,1.9676062355232573,0.9794150648419497
1,pitch,0,0.0,0.5,8da972d72aa8c361,+,3,0.2,0.0,bb20917608c70b30,bb20917608c70b30_px4_position_0_alt_drift_h1_g01_plus_repeat3,0,0.040467262268066406,1.9426227674561753,0.9478690788865703
1,pitch,0,0.0,0.5,8da972d72aa8c361,+,4,0.2,0.0,bb20917608c70b30,bb20917608c70b30_px4_position_0_alt_drift_h1_g01_plus_repeat4,0,0.04141044616699219,1.941351252032402,0.9312950769747889
1,pitch,0,0.0,0.5,8da972d72aa8c361,-,0,0.2,0.0,8f557c3c1be47470,8f557c3c1be47470_px4_position_0_alt_drift_h1_g01_minus_repeat0,0,-0.0011911392211914062,1.9093225801099685,0.9688687064354715
1,pitch,0,0.0,0.5,8da972d72aa8c361,-,1,0.2,0.0,8f557c3c1be47470,8f557c3c1be47470_px4_position_0_alt_drift_h1_g01_minus_repeat1,0,0.008711814880371094,1.9610898286765939,0.9646290595523902
1,pitch,0,0.0,0.5,8da972d72aa8c361,-,2,0.2,0.0,8f557c3c1be47470,8f557c3c1be47470_px4_position_0_alt_drift_h1_g01_minus_repeat2,0,0.06004524230957031,1.9286385689272652,0.9634920846618413
1,pitch,0,0.0,0.5,8da972d72aa8c361,-,3,0.2,0.0,8f557c3c1be47470,8f557c3c1be47470_px4_position_0_alt_drift_h1_g01_minus_repeat3,0,0.024559974670410156,1.9215333636681475,0.946940154394661
1,pitch,0,0.0,0.5,8da972d72aa8c361,-,4,0.2,0.0,8f557c3c1be47470,8f557c3c1be47470_px4_position_0_alt_drift_h1_g01_minus_repeat4,0,0.05673789978027344,1.9339527992855272,0.9427411084090528
2,yaw,0,0.0,0.5,8da972d72aa8c361,+,0,0.2,0.0,081ef15636f99666,081ef15636f99666_px4_position_0_alt_drift_h1_g02_plus_repeat0,0,0.08823776245117188,1.9560555437185392,0.9753062947080372
2,yaw,0,0.0,0.5,8da972d72aa8c361,+,1,0.2,0.0,081ef15636f99666,081ef15636f99666_px4_position_0_alt_drift_h1_g02_plus_repeat1,0,0.008599281311035156,1.9494421757476244,0.9713110635425942
2,yaw,0,0.0,0.5,8da972d72aa8c361,+,2,0.2,0.0,081ef15636f99666,081ef15636f99666_px4_position_0_alt_drift_h1_g02_plus_repeat2,0,0.0023345947265625,1.9439650874145307,0.9728644135332528
2,yaw,0,0.0,0.5,8da972d72aa8c361,+,3,0.2,0.0,081ef15636f99666,081ef15636f99666_px4_position_0_alt_drift_h1_g02_plus_repeat3,0,-0.016193389892578125,1.9717967321693795,0.9675836652170436
2,yaw,0,0.0,0.5,8da972d72aa8c361,+,4,0.2,0.0,081ef15636f99666,081ef15636f99666_px4_position_0_alt_drift_h1_g02_plus_repeat4,0,-0.016615867614746094,1.9659359603270252,0.9725199163351415
2,yaw,0,0.0,0.5,8da972d72aa8c361,-,0,0.2,0.0,7845043706a4b73b,7845043706a4b73b_px4_position_0_alt_drift_h1_g02_minus_repeat0,0,0.03211784362792969,1.9639942567843072,0.9750320980345392
