series,scenario_id,property,role,k,coverage
px4_position:post_neutral_xy_drift,px4_position,post_neutral_xy_drift,primary,18,0.7487057013989376
px4_position:post_neutral_xy_drift,px4_position,post_neutral_xy_drift,primary,19,0.7679973054190682
px4_position:post_neutral_xy_drift,px4_position,post_neutral_xy_drift,primary,20,0.7869554703822396
px4_position:post_neutral_xy_drift,px4_position,post_neutral_xy_drift,primary,21,0.8056299141836517
px4_position:post_neutral_xy_drift,px4_position,post_neutral_xy_drift,primary,22,0.8240479181714581
px4_position:post_neutral_xy_drift,px4_position,post_neutral_xy_drift,primary,23,0.8420170390928363
px4_position:post_neutral_xy_drift,px4_position,post_neutral_xy_drift,primary,24,0.8591354051135567
px4_position:post_neutral_xy_drift,px4_position,post_neutral_xy_drift,primary,25,0.8743489564165852
px4_position:post_neutral_xy_drift,px4_position,post_neutral_xy_drift,primary,26,0.8894037068949859
px4_position:post_neutral_xy_drift,px4_position,post_neutral_xy_drift,primary,27,0.8993140754496363
px4_position:post_neutral_xy_drift,px4_position,post_neutral_xy_drift,primary,28,0.9090107588009317
px4_position:post_neutral_xy_drift,px4_position,post_neutral_xy_drift,primary,29,0.9186698226516019
px4_position:post_neutral_xy_drift,px4_position,post_neutral_xy_drift,primary,30,0.9282071093886466
px4_position:post_neutral_xy_drift,px4_position,post_neutral_xy_drift,primary,31,0.9376202104284289
px4_position:post_neutral_xy_drift,px4_position,post_neutral_xy_drift,primary,32,0.946993883425334
px4_position:post_neutral_xy_drift,px4_position,post_neutral_xy_drift,primary,33,0.9560286852793389
px4_position:post_neutral_xy_drift,px4_position,post_neutral_xy_drift,primary,34,0.9647315170832731
px4_position:post_neutral_xy_drift,px4_position,post_neutral_xy_drift,primary,35,0.9724349310976671
px4_position:post_neutral_xy_drift,px4_position,post_neutral_xy_drift,primary,36,0.9800310357534462
px4_position:post_neutral_xy_drift,px4_position,post_neutral_xy_drift,primary,37,0.9866395668865382
px4_position:post_neutral_xy_drift,px4_position,post_neutral_xy_drift,primary,38,0.993212524594834
px4_position:post_neutral_xy_drift,px4_position,post_neutral_xy_drift,primary,39,0.9971238157437378
px4_position:post_neutral_xy_drift,px4_position,post_neutral_xy_drift,primary,40,1.0
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,1,0.10253641696845377
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,2,0.18614044873126714
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,3,0.24099350694827348
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,4,0.2905979726252184
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,5,0.33444707790590866
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,6,0.3755263984422982
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,7,0.41166091413427114
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,8,0.445854957182512
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,9,0.48004043794536555
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,10,0.5131579015228501
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,11,0.5458208945347622
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,12,0.5782627963082086
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,13,0.6065098064587671
px4_position:post_neutral_xy_velocity,px4_position,post_neutral_xy_velocity,primary,14,0.6344935662991457
