path_id,property,step_r,step_next,snapshot_r,snapshot_next,jaccard_top4,mass_overlap_top4,top4_r,top4_next,jaccard_top8,mass_overlap_top8,top8_r,top8_next,jaccard_top16,mass_overlap_top16,top16_r,top16_next
path_xy_drift,post_neutral_xy_drift,0,1,runs/rq1_minimal_v0/snapshots/px4_position_seed0_7b6436b0c98f6238_phase2_px4_seed0_j5_denoise_j5,runs/rq1_minimal_v0/snapshots/px4_position_seed0_f57e94771b411317_persistence_pilot_px4_seed0_path_xy_drift_step1_j5,0.0,0.07868350337659107,"17,20,23,27","12,15,22,36",0.0,0.18153196662291796,"5,11,17,20,23,26,27,28","4,12,13,15,21,22,32,36",0.28,0.44862657842892034,"1,2,5,7,11,15,17,20,22,23,26,27,28,29,32,36","3,4,5,6,7,8,12,13,15,21,22,25,28,31,32,36"
path_xy_drift,post_neutral_xy_drift,1,2,runs/rq1_minimal_v0/snapshots/px4_position_seed0_f57e94771b411317_persistence_pilot_px4_seed0_path_xy_drift_step1_j5,runs/rq1_minimal_v0/snapshots/px4_position_seed0_33ae3b03811ce339_persistence_pilot_px4_seed0_path_xy_drift_step2_j5,0.14285714285714285,0.1576368249825767,"12,15,22,36","17,24,35,36",0.06666666666666667,0.21756869342525686,"4,12,13,15,21,22,32,36","2,14,17,24,27,35,36,37",0.28,0.38791079906530185,"3,4,5,6,7,8,12,13,15,21,22,25,28,31,32,36","2,3,8,14,17,18,20,21,22,24,27,31,32,35,36,37"
path_xy_velocity,post_neutral_xy_velocity,0,1,runs/rq1_minimal_v0/snapshots/px4_position_seed0_7b6436b0c98f6238_phase2_px4_seed0_j5_denoise_j5,runs/rq1_minimal_v0/snapshots/px4_position_seed0_4174721f147657a2_persistence_pilot_px4_seed0_path_xy_velocity_step1_j5,0.0,0.09384075271344587,"20,22,27,29","4,12,14,24",0.0,0.1640013860739379,"3,8,11,20,22,27,29,39","2,4,12,14,17,24,32,34",0.18518518518518517,0.36290972590292614,"3,8,11,12,16,18,20,21,22,23,25,27,29,35,38,39","2,3,4,5,12,13,14,17,18,24,27,29,32,34,36,37"
path_xy_velocity,post_neutral_xy_velocity,1,2,runs/rq1_minimal_v0/snapshots/px4_position_seed0_4174721f147657a2_persistence_pilot_px4_seed0_path_xy_velocity_step1_j5,runs/rq1_minimal_v0/snapshots/px4_position_seed0_6922c2be677851b4_persistence_pilot_px4_seed0_path_xy_velocity_step2_j5,0.14285714285714285,0.11288820851550595,"4,12,14,24","9,14,17,28",0.14285714285714285,0.22824138439525282,"2,4,12,14,17,24,32,34","9,14,17,26,28,29,33,38",0.28,0.3614031853087499,"2,3,4,5,12,13,14,17,18,24,27,29,32,34,36,37","0,1,5,6,9,12,14,17,25,26,28,29,33,34,36,38"
