output,input,sensitivity_G,row_abs_sum,row_abs_share,natural_input,is_natural_pair,plus_mean,plus_std,minus_mean,minus_std,delta_probe
vx,roll,0.09850768884546342,0.17264045432864988,0.5705944717797001,roll,True,0.032922943691055404,0.017958003097642915,-0.006480131847129966,0.008962139505799164,0.2
vx,pitch,-0.0103533292691856,0.17264045432864988,0.05997047047545596,roll,False,0.001863047536302184,0.019591388359714666,0.006004379243976424,0.009923078163768544,0.2
vx,yaw,-0.022989507413608008,0.17264045432864988,0.13316408082339523,roll,False,-0.013731157276167588,0.01833705620242078,-0.004535354310724384,0.018735182106579273,0.2
vx,throttle,0.04078992880039288,0.17264045432864988,0.23627097692144886,roll,False,0.009506845735852332,0.007819447097706034,-0.00680912578430482,0.014825989072194635,0.2
vy,roll,0.03469434081303676,0.19445388897125684,0.17841937230766877,pitch,False,0.013234342271644928,0.006644795870214809,-0.000643394053569777,0.012475017482570518,0.2
vy,pitch,0.1236081829575441,0.19445388897125684,0.6356683510496167,pitch,True,0.036310273930088295,0.02540960998826193,-0.013132999252929345,0.012412185471522867,0.2
vy,yaw,0.009710077001949318,0.19445388897125684,0.04993511342622009,pitch,False,0.01195397852813124,0.02136761358516891,0.008069947727351513,0.016293491670708635,0.2
vy,throttle,0.026441288198726688,0.19445388897125684,0.13597716321649447,pitch,False,0.00790129600169331,0.009752699416704669,-0.0026752192777973645,0.01041584721786158,0.2
vz,roll,0.009877022976072507,0.03798251380728568,0.2600413186495816,throttle,False,0.004419991665982072,0.006368009594072309,0.0004691824755530691,0.004645626345652184,0.2
vz,pitch,0.0019067301621522236,0.03798251380728568,0.05020020980776899,throttle,False,0.00110827534901219,0.00355235685591357,0.00034558328415130047,0.0028952775430543245,0.2
vz,yaw,0.018240890422026305,0.03798251380728568,0.48024442285669355,throttle,False,0.0016154858879078554,0.0026984114712346966,-0.005680870280902667,0.0012121831646827296,0.2
vz,throttle,0.00795787024703464,0.03798251380728568,0.2095140486859558,throttle,True,0.0031745479519489964,0.004059873595388216,-8.600146864859762e-06,0.001065030053354647,0.2
yaw_rate,roll,0.0009116921525697812,0.005258600099487948,0.17337164555611606,yaw,False,0.00037230971613562745,0.0006513694221237827,7.632855107714904e-06,0.0022183400291146227,0.2
yaw_rate,pitch,-0.0029953868965224427,0.005258600099487948,0.56961678771012,yaw,False,0.000167438003156445,0.0004861893154675254,0.0013655927617654221,0.0007531437226993235,0.2
yaw_rate,yaw,1.4943711878509871e-05,0.005258600099487948,0.0028417661727053564,yaw,True,0.000554908840137558,0.004133594585844804,0.0005489313553861541,0.0007988713912389715,0.2
yaw_rate,throttle,-0.0013365773385172134,0.005258600099487948,0.25416980056105837,yaw,False,-0.00118573217135041,0.002272769359906538,-0.0006511012359435247,0.0017249960042277316,0.2
