input_channel,sign_label,amplitude,repeat_idx,theta_hash,query_id,cache_tag,query_retry_count,repeat_elapsed_wall_time_s,terminal_window_lo_s,terminal_window_hi_s,signed_terminal_mean_vx,signed_terminal_mean_vy,signed_terminal_mean_vz,signed_terminal_mean_yaw_rate,robustness_post_neutral_alt_drift,robustness_post_neutral_climb_rate,robustness_post_neutral_xy_drift,robustness_post_neutral_xy_velocity,robustness_post_neutral_yaw_rate,meta_adapter_arm_request_count,meta_adapter_arm_retry_count,meta_adapter_mode_switch_POSCTL_request_count,meta_adapter_mode_switch_POSCTL_retry_count,meta_adapter_mode_switch_request_count_total,meta_adapter_mode_switch_retry_count_total,meta_cache_tag,meta_parse_wall_time_s,meta_prepare_wall_time_s,meta_query_type,meta_run_wall_time_s,meta_scenario_id,meta_seed,meta_shutdown_wall_time_s,meta_theta_hash,meta_total_wall_time_s,meta_wall_time_s
roll,minus,0.3,0,9b0242965a536606,9b0242965a536606_px4_position_0_cross_coupling_stepA_roll_minus_a0_300_repeat0,cross_coupling_stepA_roll_minus_a0_300_repeat0,0,0.008475419999740552,11.0,13.0,-0.0035951100236905464,-0.017499698512256107,-0.0024920116575561342,0.0022739635109742347,0.9903106689453125,0.2921179860830307,1.9658976888519013,0.9643670657792482,0.24833761564754298,2,1,2,0,2,0,cross_coupling_stepA_roll_minus_a0_300_repeat0,0.01277039999695262,14.503732073993888,cross_coupling_stepA,3.039662536000833,px4_position,0,1.0475254740013042,9b0242965a536606,18.603697107995686,3.039662536000833
roll,minus,0.3,1,9b0242965a536606,9b0242965a536606_px4_position_0_cross_coupling_stepA_roll_minus_a0_300_repeat1,cross_coupling_stepA_roll_minus_a0_300_repeat1,0,0.007912271001259796,11.0,13.0,0.0026888519209023283,-2.2818587118916504e-05,0.0033837461637934115,0.00039688917931925225,0.9940190315246582,0.2920284915715456,1.9616368320886726,0.9639925874317239,0.24475989154838373,2,1,2,0,2,0,cross_coupling_stepA_roll_minus_a0_300_repeat1,0.012485976003517862,14.363909345003776,cross_coupling_stepA,3.0492392420055694,px4_position,0,1.0583456450040103,9b0242965a536606,18.48398747099418,3.0492392420055694
roll,minus,0.3,2,9b0242965a536606,9b0242965a536606_px4_position_0_cross_coupling_stepA_roll_minus_a0_300_repeat2,cross_coupling_stepA_roll_minus_a0_300_repeat2,0,0.008172806003130972,11.0,13.0,-0.016188681247781483,0.010218615316619793,0.006029143698559264,-0.003696506262146633,0.9846982955932617,0.288320117816329,1.9582313404300384,0.9477051714225979,0.24389996043704798,2,1,2,0,2,0,cross_coupling_stepA_roll_minus_a0_300_repeat2,0.013767752003332134,14.45582699499937,cross_coupling_stepA,3.0647887860031915,px4_position,0,1.0508747499989113,9b0242965a536606,18.585266219000914,3.0647887860031915
roll,minus,0.3,3,9b0242965a536606,9b0242965a536606_px4_position_0_cross_coupling_stepA_roll_minus_a0_300_repeat3,cross_coupling_stepA_roll_minus_a0_300_repeat3,0,0.008240740004112013,11.0,13.0,0.0004674741019757043,-0.008094641856939276,0.0011001746437790004,0.00028093340769110156,0.9938087463378906,0.29637898546643554,1.9842742832015863,0.9810154062053372,0.24726951531432917,2,1,2,0,2,0,cross_coupling_stepA_roll_minus_a0_300_repeat3,0.012181805999716744,14.770317504000559,cross_coupling_stepA,3.0553142839999055,px4_position,0,1.0214898550038924,9b0242965a536606,18.859311033003905,3.0553142839999055
roll,minus,0.3,4,9b0242965a536606,9b0242965a536606_px4_position_0_cross_coupling_stepA_roll_minus_a0_300_repeat4,cross_coupling_stepA_roll_minus_a0_300_repeat4,0,0.007857873002649285,11.0,13.0,-0.015773193987055834,0.012181573371845621,-0.005675140470810195,0.0007828844397006191,0.9907732009887695,0.2915017383173108,1.9776993714713105,0.975104981965385,0.24732865895443013,2,1,2,0,2,0,cross_coupling_stepA_roll_minus_a0_300_repeat4,0.012479431999963708,14.534334267002123,cross_coupling_stepA,3.0363130559999263,px4_position,0,1.0526408040022943,9b0242965a536606,18.635776486000395,3.0363130559999263
roll,plus,0.7,0,5dd464435a4d55f6,5dd464435a4d55f6_px4_position_0_cross_coupling_stepA_roll_plus_a0_700_repeat0,cross_coupling_stepA_roll_plus_a0_700_repeat0,0,0.008233700005803257,11.0,13.0,0.03907235036256593,0.008285579431468376,-0.00010696945754539839,4.0338147056305906e-05,0.9962000846862793,0.2960031220689416,1.1766612572276864,-0.10122567197269472,0.24743905141316702,2,1,3,1,3,1,cross_coupling_stepA_roll_plus_a0_700_repeat0,0.013059092001640238,14.56855538200034,cross_coupling_stepA,3.0289401710033417,px4_position,0,1.0455929410018143,5dd464435a4d55f6,18.656154913995124,3.0289401710033417
roll,plus,0.7,1,5dd464435a4d55f6,5dd464435a4d55f6_px4_position_0_cross_coupling_stepA_roll_plus_a0_700_repeat1,cross_coupling_stepA_roll_plus_a0_700_repeat1,0,0.008310465003887657,11.0,13.0,0.0507762046402384,0.00851558964169611,0.0029622791984726363,9.502477167129263e-06,0.9910211563110352,0.2883996099233627,1.2218925670730068,-0.08396557503797131,0.24853081851564696,2,1,2,0,2,0,cross_coupling_stepA_roll_plus_a0_700_repeat1,0.012935455000842921,14.5771518679976,cross_coupling_stepA,3.0358621589984978,px4_position,0,1.0374467020010343,5dd464435a4d55f6,18.663404760001868,3.0358621589984978
roll,plus,0.7,2,5dd464435a4d55f6,5dd464435a4d55f6_px4_position_0_cross_coupling_stepA_roll_plus_a0_700_repeat2,cross_coupling_stepA_roll_plus_a0_700_repeat2,0,0.007875120994867757,11.0,13.0,0.042859232432588344,0.01847347530915776,0.015292177890875778,0.00015406963454248684,0.9827971458435059,0.2820246212184429,1.014955107955954,-0.2707513286169376,0.24511951244734576,2,1,2,0,2,0,cross_coupling_stepA_roll_plus_a0_700_repeat2,0.013170842001272831,14.361377613000514,cross_coupling_stepA,3.0891525490005733,px4_position,0,1.0429142100038007,5dd464435a4d55f6,18.506622829998378,3.0891525490005733
roll,plus,0.7,3,5dd464435a4d55f6,5dd464435a4d55f6_px4_position_0_cross_coupling_stepA_roll_plus_a0_700_repeat3,cross_coupling_stepA_roll_plus_a0_700_repeat3,0,0.007729974000540096,11.0,13.0,0.004579170836097594,0.022253038177009757,-0.00019626999352928063,0.0015326883964509417,0.9884891510009766,0.29769293470308184,1.2194456201967636,-0.06924263948001852,0.24782940223180105,2,1,2,0,2,0,cross_coupling_stepA_roll_plus_a0_700_repeat3,0.01199585800350178,14.108189967002545,cross_coupling_stepA,3.0232360209993203,px4_position,0,1.0451740359931136,5dd464435a4d55f6,18.188602250003896,3.0232360209993203
roll,plus,0.7,4,5dd464435a4d55f6,5dd464435a4d55f6_px4_position_0_cross_coupling_stepA_roll_plus_a0_700_repeat4,cross_coupling_stepA_roll_plus_a0_700_repeat4,0,0.008268739002232905,11.0,13.0,0.02732776018378671,0.008644028798892638,0.004148740691636629,0.0001249499254612736,0.9924712181091309,0.29389956472441553,1.1472092980902056,-0.09598402155494701,0.24666201546155264,2,1,3,1,3,1,cross_coupling_stepA_roll_plus_a0_700_repeat4,0.014116965001448989,14.473900837998372,cross_coupling_stepA,3.065808865998406,px4_position,0,1.0160371659949305,5dd464435a4d55f6,18.569872059000772,3.065808865998406
pitch,minus,0.3,0,cd4d6619e44282d0,cd4d6619e44282d0_px4_position_0_cross_coupling_stepA_pitch_minus_a0_300_repeat0,cross_coupling_stepA_pitch_minus_a0_300_repeat0,0,0.00753942000301322,11.0,13.0,-0.008954942148799647,-0.032332323146639,0.0034078670723828924,0.0020296223277303537,0.9939255714416504,0.2931495343334973,1.9661524830216135,0.9644170411590353,0.24698536227755596,2,1,2,0,2,0,cross_coupling_stepA_pitch_minus_a0_300_repeat0,0.012128405003750231,14.388283876003698,cross_coupling_stepA,3.0164071039980627,px4_position,0,1.0420076500013238,cd4d6619e44282d0,18.458834555000067,3.0164071039980627
