output,input,lambda,natural_input,is_natural_pair,is_finite
vx,roll,0.4500833547382458,roll,True,True
vx,pitch,0.02873787342284462,roll,False,True
vx,yaw,0.14315542932705835,roll,False,True
vx,throttle,0.3780233425118512,roll,False,True
vy,roll,0.2633416175084525,pitch,False,True
vy,pitch,1.1222323803452683,pitch,True,True
vy,yaw,0.015062737772088062,pitch,False,True
vy,throttle,-0.4006367356258092,pitch,False,True
vz,roll,0.014553813812168389,throttle,False,True
vz,pitch,-0.015955871032458564,throttle,False,True
vz,yaw,0.8400655009801219,throttle,False,True
vz,throttle,0.16133655624016816,throttle,True,True
yaw_rate,roll,0.2720212139411334,yaw,False,True
yaw_rate,pitch,-0.1350143827356547,yaw,False,True
yaw_rate,yaw,0.0017163319207315988,yaw,True,True
yaw_rate,throttle,0.8612768368737898,yaw,False,True
