scope_label,platform,scenario,seed,J,source_id,source_kind,archived_eval_id,archived_label,signature,theta_hash,theta_path,max_abs_theta,support_size_abs_gt_0p1,active_channels_abs_gt_0p1,grid_metric_window,grid_metric_aggregation,grid_threshold_mps,"grid_peak_[11,13]","grid_peak_[11,13]_std",grid_rho_mean,grid_rho_std,grid_rho_min,grid_rho_max,grid_label,orig_metric_window,orig_metric_aggregation,orig_metric_threshold_mps,orig_rho_archived,orig_rho_archived_std,orig_rho_fresh_mean,orig_rho_fresh_std,orig_rho_fresh_min,orig_rho_fresh_max,orig_label,fresh_minus_archived_orig_rho_mean,peak_5_7_mean,peak_5_7_std,peak_5_7_min,peak_5_7_max,peak_7_9_mean,peak_7_9_std,peak_7_9_min,peak_7_9_max,peak_9_11_mean,peak_9_11_std,peak_9_11_min,peak_9_11_max,peak_11_13_mean,peak_11_13_std,peak_11_13_min,peak_11_13_max
exploratory / verification,PX4,px4_position,0,5,ArmC_eval164,known_internal_violation,164,env0129_deg045_w07_d03_iter00_a0p5000,"channels=pitch,roll;time=w07-w09;signs=pitch:+|roll:+",0556702a8ad39731,artifacts/direction_a_px4_position_seed0_v0/thetas/C_00164_0556702a8ad39731.npy,0.5,6,"pitch,roll","[11,13]s absolute",per-repeat peak |v_xy|; J=5 rho mean/std,1.0,0.044186078346470745,0.027492633588308044,0.9558139216535293,0.02749263358830803,0.9070940739260683,0.9718620435567313,robust_safe,"tail from t_neutral_s to log end; mean t_neutral=5.000s, mean end=13.000s",per-repeat peak |v_xy| over tail; J=5 rho mean/std,1.0,-0.215798148272184,0.0273869904426248,0.12439481412221068,0.03825226903800141,0.08539527088952958,0.17953073880131243,robust_safe,0.34019296239439467,0.8756051858777895,0.03825226903800141,0.8204692611986876,0.9146047291104704,0.08009198465704528,0.040539964369281534,0.029649429852142608,0.12555933454205698,0.039992386379858344,0.009411466121217777,0.02833692402997194,0.050256161439907535,0.044186078346470745,0.027492633588308044,0.02813795644326868,0.0929059260739317
exploratory / verification,PX4,px4_position,0,5,ArmC_eval174,known_internal_violation,174,env0190_deg270_w04_d05_iter00_a0p5000,channels=pitch;time=w04-w08;signs=pitch:-,f7d1cf8cc272f027,artifacts/direction_a_px4_position_seed0_v0/thetas/C_00174_f7d1cf8cc272f027.npy,0.5,6,pitch,"[11,13]s absolute",per-repeat peak |v_xy|; J=5 rho mean/std,1.0,0.04952431839333547,0.012004610957187929,0.9504756816066646,0.012004610957187929,0.9330141721197222,0.9623242158932235,robust_safe,"tail from t_neutral_s to log end; mean t_neutral=5.000s, mean end=13.000s",per-repeat peak |v_xy| over tail; J=5 rho mean/std,1.0,-0.2756943163433442,0.0187869631843613,0.07459694229806035,0.07193295795707585,-0.016459138605880996,0.17595864681833961,noise_band,0.35029125864140453,0.9254030577019398,0.07193295795707585,0.8240413531816604,1.016459138605881,0.0729266101494982,0.020807539356575654,0.04819830142670487,0.10268633723479946,0.046904513256137606,0.008545181043730093,0.03333449596577244,0.055879912998602586,0.04952431839333547,0.012004610957187929,0.03767578410677652,0.06698582788027788
exploratory / verification,PX4,px4_position,0,5,ArmC_eval182,known_internal_violation,182,env0161_deg045_w06_d04_iter00_a0p5000,"channels=pitch,roll;time=w06-w09;signs=pitch:+|roll:+",36c4ad75ca8b372b,artifacts/direction_a_px4_position_seed0_v0/thetas/C_00182_36c4ad75ca8b372b.npy,0.5,8,"pitch,roll","[11,13]s absolute",per-repeat peak |v_xy|; J=5 rho mean/std,1.0,0.04369599903760038,0.007209884725054286,0.9563040009623996,0.0072098847250542655,0.9469756723622635,0.963941523665587,robust_safe,"tail from t_neutral_s to log end; mean t_neutral=5.000s, mean end=13.000s",per-repeat peak |v_xy| over tail; J=5 rho mean/std,1.0,-0.6057221788611551,0.0315421944157604,-0.20480935649153217,0.04865125253572096,-0.2631562685213584,-0.15584194546120145,robust_violation,0.4009128223696229,1.204809356491532,0.04865125253572095,1.1558419454612014,1.2631562685213584,0.20927671041416612,0.04142267245157374,0.15282900520913262,0.2663942422012643,0.048326003660433305,0.008034774749794847,0.034954964931933105,0.05607584337686572,0.04369599903760038,0.007209884725054286,0.0360584763344129,0.053024327637736485
exploratory / verification,PX4,px4_position,0,5,ArmC_eval199,known_internal_violation,199,env0167_deg315_w06_d04_iter00_a0p5000,"channels=pitch,roll;time=w06-w09;signs=pitch:-|roll:+",a98d7690b189a629,artifacts/direction_a_px4_position_seed0_v0/thetas/C_00199_a98d7690b189a629.npy,0.5,8,"pitch,roll","[11,13]s absolute",per-repeat peak |v_xy|; J=5 rho mean/std,1.0,0.04476376134048205,0.009097219056468401,0.9552362386595179,0.009097219056468393,0.9419539426753633,0.9625784375212344,robust_safe,"tail from t_neutral_s to log end; mean t_neutral=5.000s, mean end=13.000s",per-repeat peak |v_xy| over tail; J=5 rho mean/std,1.0,-0.6352777700934911,0.0372941971988891,-0.12015518228282418,0.07035803310948355,-0.19332899781544177,-0.015108071695399738,noise_band,0.5151225878106669,1.1201551822828244,0.07035803310948355,1.0151080716953997,1.1933289978154418,0.2382688646392282,0.06673565840072856,0.16637985692805585,0.3379291596198809,0.051759661236590745,0.0126619631555029,0.0359216172903847,0.06902006210507909,0.04476376134048205,0.009097219056468401,0.0374215624787656,0.05804605732463675
exploratory / verification,PX4,px4_position,0,5,ArmC_eval234,known_internal_violation,234,env0184_deg000_w04_d05_iter00_a0p5000,channels=roll;time=w04-w08;signs=roll:+,aec082d57a938c50,artifacts/direction_a_px4_position_seed0_v0/thetas/C_00234_aec082d57a938c50.npy,0.5,6,roll,"[11,13]s absolute",per-repeat peak |v_xy|; J=5 rho mean/std,1.0,0.053179595529177524,0.027993382514306834,0.9468204044708225,0.027993382514306848,0.9108919609763325,0.9757486570569496,robust_safe,"tail from t_neutral_s to log end; mean t_neutral=5.000s, mean end=13.000s",per-repeat peak |v_xy| over tail; J=5 rho mean/std,1.0,-0.2825505087145494,0.0243396159833577,0.03679510874317462,0.06925776952463474,-0.05517811937993744,0.11217841855051858,noise_band,0.319345617457724,0.9632048912568253,0.06925776952463474,0.8878215814494814,1.0551781193799374,0.07553689366035113,0.021404347174534568,0.04293704617343687,0.10029985648760298,0.04787143172952833,0.013323777119990662,0.030882099112612457,0.06580973596923743,0.053179595529177524,0.027993382514306834,0.024251342943050442,0.0891080390236675
exploratory / verification,PX4,px4_position,0,5,G01_roll_plus_full,saturated_control,,,"G01 C1 roll_plus_full; roll:+; active [0,5] then neutral",b96ead7c8720e928,artifacts/contract_grid_summary/thetas/G01_roll_plus_full_b96ead7c8720e928.npy,1.0,10,roll,"[11,13]s absolute",per-repeat peak |v_xy|; J=5 rho mean/std,1.0,0.30529601713915105,0.024773893507137993,0.694703982860849,0.02477389350713797,0.6743494960375995,0.7357527371451293,robust_safe,"tail from t_neutral_s to log end; mean t_neutral=5.000s, mean end=13.000s",per-repeat peak |v_xy| over tail; J=5 rho mean/std,1.0,,,-6.1496238381859625,0.14511228585173444,-6.290726183249634,-5.946478158134743,robust_violation,,7.1496238381859625,0.14511228585173444,6.946478158134743,7.290726183249634,3.924243212744365,0.21390129334301963,3.717646802264488,4.285237133471844,0.3624268363061094,0.1544817929800313,0.24709678168448504,0.6275290100100845,0.30529601713915105,0.024773893507137993,0.2642472628548706,0.3256505039624005
exploratory / verification,PX4,px4_position,0,5,G02_pitch_plus_full,saturated_control,,,"G02 C1 pitch_plus_full; pitch:+; active [0,5] then neutral",a08edfccf9989958,artifacts/contract_grid_summary/thetas/G02_pitch_plus_full_a08edfccf9989958.npy,1.0,10,pitch,"[11,13]s absolute",per-repeat peak |v_xy|; J=5 rho mean/std,1.0,0.32255464931214806,0.015979466510035383,0.677445350687852,0.015979466510035355,0.655045792427237,0.6929685375619383,robust_safe,"tail from t_neutral_s to log end; mean t_neutral=5.000s, mean end=13.000s",per-repeat peak |v_xy| over tail; J=5 rho mean/std,1.0,,,-6.2222071141641475,0.12193183477900295,-6.404538227169729,-6.068920719949973,robust_violation,,7.2222071141641475,0.12193183477900295,7.068920719949973,7.404538227169729,3.6817246005074806,0.3356846131902693,3.2932200612117675,3.978781711562705,0.2742475091623501,0.12565908977215054,0.11006927021540396,0.4139079094728458,0.32255464931214806,0.015979466510035383,0.3070314624380617,0.344954207572763
