eval_id,trigger_id,phase,label,repeat_idx,theta_hash,query_id,cache_tag,query_retry_count,repeat_elapsed_wall_time_s,robustness_post_neutral_xy_drift,robustness_post_neutral_alt_drift,robustness_post_neutral_xy_velocity,meta_scenario_id,meta_seed,meta_query_type,meta_theta_hash,meta_cache_tag,meta_wall_time_s,meta_prepare_wall_time_s,meta_run_wall_time_s,meta_parse_wall_time_s,meta_shutdown_wall_time_s,meta_total_wall_time_s,meta_adapter_arm_request_count,meta_adapter_arm_retry_count,meta_adapter_mode_switch_request_count_total,meta_adapter_mode_switch_retry_count_total,meta_adapter_mode_switch_POSCTL_request_count,meta_adapter_mode_switch_POSCTL_retry_count
0,0,whole_channel,zero_throttle,0,8141bdfa1c39ac37,8141bdfa1c39ac37_px4_position_1_direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat0,direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat0,0,21.51373716100352,0.7477055783964717,0.982935905456543,-0.3382050674292645,px4_position,1,direction_a_ddmin,8141bdfa1c39ac37,direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat0,3.0039105030009523,17.404233022010885,3.0039105030009523,0.013874887954443693,1.0323097220389172,21.45433594303904,1,0,3,1,3,1
0,0,whole_channel,zero_throttle,1,8141bdfa1c39ac37,8141bdfa1c39ac37_px4_position_1_direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat1,direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat1,0,20.254133203998208,0.6811013960233265,0.9873151779174805,-0.3496841450805599,px4_position,1,direction_a_ddmin,8141bdfa1c39ac37,direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat1,3.00184935197467,16.152263549971394,3.00184935197467,0.013641054043546319,1.0252996690105647,20.19306072901236,1,0,2,0,2,0
0,0,whole_channel,zero_throttle,2,8141bdfa1c39ac37,8141bdfa1c39ac37_px4_position_1_direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat2,direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat2,0,17.34236788796261,0.7599802902074724,0.9887409210205078,-0.3173454169898713,px4_position,1,direction_a_ddmin,8141bdfa1c39ac37,direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat2,3.049459880043287,13.211154308984987,3.049459880043287,0.013611064001452178,1.0339656649739482,17.308198053971864,2,1,2,0,2,0
0,0,whole_channel,zero_throttle,3,8141bdfa1c39ac37,8141bdfa1c39ac37_px4_position_1_direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat3,direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat3,0,17.539979597961064,0.7754951695050631,0.9928317070007324,-0.31186712573008113,px4_position,1,direction_a_ddmin,8141bdfa1c39ac37,direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat3,3.0142675440292805,13.426245187991299,3.0142675440292805,0.013615216012112796,1.0292830119724385,17.483418800053187,2,1,2,0,2,0
0,0,whole_channel,zero_throttle,4,8141bdfa1c39ac37,8141bdfa1c39ac37_px4_position_1_direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat4,direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat4,0,17.446623482974246,0.7667340475568214,0.987973690032959,-0.2759940307821285,px4_position,1,direction_a_ddmin,8141bdfa1c39ac37,direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat4,3.072879856976215,13.293407177960034,3.072879856976215,0.014073321013711393,1.0336690379772335,17.41403675399488,2,1,2,0,2,0
1,0,whole_channel,zero_yaw,0,d47233e11e61af1d,d47233e11e61af1d_px4_position_1_direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat0,direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat0,0,20.665014226047788,0.7665462942159438,0.9896950721740723,-0.29169002209270944,px4_position,1,direction_a_ddmin,d47233e11e61af1d,direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat0,3.0028147590346634,16.582512060005683,3.0028147590346634,0.013604513020254672,1.0336784860119224,20.63261816999875,1,0,2,0,2,0
1,0,whole_channel,zero_yaw,1,d47233e11e61af1d,d47233e11e61af1d_px4_position_1_direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat1,direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat1,0,20.546493442961946,0.7101705530180642,0.9941878318786621,-0.37018565530480374,px4_position,1,direction_a_ddmin,d47233e11e61af1d,direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat1,3.062125083000865,16.392576596001163,3.062125083000865,0.015178164991084486,1.031944955990184,20.501832031994127,1,0,2,0,2,0
1,0,whole_channel,zero_yaw,2,d47233e11e61af1d,d47233e11e61af1d_px4_position_1_direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat2,direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat2,0,17.576176339003723,0.7379381996085332,0.9879512786865234,-0.34480679166190376,px4_position,1,direction_a_ddmin,d47233e11e61af1d,direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat2,2.9988771280040964,13.452481943008024,2.9988771280040964,0.013824498979374766,1.0563842119881883,17.521576421975624,2,1,3,1,3,1
1,0,whole_channel,zero_yaw,3,d47233e11e61af1d,d47233e11e61af1d_px4_position_1_direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat3,direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat3,0,20.531979988969397,0.762868102808246,0.9934196472167969,-0.34317705014844524,px4_position,1,direction_a_ddmin,d47233e11e61af1d,direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat3,2.9937016100157052,16.426014953991398,2.9937016100157052,0.013673900975845754,1.0418935139896348,20.475292715011165,1,0,3,1,3,1
1,0,whole_channel,zero_yaw,4,d47233e11e61af1d,d47233e11e61af1d_px4_position_1_direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat4,direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat4,0,17.347306590003427,0.8443492764604217,0.9923067092895508,-0.30606722965885336,px4_position,1,direction_a_ddmin,d47233e11e61af1d,direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat4,3.040463996003382,13.19252341997344,3.040463996003382,0.013039242010563612,1.0547591029899195,17.30079334496986,2,1,2,0,2,0
