time_s_rel_offboard,topic,tilt_deg,alt_m
0.0,vehicle_attitude,0.1532333940267563,
0.0,vehicle_local_position,,49.54460525512695
0.004,vehicle_attitude,0.1532333940267563,
0.008,vehicle_attitude,0.1532333940267563,
0.008,vehicle_local_position,,49.54634094238281
0.012,vehicle_attitude,0.1532333940267563,
0.016,vehicle_attitude,0.15195107460021973,
0.016,vehicle_local_position,,49.548072814941406
0.02,vehicle_attitude,0.15195107460021973,
0.024,vehicle_attitude,0.15065784752368927,
0.024,vehicle_local_position,,49.549800872802734
0.028,vehicle_attitude,0.14803750813007355,
0.032,vehicle_attitude,0.14265252649784088,
0.032,vehicle_local_position,,49.55152130126953
0.036,vehicle_attitude,0.13705609738826752,
0.04,vehicle_attitude,0.13417038321495056,
0.04,vehicle_local_position,,49.5532341003418
0.044,vehicle_attitude,0.1327040046453476,
0.048,vehicle_attitude,0.1327040046453476,
0.048,vehicle_local_position,,49.5549430847168
0.052,vehicle_attitude,0.1312212198972702,
0.056,vehicle_attitude,0.1297215074300766,
0.056,vehicle_local_position,,49.55664825439453
0.06,vehicle_attitude,0.1312212198972702,
0.064,vehicle_attitude,0.1327040046453476,
0.064,vehicle_local_position,,49.55834197998047
0.068,vehicle_attitude,0.13417038321495056,
0.072,vehicle_attitude,0.13705609738826752,
0.072,vehicle_local_position,,49.56002426147461
0.076,vehicle_attitude,0.14127419888973236,
0.08,vehicle_attitude,0.14401765167713165,
0.08,vehicle_attitude_setpoint,0.0,
0.08,vehicle_local_position,,49.561702728271484
0.084,vehicle_attitude,0.14536994695663452,
0.088,vehicle_attitude,0.14670979976654053,
0.088,vehicle_local_position,,49.563385009765625
0.092,vehicle_attitude,0.14670979976654053,
0.096,vehicle_attitude,0.14935342967510223,
0.096,vehicle_local_position,,49.5650634765625
0.1,vehicle_attitude,0.14935342967510223,
0.104,vehicle_attitude,0.14803750813007355,
0.104,vehicle_local_position,,49.56673812866211
0.108,vehicle_attitude,0.14265252649784088,
0.112,vehicle_attitude,0.1384764015674591,
0.112,vehicle_local_position,,49.56839370727539
0.116,vehicle_attitude,0.13417038321495056,
0.12,vehicle_attitude,0.12820424139499664,
0.12,vehicle_local_position,,49.570037841796875
0.124,vehicle_attitude,0.11869405955076218,
0.128,vehicle_attitude,0.11014342308044434,
0.128,vehicle_local_position,,49.57169723510742
0.132,vehicle_attitude,0.10087054967880249,
0.136,vehicle_attitude,0.08846931904554367,
0.136,vehicle_local_position,,49.573368072509766
