time_s,source,lat,lon,alt,distance_m,mode
68.694178,POS,37.4275002,-122.1689115,35.77000045776367,69.7044829611615,GUIDED
68.794971,POS,37.4275002,-122.1689025,35.77000045776367,70.50009524068416,GUIDED
68.894931,POS,37.4275002,-122.1688935,35.77000045776367,71.29570752235847,GUIDED
68.994891,POS,37.4275001,-122.1688845,35.779998779296875,72.0913172733873,GUIDED
69.09485099999999,POS,37.4275001,-122.1688754,35.779998779296875,72.8957697217125,GUIDED
69.194811,POS,37.4275001,-122.1688663,35.779998779296875,73.70022217024459,GUIDED
69.294771,POS,37.4275001,-122.1688572,35.779998779296875,74.50467461897686,GUIDED
69.394731,POS,37.4275001,-122.1688481,35.779998779296875,75.30912706790286,GUIDED
69.494691,POS,37.4275001,-122.168839,35.779998779296875,76.1135795170165,GUIDED
69.594651,POS,37.4275001,-122.1688299,35.779998779296875,76.91803196631183,GUIDED
69.694611,POS,37.4275001,-122.1688208,35.779998779296875,77.72248441578324,GUIDED
69.794571,POS,37.4275001,-122.1688117,35.779998779296875,78.52693686542528,GUIDED
69.894531,POS,37.4275001,-122.1688026,35.779998779296875,79.33138931523276,GUIDED
69.994491,POS,37.4275001,-122.1687935,35.779998779296875,80.13584176520071,GUIDED
70.09445099999999,POS,37.4275001,-122.1687844,35.779998779296875,80.94029421532431,GUIDED
70.194411,POS,37.4275001,-122.1687753,35.779998779296875,81.74474666685524,GUIDED
70.294371,POS,37.4275001,-122.1687663,35.779998779296875,82.54035897972626,GUIDED
70.394331,POS,37.4275001,-122.1687573,35.779998779296875,83.33597129399287,GUIDED
70.494291,POS,37.4275001,-122.1687483,35.779998779296875,84.13158360713858,GUIDED
70.594251,POS,37.4275001,-122.1687393,35.779998779296875,84.92719592167208,GUIDED
70.694211,POS,37.4275001,-122.1687303,35.779998779296875,85.72280823507724,GUIDED
70.79417099999999,POS,37.4275001,-122.1687214,35.779998779296875,86.50958041356175,GUIDED
70.894964,POS,37.4275001,-122.1687124,35.779998779296875,87.30519272721081,GUIDED
70.994924,POS,37.4275001,-122.1687034,35.779998779296875,88.10080504223384,GUIDED
71.094884,POS,37.4275001,-122.1686944,35.779998779296875,88.89641735611514,GUIDED
71.194844,POS,37.4275001,-122.1686853,35.779998779296875,89.70086980767043,GUIDED
71.294804,POS,37.4275001,-122.1686762,35.779998779296875,90.5053222605929,GUIDED
71.394764,POS,37.4275001,-122.1686672,35.779998779296875,91.30093457480218,GUIDED
71.494724,POS,37.4275001,-122.1686581,35.790000915527344,92.10538702668035,GUIDED
71.594684,POS,37.4275001,-122.168649,35.790000915527344,92.90983947866094,GUIDED
71.694644,POS,37.4275001,-122.16864,35.790000915527344,93.70545179442937,GUIDED
71.79460399999999,POS,37.4275001,-122.1686309,35.790000915527344,94.50990424660591,GUIDED
71.894564,POS,37.4275001,-122.1686218,35.790000915527344,95.31435669887723,GUIDED
71.994524,POS,37.4275001,-122.1686128,35.790000915527344,96.10996901366966,GUIDED
72.094484,POS,37.4275001,-122.1686037,35.790000915527344,96.91442146612249,GUIDED
72.194444,POS,37.4275001,-122.1685946,35.790000915527344,97.71887391866323,GUIDED
72.294404,POS,37.4275001,-122.1685855,35.790000915527344,98.52332637128968,GUIDED
72.394364,POS,37.4275001,-122.1685765,35.790000915527344,99.31893868768096,GUIDED
72.49432399999999,POS,37.4275001,-122.1685675,35.790000915527344,100.11455100415206,GUIDED
72.594284,POS,37.4275001,-122.1685584,35.790000915527344,100.91900345702165,GUIDED
72.694244,POS,37.4275001,-122.1685494,35.790000915527344,101.71461577239143,GUIDED
72.794204,POS,37.4275001,-122.1685404,35.790000915527344,102.5102280890917,GUIDED
72.894997,POS,37.4275001,-122.1685314,35.790000915527344,103.30584040460836,GUIDED
72.994957,POS,37.4275001,-122.1685224,35.790000915527344,104.10145272145219,GUIDED
73.094917,POS,37.4275001,-122.1685133,35.790000915527344,104.90590517468986,GUIDED
73.19487699999999,POS,37.4275001,-122.1685042,35.790000915527344,105.71035762799676,GUIDED
73.294837,POS,37.4275001,-122.1684951,35.790000915527344,106.51481008137132,GUIDED
73.394797,POS,37.4275001,-122.168486,35.790000915527344,107.31926253481195,GUIDED
73.49475699999999,POS,37.4275001,-122.1684769,35.790000915527344,108.12371498831722,GUIDED
73.594717,POS,37.4275001,-122.1684678,35.790000915527344,108.92816744188575,GUIDED
73.694677,POS,37.4275001,-122.1684587,35.790000915527344,109.73261989551602,GUIDED
73.794637,POS,37.4275001,-122.1684496,35.790000915527344,110.53707234920671,GUIDED
73.894597,POS,37.4275001,-122.1684405,35.790000915527344,111.34152480295657,GUIDED
73.994557,POS,37.4275001,-122.1684314,35.790000915527344,112.14597725676424,GUIDED
74.094517,POS,37.4275001,-122.1684224,35.790000915527344,112.94158957429717,GUIDED
74.19447699999999,POS,37.4275001,-122.1684133,35.790000915527344,113.74604202821627,GUIDED
74.294437,POS,37.4275001,-122.1684043,35.790000915527344,114.54165434460076,GUIDED
74.394397,POS,37.4275001,-122.1683956,35.790000915527344,115.31074625203784,GUIDED
74.494357,POS,37.4275001,-122.1683871,35.790000915527344,116.06215788434277,GUIDED
74.594317,POS,37.4275001,-122.1683791,35.790000915527344,116.76936883376528,GUIDED
74.694277,POS,37.4275001,-122.1683716,35.790000915527344,117.43237909778486,GUIDED
74.794237,POS,37.4275001,-122.1683646,35.790000915527344,118.05118867765036,GUIDED
74.89419699999999,POS,37.4275001,-122.168358,35.790000915527344,118.63463771094683,GUIDED
74.99499,POS,37.4275001,-122.1683519,35.790000915527344,119.17388605882098,GUIDED
75.09495,POS,37.4275001,-122.1683462,35.790000915527344,119.6777738601159,GUIDED
75.19491,POS,37.4275001,-122.168341,35.790000915527344,120.13746097723487,GUIDED
75.29487,POS,37.4275001,-122.1683363,35.790000915527344,120.55294740891709,GUIDED
75.39483,POS,37.4275001,-122.168332,35.790000915527344,120.93307329400784,GUIDED
75.49479,POS,37.4275,-122.1683281,35.790000915527344,121.27783820260744,GUIDED
75.59475,POS,37.4275,-122.1683247,35.790000915527344,121.57840285712093,GUIDED
75.69471,POS,37.4274999,-122.1683218,35.790000915527344,121.8347674171492,GUIDED
75.79467,POS,37.4274999,-122.1683193,35.790000915527344,122.05577083969904,GUIDED
