time_s_rel_offboard,topic,tilt_deg,alt_m
0.0,vehicle_attitude,0.22028695046901703,
0.004,vehicle_attitude,0.22117342054843903,
0.004,vehicle_local_position,,49.52098846435547
0.008,vehicle_attitude,0.22028695046901703,
0.012,vehicle_attitude,0.217605859041214,
0.012,vehicle_local_position,,49.522640228271484
0.016,vehicle_attitude,0.2157999724149704,
0.02,vehicle_attitude,0.21306245028972626,
0.02,vehicle_local_position,,49.5242919921875
0.024,vehicle_attitude,0.21028928458690643,
0.028,vehicle_attitude,0.20841999351978302,
0.028,vehicle_local_position,,49.525943756103516
0.032,vehicle_attitude,0.20558421313762665,
0.036,vehicle_attitude,0.20270876586437225,
0.036,vehicle_local_position,,49.527591705322266
0.04,vehicle_attitude,0.20270876586437225,
0.044,vehicle_attitude,0.20463022589683533,
0.044,vehicle_local_position,,49.529212951660156
0.048,vehicle_attitude,0.20558421313762665,
0.052,vehicle_attitude,0.2065337896347046,
0.052,vehicle_local_position,,49.53083419799805
0.056,vehicle_attitude,0.20935672521591187,
0.06,vehicle_attitude,0.21214208006858826,
0.06,vehicle_local_position,,49.53245544433594
0.064,vehicle_attitude,0.21306245028972626,
0.068,vehicle_attitude,0.2139788419008255,
0.068,vehicle_local_position,,49.5340690612793
0.072,vehicle_attitude,0.2139788419008255,
0.076,vehicle_attitude,0.21489134430885315,
0.076,vehicle_attitude_setpoint,0.0,
0.076,vehicle_local_position,,49.53567886352539
0.08,vehicle_attitude,0.21489134430885315,
0.084,vehicle_attitude,0.21489134430885315,
0.084,vehicle_local_position,,49.53728485107422
0.088,vehicle_attitude,0.21489134430885315,
0.092,vehicle_attitude,0.2139788419008255,
0.092,vehicle_local_position,,49.53888702392578
0.096,vehicle_attitude,0.21214208006858826,
0.1,vehicle_attitude,0.20841999351978302,
0.1,vehicle_local_position,,49.540470123291016
0.104,vehicle_attitude,0.20174117386341095,
0.108,vehicle_attitude,0.19281449913978577,
0.108,vehicle_local_position,,49.542057037353516
0.112,vehicle_attitude,0.18130820989608765,
0.116,vehicle_attitude,0.16551098227500916,
0.116,vehicle_local_position,,49.54365158081055
0.12,vehicle_attitude,0.14670979976654053,
0.124,vehicle_attitude,0.12820424139499664,
0.124,vehicle_local_position,,49.545257568359375
0.128,vehicle_attitude,0.11364090442657471,
0.132,vehicle_attitude,0.09691328555345535,
0.132,vehicle_local_position,,49.546875
0.136,vehicle_attitude,0.08392936736345291,
0.14,vehicle_attitude,0.07401873916387558,
0.14,vehicle_local_position,,49.54850387573242
0.144,vehicle_attitude,0.0656106024980545,
