time_s_rel_offboard,topic,tilt_deg,alt_m
0.0,vehicle_attitude,0.16551098227500916,
0.0,vehicle_local_position,,49.54879379272461
0.004,vehicle_attitude,0.16312941908836365,
0.008,vehicle_attitude,0.15825876593589783,
0.008,vehicle_local_position,,49.55051803588867
0.012,vehicle_attitude,0.1532333940267563,
0.016,vehicle_attitude,0.15065784752368927,
0.016,vehicle_local_position,,49.552223205566406
0.02,vehicle_attitude,0.14935342967510223,
0.024,vehicle_attitude,0.14935342967510223,
0.024,vehicle_local_position,,49.553924560546875
0.028,vehicle_attitude,0.14935342967510223,
0.032,vehicle_attitude,0.15065784752368927,
0.032,vehicle_local_position,,49.55562210083008
0.036,vehicle_attitude,0.15195107460021973,
0.04,vehicle_attitude,0.1557663530111313,
0.04,vehicle_local_position,,49.557315826416016
0.044,vehicle_attitude,0.16192547976970673,
0.048,vehicle_attitude,0.16668902337551117,
0.048,vehicle_local_position,,49.55900573730469
0.052,vehicle_attitude,0.17017418146133423,
0.056,vehicle_attitude,0.17132015526294708,
0.056,vehicle_local_position,,49.560691833496094
0.06,vehicle_attitude,0.17017418146133423,
0.064,vehicle_attitude,0.16668902337551117,
0.064,vehicle_local_position,,49.56235885620117
0.068,vehicle_attitude,0.16312941908836365,
0.072,vehicle_attitude,0.15949037671089172,
0.072,vehicle_local_position,,49.564022064208984
0.076,vehicle_attitude,0.1532333940267563,
0.076,vehicle_attitude_setpoint,0.0,
0.08,vehicle_attitude,0.14803750813007355,
0.08,vehicle_local_position,,49.5656852722168
0.084,vehicle_attitude,0.14670979976654053,
0.088,vehicle_attitude,0.14803750813007355,
0.088,vehicle_local_position,,49.56734085083008
0.092,vehicle_attitude,0.14803750813007355,
0.096,vehicle_attitude,0.14803750813007355,
0.096,vehicle_local_position,,49.568992614746094
0.1,vehicle_attitude,0.14670979976654053,
0.104,vehicle_attitude,0.14803750813007355,
0.104,vehicle_local_position,,49.57063674926758
0.108,vehicle_attitude,0.14803750813007355,
0.112,vehicle_attitude,0.14935342967510223,
0.112,vehicle_local_position,,49.57227325439453
0.116,vehicle_attitude,0.14803750813007355,
0.12,vehicle_attitude,0.14401765167713165,
0.12,vehicle_local_position,,49.57389450073242
0.124,vehicle_attitude,0.13705609738826752,
0.128,vehicle_attitude,0.1297215074300766,
0.128,vehicle_local_position,,49.575523376464844
0.132,vehicle_attitude,0.1219465509057045,
0.136,vehicle_attitude,0.1153498962521553,
0.136,vehicle_local_position,,49.5771598815918
0.14,vehicle_attitude,0.10835235565900803,
0.144,vehicle_attitude,0.10279206931591034,
0.144,vehicle_local_position,,49.57881164550781
0.148,vehicle_attitude,0.09891171008348465,
0.152,vehicle_attitude,0.09691328555345535,
0.152,vehicle_local_position,,49.58047866821289
0.156,vehicle_attitude,0.09691328555345535,
0.156,vehicle_attitude_setpoint,0.0,
0.16,vehicle_attitude,0.09891171008348465,
0.16,vehicle_local_position,,49.58216094970703
0.164,vehicle_attitude,0.09891171008348465,
0.168,vehicle_attitude,0.09691328555345535,
0.168,vehicle_local_position,,49.583831787109375
0.172,vehicle_attitude,0.09278740733861923,
0.176,vehicle_attitude,0.08846931904554367,
0.176,vehicle_local_position,,49.585514068603516
0.18,vehicle_attitude,0.08622922748327255,
0.184,vehicle_attitude,0.08392936736345291,
0.184,vehicle_local_position,,49.58720779418945
0.188,vehicle_attitude,0.08156467974185944,
0.192,vehicle_attitude,0.07912936806678772,
0.192,vehicle_local_position,,49.58891296386719
0.196,vehicle_attitude,0.07661667466163635,
0.2,vehicle_attitude,0.07132624834775925,
0.2,vehicle_local_position,,49.59063720703125
0.204,vehicle_attitude,0.0656106024980545,
0.208,vehicle_attitude,0.05934702232480049,
0.208,vehicle_local_position,,49.59237289428711
0.212,vehicle_attitude,0.05595290660858154,
0.216,vehicle_attitude,0.048456642776727676,
0.216,vehicle_local_position,,49.5941276550293
0.22,vehicle_attitude,0.04423465579748154,
0.224,vehicle_attitude,0.04423465579748154,
0.224,vehicle_local_position,,49.59587478637695
0.228,vehicle_attitude,0.048456642776727676,
0.232,vehicle_attitude,0.048456642776727676,
0.232,vehicle_local_position,,49.59763717651367
0.236,vehicle_attitude,0.048456642776727676,
0.24,vehicle_attitude,0.05233915150165558,
0.24,vehicle_attitude_setpoint,0.0,
0.24,vehicle_local_position,,49.59941482543945
0.244,vehicle_attitude,0.05233915150165558,
0.248,vehicle_attitude,0.048456642776727676,
0.248,vehicle_local_position,,49.60120391845703
0.252,vehicle_attitude,0.048456642776727676,
0.256,vehicle_attitude,0.04423465579748154,
0.256,vehicle_local_position,,49.60300827026367
0.26,vehicle_attitude,0.04423465579748154,
0.264,vehicle_attitude,0.03956468030810356,
0.264,vehicle_local_position,,49.604827880859375
0.268,vehicle_attitude,0.03956468030810356,
0.272,vehicle_attitude,0.03956468030810356,
0.272,vehicle_local_position,,49.60664367675781
0.276,vehicle_attitude,0.03426402062177658,
0.28,vehicle_attitude,0.03426402062177658,
0.28,vehicle_local_position,,49.60847854614258
0.284,vehicle_attitude,0.03426402062177658,
0.288,vehicle_attitude,0.03426402062177658,
0.288,vehicle_local_position,,49.61031723022461
0.292,vehicle_attitude,0.03426402062177658,
0.296,vehicle_attitude,0.03426402062177658,
0.296,vehicle_local_position,,49.6121711730957
0.3,vehicle_attitude,0.03426402062177658,
0.304,vehicle_attitude,0.03426402062177658,
0.304,vehicle_local_position,,49.61404037475586
0.308,vehicle_attitude,0.03956468030810356,
0.312,vehicle_attitude,0.03956468030810356,
0.312,vehicle_local_position,,49.61592102050781
0.316,vehicle_attitude,0.03956468030810356,
0.32,vehicle_attitude,0.03956468030810356,
0.32,vehicle_attitude_setpoint,0.0,
0.32,vehicle_local_position,,49.617820739746094
0.324,vehicle_attitude,0.03426402062177658,
0.328,vehicle_attitude,0.03426402062177658,
0.328,vehicle_local_position,,49.61969757080078
0.332,vehicle_attitude,0.03426402062177658,
0.336,vehicle_attitude,0.02797645330429077,
0.336,vehicle_local_position,,49.621585845947266
0.34,vehicle_attitude,0.02797645330429077,
0.344,vehicle_attitude,0.01978234015405178,
0.344,vehicle_local_position,,49.62348937988281
0.348,vehicle_attitude,0.01978234015405178,
0.352,vehicle_attitude,0.01978234015405178,
0.352,vehicle_local_position,,49.62541198730469
0.356,vehicle_attitude,0.01978234015405178,
0.36,vehicle_attitude,0.01978234015405178,
0.36,vehicle_local_position,,49.627349853515625
0.364,vehicle_attitude,0.0,
0.368,vehicle_attitude,0.0,
0.368,vehicle_local_position,,49.629302978515625
0.372,vehicle_attitude,0.01978234015405178,
0.376,vehicle_attitude,0.01978234015405178,
0.376,vehicle_local_position,,49.6312370300293
0.38,vehicle_attitude,0.01978234015405178,
0.384,vehicle_attitude,0.0,
0.384,vehicle_local_position,,49.63318634033203
