time_s,source,lat,lon,alt,distance_m,mode
6.269991,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,STABILIZE
6.3699509999999995,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,STABILIZE
6.469911000000001,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,STABILIZE
6.569871,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,STABILIZE
6.669830999999999,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
6.769791000000001,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
6.869751,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
6.969710999999999,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
7.0696710000000005,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
7.169631,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
7.269590999999999,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
7.369551,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
7.469511,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
7.569470999999999,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
7.669431,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
7.769391,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
7.869351000000001,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
7.969311,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
8.069271,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
8.169231,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
8.269191,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
8.369983999999999,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
8.469944000000002,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
8.569904000000001,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
8.669864,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
8.769824,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
8.869784,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
8.969743999999999,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
9.069704000000002,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
9.169664000000001,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
9.269624,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
9.369584,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
9.469543999999999,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
9.569503999999998,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
9.669464000000001,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
9.769424,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
9.869384,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
9.969344,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
10.069303999999999,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
10.169263999999998,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
10.269224000000001,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
10.369184,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
10.469977,POS,37.4274999,-122.1697,16.100000381469727,0.011131949209416398,GUIDED
