candidate_id,H_id,param_overrides_json,maneuver,C_recover_status,C_recover_violation,C_track_status,C_track_violation,violation_contract,nonlinear_observable,nonlinear_activated,saturation_error_overlap_s,candidate_status,contract_class,tier1_robustness_class,tier2_robustness_class,threshold_mean,tail_start_peak_abs_rate_mean,terminal_peak_abs_rate_mean,rho_tier1_mean,rho_tier1_std,nondecay_ratio_margin_mean,nondecay_slope_margin_mean,terminal_peak_over_threshold,terminal_over_start_peak
rate_p_x1p5,H3,"{""MC_ROLLRATE_P"": 0.45000001788139343}",strong_step_A0p9_hold2,safe,False,safe,False,,True,True,0.019999980926513672,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.03098185546696186,0.025461504235863686,0.3245384957641363,0.0,0.0006760198622941943,2.1428885061777446e-05,0.07274715495961054,0.8218198636623002
rate_p_x1p5,H3,"{""MC_ROLLRATE_P"": 0.45000001788139343}",strong_doublet_A0p9_hold2,safe,False,safe,False,,True,True,0.0,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.04408933222293854,0.031454939395189285,0.3185450606048107,0.0,-0.003816526383161545,-0.0002436659377801199,0.08987125541482653,0.7134365119466267
rate_p_x1p5,H3,"{""MC_ROLLRATE_P"": 0.45000001788139343}",pulse_train_A0p9_repeat3,safe,False,safe,False,,True,True,0.0,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.0387602299451828,0.033404093235731125,0.31659590676426885,0.0,0.0023959092795848846,-0.00021539634587849834,0.09544026638780322,0.8618135981900348
rate_p_x1p5,H3,"{""MC_ROLLRATE_P"": 0.45000001788139343}",reversal_A0p9_fast,safe,False,safe,False,,True,True,0.019999980926513672,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.04110361635684967,0.048739850521087646,0.30126014947891233,0.0,0.01585695743560791,-0.0004396136163054651,0.13925671577453613,1.1857801050385057
rate_p_x1p5,H3,"{""MC_ROLLRATE_P"": 0.45000001788139343}",pulse_train_A1p0_repeat3,safe,False,safe,False,,True,True,0.0,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.031362857669591904,0.057863324880599976,0.2921366751194,0.0,0.03277303874492645,0.0009104924666946165,0.1653237853731428,1.8449634115038502
rate_p_x1p5,H3,"{""MC_ROLLRATE_P"": 0.45000001788139343}",strong_doublet_A0p7_hold1,safe,False,safe,False,,True,True,0.0,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.037368301302194595,0.028439471498131752,0.3215605285018682,0.0,-0.0014551695436239263,-0.0001533086121804035,0.08125563285180501,0.7610587184079876
rate_p_x1p5,H3,"{""MC_ROLLRATE_P"": 0.45000001788139343}",strong_step_roll_0p7,safe,False,safe,False,,True,True,0.0,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.032043661922216415,0.030925577506422997,0.319074422493577,0.0,0.005290647968649864,-0.00015562809460879115,0.08835879287549428,0.9651074705972281
rate_p_x1p5,H3,"{""MC_ROLLRATE_P"": 0.45000001788139343}",pulse_train_A0p7_repeat3,safe,False,safe,False,,True,True,0.0,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.05354908108711243,0.03263086825609207,0.3173691317439079,0.0,-0.010208396613597875,-0.00029463266684548483,0.09323105216026306,0.6093637387168029
att_p_boundary_rate_p,H3,"{""MC_ROLLRATE_P"": 0.4050000160932541, ""MC_ROLL_P"": 12.0}",strong_step_A0p9_hold2,safe,False,safe,False,,True,True,0.0,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.03377551957964897,0.023367904126644135,0.32663209587335584,0.0,-0.003652511537075045,-0.0009021432770785166,0.06676544036184039,0.6918592050534784
att_p_boundary_rate_p,H3,"{""MC_ROLLRATE_P"": 0.4050000160932541, ""MC_ROLL_P"": 12.0}",strong_doublet_A0p9_hold2,safe,False,safe,False,,True,True,0.0,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.02105814591050148,0.02720598876476288,0.3227940112352371,0.0,0.010359472036361693,0.0003649560000570432,0.07773139647075109,1.2919460659257533
att_p_boundary_rate_p,H3,"{""MC_ROLLRATE_P"": 0.4050000160932541, ""MC_ROLL_P"": 12.0}",pulse_train_A0p9_repeat3,safe,False,safe,False,,True,True,0.0,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.021694490686058998,0.025531936436891556,0.3244680635631084,0.0,0.008176343888044356,0.00016122884217908983,0.07294838981969017,1.176885726720403
att_p_boundary_rate_p,H3,"{""MC_ROLLRATE_P"": 0.4050000160932541, ""MC_ROLL_P"": 12.0}",reversal_A0p9_fast,safe,False,safe,False,,True,True,0.0,NO_WITNESS_FOUND,safe,robust_safe,not_tier1_violation,0.35,0.021662672981619835,0.02114507183432579,0.3288549281656742,0.0,0.0038149334490299204,7.862012289692296e-05,0.060414490955216546,0.9761063121003943
