query_id,cache_tag,maneuver,axis,C_track_available,C_track_axis,baseline_nte_median,nte_threshold,peak_err_threshold_radps,high_err_duration_threshold_s,baseline_ratio_threshold,overlap_threshold_s,active_window_available,C_track_status,C_track_safe,C_track_violation,C_track_unavailable_reason,active_window_start_s,active_window_end_s,rms_sp,rms_err,nte,peak_err,high_err_duration_s,saturation_error_overlap_s,explicit_limit_or_saturation_during_high_error,baseline_ratio_ok,nonlinear_observable,nonlinear_activated_in_active_window,raw_log_path
7b6436b0c98f6238_px4_acro_roll_0_params0f581aefd7_boundary_rate_p_x3_M0_hover_no_input_repeat0,boundary_rate_p_x3_M0_hover_no_input_repeat0,hover_no_input,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1780999709.227,1780999721.263,0.11952274856621913,0.958886015788228,3.835544063152912,2.161007396876812,3.483999252319336,3.483999252319336,True,False,True,True,runs/mantis_witness_px4_roll_lowheadroom_seed0_v0/queries/7b6436b0c98f6238_px4_acro_roll_0_params0f581aefd7_boundary_rate_p_x3_M0_hover_no_input_repeat0/raw_log.ulg
77ddc9e0aa4f00eb_px4_acro_roll_0_params0f581aefd7_boundary_rate_p_x3_Msmall_small_step_roll_repeat0,boundary_rate_p_x3_Msmall_small_step_roll_repeat0,small_step_roll,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1780999822.983,1780999823.175,0.3490658700466156,1.1596089228402098,3.3220346712365525,1.7833726108074188,0.08800005912780762,0.08800005912780762,True,False,True,True,runs/mantis_witness_px4_roll_lowheadroom_seed0_v0/queries/77ddc9e0aa4f00eb_px4_acro_roll_0_params0f581aefd7_boundary_rate_p_x3_Msmall_small_step_roll_repeat0/raw_log.ulg
7b6436b0c98f6238_px4_acro_roll_0_params0f581aefd7_boundary_rate_p_x2_M0_hover_no_input_repeat0,boundary_rate_p_x2_M0_hover_no_input_repeat0,hover_no_input,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1780999786.557,1780999798.597,0.15245990517156985,1.1625178536525016,4.650071414610006,2.204502634704113,5.5199995040893555,5.5199995040893555,True,False,True,True,runs/mantis_witness_px4_roll_lowheadroom_seed0_v0/queries/7b6436b0c98f6238_px4_acro_roll_0_params0f581aefd7_boundary_rate_p_x2_M0_hover_no_input_repeat0/raw_log.ulg
77ddc9e0aa4f00eb_px4_acro_roll_0_params0f581aefd7_boundary_rate_p_x2_Msmall_small_step_roll_repeat0,boundary_rate_p_x2_Msmall_small_step_roll_repeat0,small_step_roll,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1780999902.467,1780999902.659,0.3490658700466156,1.1711245714996128,3.355024572706625,1.7716799676418304,0.0840001106262207,0.0840001106262207,True,False,True,True,runs/mantis_witness_px4_roll_lowheadroom_seed0_v0/queries/77ddc9e0aa4f00eb_px4_acro_roll_0_params0f581aefd7_boundary_rate_p_x2_Msmall_small_step_roll_repeat0/raw_log.ulg
7b6436b0c98f6238_px4_acro_roll_0_params659f689e30_boundary_rate_p_x1p5_M0_hover_no_input_repeat0,boundary_rate_p_x1p5_M0_hover_no_input_repeat0,hover_no_input,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1780999864.975,1780999865.195,0.0663925909877248,0.06493093795345445,0.2597237518138178,0.14592266827821732,0.0,0.0,False,False,True,True,runs/mantis_witness_px4_roll_lowheadroom_seed0_v0/queries/7b6436b0c98f6238_px4_acro_roll_0_params659f689e30_boundary_rate_p_x1p5_M0_hover_no_input_repeat0/raw_log.ulg
77ddc9e0aa4f00eb_px4_acro_roll_0_params659f689e30_boundary_rate_p_x1p5_Msmall_small_step_roll_repeat0,boundary_rate_p_x1p5_Msmall_small_step_roll_repeat0,small_step_roll,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1780999979.069,1780999979.265,0.3490658700466156,0.1383636473337643,0.396382629202009,0.23192808032035828,0.0,0.0,False,False,True,True,runs/mantis_witness_px4_roll_lowheadroom_seed0_v0/queries/77ddc9e0aa4f00eb_px4_acro_roll_0_params659f689e30_boundary_rate_p_x1p5_Msmall_small_step_roll_repeat0/raw_log.ulg
7b6436b0c98f6238_px4_acro_roll_0_params0f581aefd7_boundary_rate_p_x1p75_M0_hover_no_input_repeat0,boundary_rate_p_x1p75_M0_hover_no_input_repeat0,hover_no_input,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1780999941.282,1780999953.302,0.15812411890191683,1.2331693898471114,4.932677559388446,2.2032490223646164,5.695999622344971,5.695999622344971,True,False,True,True,runs/mantis_witness_px4_roll_lowheadroom_seed0_v0/queries/7b6436b0c98f6238_px4_acro_roll_0_params0f581aefd7_boundary_rate_p_x1p75_M0_hover_no_input_repeat0/raw_log.ulg
77ddc9e0aa4f00eb_px4_acro_roll_0_params0f581aefd7_boundary_rate_p_x1p75_Msmall_small_step_roll_repeat0,boundary_rate_p_x1p75_Msmall_small_step_roll_repeat0,small_step_roll,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781000057.0,1781000057.188,0.3490658700466156,1.2253660167373976,3.5104148583009778,1.8083686530590057,0.08799982070922852,0.08799982070922852,True,False,True,True,runs/mantis_witness_px4_roll_lowheadroom_seed0_v0/queries/77ddc9e0aa4f00eb_px4_acro_roll_0_params0f581aefd7_boundary_rate_p_x1p75_Msmall_small_step_roll_repeat0/raw_log.ulg
7b6436b0c98f6238_px4_acro_roll_0_paramsc5fcc9231d_boundary_rate_i_x3_M0_hover_no_input_repeat0,boundary_rate_i_x3_M0_hover_no_input_repeat0,hover_no_input,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,True,safe,True,False,,1781000019.494,1781000022.754,0.07830416827793935,0.08448733684373089,0.33794934737492355,0.4843318611383438,0.0,0.0,False,False,True,True,runs/mantis_witness_px4_roll_lowheadroom_seed0_v0/queries/7b6436b0c98f6238_px4_acro_roll_0_paramsc5fcc9231d_boundary_rate_i_x3_M0_hover_no_input_repeat0/raw_log.ulg
77ddc9e0aa4f00eb_px4_acro_roll_0_paramsc5fcc9231d_boundary_rate_i_x3_Msmall_small_step_roll_repeat0,boundary_rate_i_x3_Msmall_small_step_roll_repeat0,small_step_roll,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,False,safe,True,False,,1781000132.655,1781000132.655,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,,runs/mantis_witness_px4_roll_lowheadroom_seed0_v0/queries/77ddc9e0aa4f00eb_px4_acro_roll_0_paramsc5fcc9231d_boundary_rate_i_x3_Msmall_small_step_roll_repeat0/raw_log.ulg
7b6436b0c98f6238_px4_acro_roll_0_params8c0dab9d72_boundary_rate_d_high_x2p5_M0_hover_no_input_repeat0,boundary_rate_d_high_x2p5_M0_hover_no_input_repeat0,hover_no_input,roll,True,roll,,0.65,1.0,0.25,2.5,0.2,False,safe,True,False,,,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,,runs/mantis_witness_px4_roll_lowheadroom_seed0_v0/queries/7b6436b0c98f6238_px4_acro_roll_0_params8c0dab9d72_boundary_rate_d_high_x2p5_M0_hover_no_input_repeat0/raw_log.ulg
