stage,mode,contract_property,param_name,param_value,legal,arm,point_id,channels_active,support,max_abs,saturated,J,rho_mean,rho_std,peak_5_7,peak_7_9,peak_9_11,peak_11_13,terminal_peak,threshold,margin,label,survivor
stage0,px4_position,post_neutral_xy_velocity,MPC_ACC_HOR,3.0,True,C,eval164,"pitch,roll",6,0.5,False,5,0.9724940511825716,0.007971621994084396,0.8134582706125274,0.05830619030800579,0.038516089140931895,0.027505948817428388,0.027505948817428388,1.0,0.9724940511825716,robust_safe,False
stage0,px4_position,post_neutral_xy_velocity,MPC_ACC_HOR,3.0,True,C,eval174,pitch,6,0.5,False,5,0.9597854253065747,0.010415725792945847,0.9561268170535542,0.088416176107465,0.04636883666311387,0.04021457469342515,0.04021457469342515,1.0,0.9597854253065748,robust_safe,False
stage0,px4_position,post_neutral_xy_velocity,MPC_ACC_HOR,3.0,True,C,eval182,"pitch,roll",8,0.5,False,5,0.9542177431086397,0.006459714254105033,1.1257168578039447,0.2265387548051348,0.05155718111300002,0.045782256891360236,0.045782256891360236,1.0,0.9542177431086397,robust_safe,False
stage0,px4_position,post_neutral_xy_velocity,MPC_ACC_HOR,3.0,True,C,eval199,"pitch,roll",8,0.5,False,5,0.9533745524857704,0.008706152610503228,1.1341503245886506,0.2351913460562618,0.0547275597463728,0.04662544751422955,0.04662544751422955,1.0,0.9533745524857704,robust_safe,False
stage0,px4_position,post_neutral_xy_velocity,MPC_ACC_HOR,3.0,True,C,eval234,roll,6,0.5,False,5,0.949862421364646,0.015341100294039225,0.960695650743971,0.08000308575660436,0.04009418359455298,0.05013757863535397,0.05013757863535397,1.0,0.949862421364646,robust_safe,False
stage0,px4_position,post_neutral_xy_velocity,MPC_ACC_HOR,3.0,True,saturation_control,G01,roll,10,1.0,True,5,0.6787553275133048,0.02021302533843301,7.204315249356649,4.151196956138707,0.42920857040579186,0.3212446724866952,0.3212446724866952,1.0,0.6787553275133048,robust_safe,False
stage0,px4_position,post_neutral_xy_velocity,MPC_ACC_HOR,3.0,True,saturation_control,G02,pitch,10,1.0,True,5,0.6999893355286027,0.01690510021434886,6.927379559748871,3.717402383968846,0.3327754965662139,0.30001066447139746,0.30001066447139746,1.0,0.6999893355286025,robust_safe,False
stage0,px4_position,post_neutral_xy_velocity,MPC_ACC_HOR,0.5,False,positive_control,eval234_MPC_ACC_HOR_0p5,roll,6,0.5,False,5,0.9824067757336141,0.014883615199872793,0.25069544816429384,0.15827180364572302,0.04932701768438395,0.017593224266385866,0.017593224266385866,1.0,0.9824067757336141,robust_safe,False
