phase,exploratory,step,pair,arm,scenario_id,seed,J,profile_index,profile_label,channel_pattern,variant,start_window,requested_amplitude,effective_amplitude,t_switch,t_switch_s,profile_values,theta_hash,max_abs,saturated,request_saturated,amplitude_saturated,manual_post_switch_abs_max,manual_pre_switch_abs_max,rho_mean,rho_std,rho_min,rho_max,label,threshold,V_stress,terminal_window_lo_s,terminal_window_hi_s,terminal_window_relative,mode_timeline,query_ids,parsed_log_paths,raw_ulg_paths,param_acc_readback_min,param_acc_readback_max,param_jerk_readback_min,param_jerk_readback_max,transition_request_count_max,query_total_wall_time_s_sum,attributable_candidate,pair_status,velocity_at_transition_mps,velocity_at_transition_mps_std,velocity_at_transition_mps_min,velocity_at_transition_mps_max,speed_at_nominal_switch_mps,speed_at_nominal_switch_mps_std,speed_at_nominal_switch_mps_min,speed_at_nominal_switch_mps_max,transition_observed_t_s,transition_observed_t_s_std,transition_observed_t_s_min,transition_observed_t_s_max,terminal_peak,terminal_peak_std,terminal_peak_min,terminal_peak_max,peak_rel_0_2,peak_rel_0_2_std,peak_rel_0_2_min,peak_rel_0_2_max,peak_rel_2_4,peak_rel_2_4_std,peak_rel_2_4_min,peak_rel_2_4_max,peak_rel_4_6,peak_rel_4_6_std,peak_rel_4_6_min,peak_rel_4_6_max,peak_rel_6_8,peak_rel_6_8_std,peak_rel_6_8_min,peak_rel_6_8_max,paired_sw_terminal_peak,paired_ns_terminal_peak,paired_sw_velocity_at_transition_mps,paired_sw_label,paired_ns_label
T1,True,stress_map,PX4 Position->Hold,SW,px4_transition,0,1,0,pitch_long_hold_a0p85_ts5p00,pitch,long_hold,0,0.85,0.7,5.0,5.0,"pitch:0.25,0.50,0.70,0.70,0.70,0.70,0.70,0.70,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",f32e61d08743cfd1,0.7,True,True,False,0.0,0.7,0.793574890865258,0.0,0.793574890865258,0.793574890865258,robust_safe,1.0,2.0,11.0,13.0,t_switch+6..t_switch+8,0.00:POSCTL|6.88:LOITER,f32e61d08743cfd1_px4_transition_0_ts5p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_f32e61d08743cfd1_ts5p00_repeat0,runs/transition_handoff_v2_a04_seed0/queries/f32e61d08743cfd1_px4_transition_0_ts5p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_f32e61d08743cfd1_ts5p00_repeat0/parsed_log.parquet,runs/transition_handoff_v2_a04_seed0/queries/f32e61d08743cfd1_px4_transition_0_ts5p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_f32e61d08743cfd1_ts5p00_repeat0/raw_log.ulg,3.0,3.0,8.0,8.0,10.0,21.082338216001517,False,,0.8005070304116404,0.0,0.8005070304116404,0.8005070304116404,2.5520319853703755,0.0,2.5520319853703755,2.5520319853703755,6.88,0.0,6.88,6.88,0.206425109134742,0.0,0.206425109134742,0.206425109134742,2.5520319853703755,0.0,2.5520319853703755,2.5520319853703755,0.7162579938535285,0.0,0.7162579938535285,0.7162579938535285,0.09456966900050852,0.0,0.09456966900050852,0.09456966900050852,0.20642510913474196,0.0,0.20642510913474196,0.20642510913474196,,,,,
T1,True,stress_map,PX4 Position->Hold,SW,px4_transition,0,1,1,diag_long_hold_a0p85_ts5p00,diag,long_hold,0,0.85,0.7,5.0,5.0,"pitch:0.25,0.50,0.70,0.70,0.70,0.70,0.70,0.70,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;roll:0.25,0.50,0.70,0.70,0.70,0.70,0.70,0.70,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",ac4cd3e2e32a22c5,0.7,True,True,False,0.0,0.7,0.7023606371925089,0.0,0.7023606371925089,0.7023606371925089,robust_safe,1.0,2.0,11.0,13.0,t_switch+6..t_switch+8,0.00:POSCTL|6.06:LOITER,ac4cd3e2e32a22c5_px4_transition_0_ts5p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_ac4cd3e2e32a22c5_ts5p00_repeat0,runs/transition_handoff_v2_a04_seed0/queries/ac4cd3e2e32a22c5_px4_transition_0_ts5p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_ac4cd3e2e32a22c5_ts5p00_repeat0/parsed_log.parquet,runs/transition_handoff_v2_a04_seed0/queries/ac4cd3e2e32a22c5_px4_transition_0_ts5p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_ac4cd3e2e32a22c5_ts5p00_repeat0/raw_log.ulg,3.0,3.0,8.0,8.0,6.0,19.723978621997958,False,both_safe,2.0644390887982778,0.0,2.0644390887982778,2.0644390887982778,4.082766498421474,0.0,4.082766498421474,4.082766498421474,6.04,0.0,6.04,6.04,0.29763936280749115,0.0,0.29763936280749115,0.29763936280749115,4.082766498421474,0.0,4.082766498421474,4.082766498421474,0.698245395196991,0.0,0.698245395196991,0.698245395196991,0.3172454904902322,0.0,0.3172454904902322,0.3172454904902322,0.2976393628074912,0.0,0.2976393628074912,0.2976393628074912,0.31135153810185556,0.21823851325373797,1.8938838350732847,robust_safe,robust_safe
T1,True,stress_map,PX4 Position->Hold,SW,px4_transition,0,1,2,pitch_long_hold_a1p00_ts5p00,pitch,long_hold,0,1.0,0.7,5.0,5.0,"pitch:0.25,0.50,0.70,0.70,0.70,0.70,0.70,0.70,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",f32e61d08743cfd1,0.7,True,True,False,0.0,0.7,0.793574890865258,0.0,0.793574890865258,0.793574890865258,robust_safe,1.0,2.0,11.0,13.0,t_switch+6..t_switch+8,0.00:POSCTL|6.88:LOITER,f32e61d08743cfd1_px4_transition_0_ts5p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_f32e61d08743cfd1_ts5p00_repeat0,runs/transition_handoff_v2_a04_seed0/queries/f32e61d08743cfd1_px4_transition_0_ts5p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_f32e61d08743cfd1_ts5p00_repeat0/parsed_log.parquet,runs/transition_handoff_v2_a04_seed0/queries/f32e61d08743cfd1_px4_transition_0_ts5p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_f32e61d08743cfd1_ts5p00_repeat0/raw_log.ulg,3.0,3.0,8.0,8.0,10.0,21.082338216001517,False,,0.8005070304116404,0.0,0.8005070304116404,0.8005070304116404,2.5520319853703755,0.0,2.5520319853703755,2.5520319853703755,6.88,0.0,6.88,6.88,0.206425109134742,0.0,0.206425109134742,0.206425109134742,2.5520319853703755,0.0,2.5520319853703755,2.5520319853703755,0.7162579938535285,0.0,0.7162579938535285,0.7162579938535285,0.09456966900050852,0.0,0.09456966900050852,0.09456966900050852,0.20642510913474196,0.0,0.20642510913474196,0.20642510913474196,,,,,
T1,True,stress_map,PX4 Position->Hold,SW,px4_transition,0,1,3,diag_long_hold_a1p00_ts5p00,diag,long_hold,0,1.0,0.7,5.0,5.0,"pitch:0.25,0.50,0.70,0.70,0.70,0.70,0.70,0.70,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;roll:0.25,0.50,0.70,0.70,0.70,0.70,0.70,0.70,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",ac4cd3e2e32a22c5,0.7,True,True,False,0.0,0.7,0.7023606371925089,0.0,0.7023606371925089,0.7023606371925089,robust_safe,1.0,2.0,11.0,13.0,t_switch+6..t_switch+8,0.00:POSCTL|6.06:LOITER,ac4cd3e2e32a22c5_px4_transition_0_ts5p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_ac4cd3e2e32a22c5_ts5p00_repeat0,runs/transition_handoff_v2_a04_seed0/queries/ac4cd3e2e32a22c5_px4_transition_0_ts5p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_ac4cd3e2e32a22c5_ts5p00_repeat0/parsed_log.parquet,runs/transition_handoff_v2_a04_seed0/queries/ac4cd3e2e32a22c5_px4_transition_0_ts5p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_ac4cd3e2e32a22c5_ts5p00_repeat0/raw_log.ulg,3.0,3.0,8.0,8.0,6.0,19.723978621997958,False,both_safe,2.0644390887982778,0.0,2.0644390887982778,2.0644390887982778,4.082766498421474,0.0,4.082766498421474,4.082766498421474,6.04,0.0,6.04,6.04,0.29763936280749115,0.0,0.29763936280749115,0.29763936280749115,4.082766498421474,0.0,4.082766498421474,4.082766498421474,0.698245395196991,0.0,0.698245395196991,0.698245395196991,0.3172454904902322,0.0,0.3172454904902322,0.3172454904902322,0.2976393628074912,0.0,0.2976393628074912,0.2976393628074912,0.31135153810185556,0.21823851325373797,1.8938838350732847,robust_safe,robust_safe
T1,True,stress_map,PX4 Position->Hold,SW,px4_transition,0,1,4,pitch_long_hold_a0p85_ts6p00,pitch,long_hold,0,0.85,0.7,6.0,6.0,"pitch:0.25,0.50,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",a7fa733372e6a61d,0.7,True,True,False,0.0,0.7,0.76597458490402,0.0,0.76597458490402,0.76597458490402,robust_safe,1.0,2.0,12.0,14.0,t_switch+6..t_switch+8,0.00:POSCTL|7.24:LOITER,a7fa733372e6a61d_px4_transition_0_ts6p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_a7fa733372e6a61d_ts6p00_repeat0,runs/transition_handoff_v2_a04_seed0/queries/a7fa733372e6a61d_px4_transition_0_ts6p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_a7fa733372e6a61d_ts6p00_repeat0/parsed_log.parquet,runs/transition_handoff_v2_a04_seed0/queries/a7fa733372e6a61d_px4_transition_0_ts6p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_a7fa733372e6a61d_ts6p00_repeat0/raw_log.ulg,3.0,3.0,8.0,8.0,7.0,22.824015325997607,False,,1.5930941045105853,0.0,1.5930941045105853,1.5930941045105853,2.946520002325433,0.0,2.946520002325433,2.946520002325433,7.24,0.0,7.24,7.24,0.23402541509597996,0.0,0.23402541509597996,0.23402541509597996,2.946520002325433,0.0,2.946520002325433,2.946520002325433,0.8585519598605234,0.0,0.8585519598605234,0.8585519598605234,0.12313276680606067,0.0,0.12313276680606067,0.12313276680606067,0.23402541509597993,0.0,0.23402541509597993,0.23402541509597993,,,,,
T1,True,stress_map,PX4 Position->Hold,SW,px4_transition,0,1,5,diag_long_hold_a0p85_ts6p00,diag,long_hold,0,0.85,0.7,6.0,6.0,"pitch:0.25,0.50,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;roll:0.25,0.50,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",11e9abc36325591a,0.7,True,True,False,0.0,0.7,0.6642033626323728,0.0,0.6642033626323728,0.6642033626323728,robust_safe,1.0,2.0,12.0,14.0,t_switch+6..t_switch+8,0.00:POSCTL|7.82:LOITER,11e9abc36325591a_px4_transition_0_ts6p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_11e9abc36325591a_ts6p00_repeat0,runs/transition_handoff_v2_a04_seed0/queries/11e9abc36325591a_px4_transition_0_ts6p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_11e9abc36325591a_ts6p00_repeat0/parsed_log.parquet,runs/transition_handoff_v2_a04_seed0/queries/11e9abc36325591a_px4_transition_0_ts6p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_11e9abc36325591a_ts6p00_repeat0/raw_log.ulg,3.0,3.0,8.0,8.0,9.0,19.646072259001812,False,,1.3303522304516284,0.0,1.3303522304516284,1.3303522304516284,4.418148252155215,0.0,4.418148252155215,4.418148252155215,7.8,0.0,7.8,7.8,0.3357966373676272,0.0,0.3357966373676272,0.3357966373676272,4.418148252155215,0.0,4.418148252155215,4.418148252155215,1.0459819994325308,0.0,1.0459819994325308,1.0459819994325308,0.3439976654365839,0.0,0.3439976654365839,0.3439976654365839,0.3357966373676272,0.0,0.3357966373676272,0.3357966373676272,,,,,
T1,True,stress_map,PX4 Position->Hold,SW,px4_transition,0,1,6,pitch_long_hold_a1p00_ts6p00,pitch,long_hold,0,1.0,0.7,6.0,6.0,"pitch:0.25,0.50,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",a7fa733372e6a61d,0.7,True,True,False,0.0,0.7,0.76597458490402,0.0,0.76597458490402,0.76597458490402,robust_safe,1.0,2.0,12.0,14.0,t_switch+6..t_switch+8,0.00:POSCTL|7.24:LOITER,a7fa733372e6a61d_px4_transition_0_ts6p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_a7fa733372e6a61d_ts6p00_repeat0,runs/transition_handoff_v2_a04_seed0/queries/a7fa733372e6a61d_px4_transition_0_ts6p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_a7fa733372e6a61d_ts6p00_repeat0/parsed_log.parquet,runs/transition_handoff_v2_a04_seed0/queries/a7fa733372e6a61d_px4_transition_0_ts6p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_a7fa733372e6a61d_ts6p00_repeat0/raw_log.ulg,3.0,3.0,8.0,8.0,7.0,22.824015325997607,False,,1.5930941045105853,0.0,1.5930941045105853,1.5930941045105853,2.946520002325433,0.0,2.946520002325433,2.946520002325433,7.24,0.0,7.24,7.24,0.23402541509597996,0.0,0.23402541509597996,0.23402541509597996,2.946520002325433,0.0,2.946520002325433,2.946520002325433,0.8585519598605234,0.0,0.8585519598605234,0.8585519598605234,0.12313276680606067,0.0,0.12313276680606067,0.12313276680606067,0.23402541509597993,0.0,0.23402541509597993,0.23402541509597993,,,,,
T1,True,stress_map,PX4 Position->Hold,SW,px4_transition,0,1,7,diag_long_hold_a1p00_ts6p00,diag,long_hold,0,1.0,0.7,6.0,6.0,"pitch:0.25,0.50,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;roll:0.25,0.50,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",11e9abc36325591a,0.7,True,True,False,0.0,0.7,0.6642033626323728,0.0,0.6642033626323728,0.6642033626323728,robust_safe,1.0,2.0,12.0,14.0,t_switch+6..t_switch+8,0.00:POSCTL|7.82:LOITER,11e9abc36325591a_px4_transition_0_ts6p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_11e9abc36325591a_ts6p00_repeat0,runs/transition_handoff_v2_a04_seed0/queries/11e9abc36325591a_px4_transition_0_ts6p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_11e9abc36325591a_ts6p00_repeat0/parsed_log.parquet,runs/transition_handoff_v2_a04_seed0/queries/11e9abc36325591a_px4_transition_0_ts6p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_11e9abc36325591a_ts6p00_repeat0/raw_log.ulg,3.0,3.0,8.0,8.0,9.0,19.646072259001812,False,,1.3303522304516284,0.0,1.3303522304516284,1.3303522304516284,4.418148252155215,0.0,4.418148252155215,4.418148252155215,7.8,0.0,7.8,7.8,0.3357966373676272,0.0,0.3357966373676272,0.3357966373676272,4.418148252155215,0.0,4.418148252155215,4.418148252155215,1.0459819994325308,0.0,1.0459819994325308,1.0459819994325308,0.3439976654365839,0.0,0.3439976654365839,0.3439976654365839,0.3357966373676272,0.0,0.3357966373676272,0.3357966373676272,,,,,
T1,True,stress_map,PX4 Position->Hold,SW,px4_transition,0,1,8,pitch_long_hold_a0p85_ts8p00,pitch,long_hold,0,0.85,0.7,8.0,8.0,"pitch:0.25,0.50,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.50,0.25,0.00,0.00,0.00,0.00",28eb2df7f44bfc4a,0.7,True,True,False,0.0,0.7,0.7765496675365213,0.0,0.7765496675365213,0.7765496675365213,robust_safe,1.0,2.0,14.0,16.0,t_switch+6..t_switch+8,0.00:POSCTL|9.60:LOITER,28eb2df7f44bfc4a_px4_transition_0_ts8p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_28eb2df7f44bfc4a_ts8p00_repeat0,runs/transition_handoff_v2_a04_seed0/queries/28eb2df7f44bfc4a_px4_transition_0_ts8p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_28eb2df7f44bfc4a_ts8p00_repeat0/parsed_log.parquet,runs/transition_handoff_v2_a04_seed0/queries/28eb2df7f44bfc4a_px4_transition_0_ts8p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_28eb2df7f44bfc4a_ts8p00_repeat0/raw_log.ulg,3.0,3.0,8.0,8.0,8.0,19.459626861000288,False,,0.9698338866163527,0.0,0.9698338866163527,0.9698338866163527,3.3827596168123115,0.0,3.3827596168123115,3.3827596168123115,9.58,0.0,9.58,9.58,0.22345033246347867,0.0,0.22345033246347867,0.22345033246347867,3.2801378602038898,0.0,3.2801378602038898,3.2801378602038898,0.5690358675185574,0.0,0.5690358675185574,0.5690358675185574,0.2901663628185853,0.0,0.2901663628185853,0.2901663628185853,0.22345033246347865,0.0,0.22345033246347865,0.22345033246347865,,,,,
T1,True,stress_map,PX4 Position->Hold,SW,px4_transition,0,1,9,diag_long_hold_a0p85_ts8p00,diag,long_hold,0,0.85,0.7,8.0,8.0,"pitch:0.25,0.50,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.50,0.25,0.00,0.00,0.00,0.00;roll:0.25,0.50,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.50,0.25,0.00,0.00,0.00,0.00",c0b1c308eb3976f8,0.7,True,True,True,0.0,0.7,0.6951445695373222,0.0,0.6951445695373222,0.6951445695373222,robust_safe,1.0,2.0,14.0,16.0,t_switch+6..t_switch+8,0.00:POSCTL|9.58:LOITER,c0b1c308eb3976f8_px4_transition_0_ts8p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_c0b1c308eb3976f8_ts8p00_repeat0,runs/transition_handoff_v2_a04_seed0/queries/c0b1c308eb3976f8_px4_transition_0_ts8p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_c0b1c308eb3976f8_ts8p00_repeat0/parsed_log.parquet,runs/transition_handoff_v2_a04_seed0/queries/c0b1c308eb3976f8_px4_transition_0_ts8p000_paramse1b69d0b4a_a04_transition_v2_stress_map_SW_c0b1c308eb3976f8_ts8p00_repeat0/raw_log.ulg,3.0,3.0,8.0,8.0,8.0,19.725537579997763,False,,1.9231627494741568,0.0,1.9231627494741568,1.9231627494741568,4.803932046837473,0.0,4.803932046837473,4.803932046837473,9.56,0.0,9.56,9.56,0.3048554304626778,0.0,0.3048554304626778,0.3048554304626778,4.803932046837473,0.0,4.803932046837473,4.803932046837473,1.2861657687892825,0.0,1.2861657687892825,1.2861657687892825,0.4511163750030937,0.0,0.4511163750030937,0.4511163750030937,0.3048554304626779,0.0,0.3048554304626779,0.3048554304626779,,,,,
