theta,window_id,channel,t_start,t_end,value
theta_build_sat,0,roll,0.0,0.5,0.0
theta_build_sat,0,pitch,0.0,0.5,0.25
theta_build_sat,0,yaw,0.0,0.5,0.0
theta_build_sat,0,throttle,0.0,0.5,0.0
theta_build_sat,1,roll,0.5,1.0,0.0
theta_build_sat,1,pitch,0.5,1.0,0.5
theta_build_sat,1,yaw,0.5,1.0,0.0
theta_build_sat,1,throttle,0.5,1.0,0.0
theta_build_sat,2,roll,1.0,1.5,0.0
theta_build_sat,2,pitch,1.0,1.5,0.75
theta_build_sat,2,yaw,1.0,1.5,0.0
theta_build_sat,2,throttle,1.0,1.5,0.0
theta_build_sat,3,roll,1.5,2.0,0.0
theta_build_sat,3,pitch,1.5,2.0,1.0
theta_build_sat,3,yaw,1.5,2.0,0.0
theta_build_sat,3,throttle,1.5,2.0,0.0
theta_build_sat,4,roll,2.0,2.5,0.0
theta_build_sat,4,pitch,2.0,2.5,1.0
theta_build_sat,4,yaw,2.0,2.5,0.0
theta_build_sat,4,throttle,2.0,2.5,0.0
theta_build_sat,5,roll,2.5,3.0,0.0
theta_build_sat,5,pitch,2.5,3.0,1.0
theta_build_sat,5,yaw,2.5,3.0,0.0
theta_build_sat,5,throttle,2.5,3.0,0.0
theta_build_sat,6,roll,3.0,3.5,0.0
theta_build_sat,6,pitch,3.0,3.5,1.0
theta_build_sat,6,yaw,3.0,3.5,0.0
theta_build_sat,6,throttle,3.0,3.5,0.0
theta_build_sat,7,roll,3.5,4.0,0.0
theta_build_sat,7,pitch,3.5,4.0,0.75
theta_build_sat,7,yaw,3.5,4.0,0.0
theta_build_sat,7,throttle,3.5,4.0,0.0
theta_build_sat,8,roll,4.0,4.5,0.0
theta_build_sat,8,pitch,4.0,4.5,0.5
theta_build_sat,8,yaw,4.0,4.5,0.0
theta_build_sat,8,throttle,4.0,4.5,0.0
theta_build_sat,9,roll,4.5,5.0,0.0
theta_build_sat,9,pitch,4.5,5.0,0.25
theta_build_sat,9,yaw,4.5,5.0,0.0
theta_build_sat,9,throttle,4.5,5.0,0.0
theta_build_sub,0,roll,0.0,0.5,0.0
theta_build_sub,0,pitch,0.0,0.5,0.25
theta_build_sub,0,yaw,0.0,0.5,0.0
theta_build_sub,0,throttle,0.0,0.5,0.0
theta_build_sub,1,roll,0.5,1.0,0.0
theta_build_sub,1,pitch,0.5,1.0,0.5
theta_build_sub,1,yaw,0.5,1.0,0.0
theta_build_sub,1,throttle,0.5,1.0,0.0
theta_build_sub,2,roll,1.0,1.5,0.0
theta_build_sub,2,pitch,1.0,1.5,0.75
theta_build_sub,2,yaw,1.0,1.5,0.0
theta_build_sub,2,throttle,1.0,1.5,0.0
theta_build_sub,3,roll,1.5,2.0,0.0
theta_build_sub,3,pitch,1.5,2.0,0.85
theta_build_sub,3,yaw,1.5,2.0,0.0
theta_build_sub,3,throttle,1.5,2.0,0.0
theta_build_sub,4,roll,2.0,2.5,0.0
theta_build_sub,4,pitch,2.0,2.5,0.85
theta_build_sub,4,yaw,2.0,2.5,0.0
theta_build_sub,4,throttle,2.0,2.5,0.0
theta_build_sub,5,roll,2.5,3.0,0.0
theta_build_sub,5,pitch,2.5,3.0,0.85
theta_build_sub,5,yaw,2.5,3.0,0.0
theta_build_sub,5,throttle,2.5,3.0,0.0
theta_build_sub,6,roll,3.0,3.5,0.0
theta_build_sub,6,pitch,3.0,3.5,0.85
theta_build_sub,6,yaw,3.0,3.5,0.0
theta_build_sub,6,throttle,3.0,3.5,0.0
theta_build_sub,7,roll,3.5,4.0,0.0
theta_build_sub,7,pitch,3.5,4.0,0.6
theta_build_sub,7,yaw,3.5,4.0,0.0
theta_build_sub,7,throttle,3.5,4.0,0.0
theta_build_sub,8,roll,4.0,4.5,0.0
theta_build_sub,8,pitch,4.0,4.5,0.35
theta_build_sub,8,yaw,4.0,4.5,0.0
theta_build_sub,8,throttle,4.0,4.5,0.0
theta_build_sub,9,roll,4.5,5.0,0.0
theta_build_sub,9,pitch,4.5,5.0,0.1
theta_build_sub,9,yaw,4.5,5.0,0.0
theta_build_sub,9,throttle,4.5,5.0,0.0
