scenario_id,platform,perturb_mode,observe_mode,t_switch_s,status,error,query_id,parsed_log_path,modes_observed,t_neutral_s,transition_observed_t_s,rho_xy_11_13,rho_climb_11_13,wall_s,param_acc_readback,param_jerk_readback,official_contract,contract_property_candidate,documentation_source
px4_hold,px4,Position,Hold,,pass,,7b6436b0c98f6238_px4_hold_0_a03_stage1_px4_hold_zero,/mnt/nvme/px4_work/uav_sparse/runs/recon_amendment03_v0/queries/7b6436b0c98f6238_px4_hold_0_a03_stage1_px4_hold_zero/parsed_log.parquet,"LOITER,POSCTL",5.000000,,0.983255,,18.351618,3.0,8.0,"Hold/LOITER stops and hovers at current position and altitude; zero/neutral intervention implies horizontal speed should go to zero while holding position.",post_neutral_xy_velocity,https://docs.px4.io/main/en/flight_modes_mc/hold
px4_transition,px4,Position,Hold,5.000000,pass,,7b6436b0c98f6238_px4_transition_0_a03_stage1_px4_transition_zero,/mnt/nvme/px4_work/uav_sparse/runs/recon_amendment03_v0/queries/7b6436b0c98f6238_px4_transition_0_a03_stage1_px4_transition_zero/parsed_log.parquet,"LOITER,POSCTL",5.000000,5.5,0.966400,,18.232353,3.0,8.0,"At t_switch the harness requests Hold/LOITER; after transition the PX4 Hold contract is stop/hover at current position and altitude.",post_neutral_xy_velocity,https://docs.px4.io/main/en/flight_modes_mc/hold
ap_althold,ardupilot,AltHold,AltHold,,pass,,7b6436b0c98f6238_ap_althold_0_a03_stage1_ap_althold_zero,/mnt/nvme/px4_work/uav_sparse/runs/recon_amendment03_v0/queries/7b6436b0c98f6238_ap_althold_0_a03_stage1_ap_althold_zero/parsed_log.parquet,ALT_HOLD,5.000000,,0.980979,,51.674733,,,"AltHold maintains altitude at mid throttle; roll/pitch directly control lean angles, so no official horizontal velocity-to-zero contract is registered.",post_neutral_climb_rate_or_alt_drift,https://ardupilot.org/copter/docs/altholdmode.html
