eval_id,trigger_id,phase,label,repeat_idx,theta_hash,query_id,cache_tag,query_retry_count,repeat_elapsed_wall_time_s,robustness_post_neutral_xy_drift,robustness_post_neutral_alt_drift,robustness_post_neutral_xy_velocity,meta_scenario_id,meta_seed,meta_query_type,meta_theta_hash,meta_cache_tag,meta_wall_time_s,meta_prepare_wall_time_s,meta_run_wall_time_s,meta_parse_wall_time_s,meta_shutdown_wall_time_s,meta_total_wall_time_s,meta_adapter_arm_request_count,meta_adapter_arm_retry_count,meta_adapter_mode_switch_request_count_total,meta_adapter_mode_switch_retry_count_total,meta_adapter_mode_switch_POSCTL_request_count,meta_adapter_mode_switch_POSCTL_retry_count
0,0,whole_channel,zero_throttle,0,b8bf95eada37b6da,b8bf95eada37b6da_px4_position_2_direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat0,direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat0,0,20.543205665890127,0.5876016724746322,0.9918346405029297,-0.23944065039895324,px4_position,2,direction_a_ddmin,b8bf95eada37b6da,direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat0,3.089709026971832,16.368061239947565,3.089709026971832,0.014767295098863542,1.0331651320448145,20.5057088379981,1,0,2,0,2,0
0,0,whole_channel,zero_throttle,1,b8bf95eada37b6da,b8bf95eada37b6da_px4_position_2_direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat1,direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat1,0,17.509181981091388,0.7857642135702114,0.9820914268493652,-0.10770800632417732,px4_position,2,direction_a_ddmin,b8bf95eada37b6da,direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat1,3.0318082289304584,13.34620506502688,3.0318082289304584,0.013476368971168995,1.049743438954465,17.441241326974705,2,1,2,0,2,0
0,0,whole_channel,zero_throttle,2,b8bf95eada37b6da,b8bf95eada37b6da_px4_position_2_direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat2,direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat2,0,18.060908327111974,0.6737762578253517,0.9808869361877441,-0.20245551720430788,px4_position,2,direction_a_ddmin,b8bf95eada37b6da,direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat2,3.087845975998789,13.872956216917373,3.087845975998789,0.013761108042672276,1.031839246978052,18.006410387926735,2,1,3,1,3,1
0,0,whole_channel,zero_throttle,3,b8bf95eada37b6da,b8bf95eada37b6da_px4_position_2_direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat3,direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat3,0,20.834726208006032,0.7183636492055607,0.9922714233398438,-0.16941830947168257,px4_position,2,direction_a_ddmin,b8bf95eada37b6da,direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat3,3.105136365047656,16.61514127906412,3.105136365047656,0.015511454083025455,1.043292539077811,20.779089924995787,1,0,2,0,2,0
0,0,whole_channel,zero_throttle,4,b8bf95eada37b6da,b8bf95eada37b6da_px4_position_2_direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat4,direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat4,0,20.690845308010466,0.7619265333336842,0.9819107055664062,-0.15777499131217576,px4_position,2,direction_a_ddmin,b8bf95eada37b6da,direction_a_ddmin_t00_p0000_whole_channel_zero_throttle_repeat4,3.1103438690770417,16.45336318097543,3.1103438690770417,0.01406084094196558,1.0425957619445398,20.62037101399619,1,0,2,0,2,0
1,0,whole_channel,zero_yaw,0,585643816483f6be,585643816483f6be_px4_position_2_direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat0,direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat0,0,20.438786840066314,0.7115867022349165,0.9949102401733398,-0.20986930805620085,px4_position,2,direction_a_ddmin,585643816483f6be,direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat0,3.091248939977959,16.226554399938323,3.091248939977959,0.013806258095428348,1.04361626598984,20.375234121107496,1,0,3,1,3,1
1,0,whole_channel,zero_yaw,1,585643816483f6be,585643816483f6be_px4_position_2_direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat1,direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat1,0,20.4227013370255,0.7094109135429465,0.9756808280944824,-0.24278700463872593,px4_position,2,direction_a_ddmin,585643816483f6be,direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat1,3.034329104004428,16.317424213979393,3.034329104004428,0.014031952014192939,1.026480050990358,20.39227370498702,1,0,2,0,2,0
1,0,whole_channel,zero_yaw,2,585643816483f6be,585643816483f6be_px4_position_2_direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat2,direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat2,0,20.21019370004069,0.6949011759204211,0.9866881370544434,-0.24966826243782014,px4_position,2,direction_a_ddmin,585643816483f6be,direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat2,3.0402684221044183,16.070386951090768,3.0402684221044183,0.013955394038930535,1.039942529052496,20.164561455952935,1,0,2,0,2,0
1,0,whole_channel,zero_yaw,3,585643816483f6be,585643816483f6be_px4_position_2_direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat3,direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat3,0,20.707846697070636,0.7033729210382242,0.9951968193054199,-0.28218657025841676,px4_position,2,direction_a_ddmin,585643816483f6be,direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat3,3.1436540089780465,16.42460657597985,3.1436540089780465,0.014693401055410504,1.0542070830706507,20.637167820939794,1,0,2,0,2,0
1,0,whole_channel,zero_yaw,4,585643816483f6be,585643816483f6be_px4_position_2_direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat4,direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat4,0,20.803603158914484,0.7379681097118744,0.9880976676940918,-0.27496233813464643,px4_position,2,direction_a_ddmin,585643816483f6be,direction_a_ddmin_t00_p0001_whole_channel_zero_yaw_repeat4,3.0840282179415226,16.595177610055543,3.0840282179415226,0.014005518984049559,1.04266825504601,20.73590280395001,1,0,2,0,2,0
