seed,eval_id,label,arm,active_channels,support,rho_mean_post_neutral_xy_velocity,theta_hash,theta_path,label_env,label_deg,label_w,label_d,window_band,signs,main_signature,main_signature_representative,preregistered_fingerprint_no_support_filter,support_le8,theta_loaded,group_mapping_source
1,198,env0209_deg045_w00_d08_iter00_a0p5000,C,"pitch,roll",18,-0.7855700694103254,c68dd5e48807600d,runs/direction_a_px4_position_seed1_v0/thetas/C_00198_c68dd5e48807600d.npy,209,45,0,8,w00-w07,pitch:+|roll:+,"channels=pitch,roll;time=w00-w07;signs=pitch:+|roll:+",True,"channels=pitch,roll;time=w00-w08;shape=pitch:p1,p2,p2,p2,p2,p2,p2,p2,p1,0|roll:p1,p2,p2,p2,p2,p2,p2,p2,p1,0",False,True,artifacts/direction_a_px4_position_seed1_v0/groups.csv
1,201,env0209_deg045_w00_d08_iter03_a0p4375,C,"pitch,roll",18,-0.3438890455962349,f7e7321cbb169b89,runs/direction_a_px4_position_seed1_v0/thetas/C_00201_f7e7321cbb169b89.npy,209,45,0,8,w00-w07,pitch:+|roll:+,"channels=pitch,roll;time=w00-w07;signs=pitch:+|roll:+",False,"channels=pitch,roll;time=w00-w08;shape=pitch:p1,p2,p2,p2,p2,p2,p2,p2,p1,0|roll:p1,p2,p2,p2,p2,p2,p2,p2,p1,0",False,True,artifacts/direction_a_px4_position_seed1_v0/groups.csv
1,202,env0209_deg045_w00_d08_iter04_a0p4062,C,"pitch,roll",18,-0.1790253370816448,a404d2f10693c4ad,runs/direction_a_px4_position_seed1_v0/thetas/C_00202_a404d2f10693c4ad.npy,209,45,0,8,w00-w07,pitch:+|roll:+,"channels=pitch,roll;time=w00-w07;signs=pitch:+|roll:+",False,"channels=pitch,roll;time=w00-w08;shape=pitch:p1,p2,p2,p2,p2,p2,p2,p2,p1,0|roll:p1,p2,p2,p2,p2,p2,p2,p2,p1,0",False,True,artifacts/direction_a_px4_position_seed1_v0/groups.csv
1,203,env0209_deg045_w00_d08_iter05_a0p3906,C,"pitch,roll",18,-0.08877268611259584,b0d77030fe8606c8,runs/direction_a_px4_position_seed1_v0/thetas/C_00203_b0d77030fe8606c8.npy,209,45,0,8,w00-w07,pitch:+|roll:+,"channels=pitch,roll;time=w00-w07;signs=pitch:+|roll:+",False,"channels=pitch,roll;time=w00-w08;shape=pitch:p1,p2,p2,p2,p2,p2,p2,p2,p1,0|roll:p1,p2,p2,p2,p2,p2,p2,p2,p1,0",False,True,artifacts/direction_a_px4_position_seed1_v0/groups.csv
1,206,env0220_deg180_w00_d10_iter00_a0p5000,C,roll,10,-1.0234390040631722,6d8d5519d65779f3,runs/direction_a_px4_position_seed1_v0/thetas/C_00206_6d8d5519d65779f3.npy,220,180,0,10,w00-w09,roll:-,channels=roll;time=w00-w09;signs=roll:-,True,"channels=roll;time=w00-w09;shape=roll:m1,m2,m2,m2,m2,m2,m2,m2,m2,m2",False,True,artifacts/direction_a_px4_position_seed1_v0/groups.csv
1,208,env0220_deg180_w00_d10_iter02_a0p3750,C,roll,10,-0.20937514554463985,f824fc82ef772d55,runs/direction_a_px4_position_seed1_v0/thetas/C_00208_f824fc82ef772d55.npy,220,180,0,10,w00-w09,roll:-,channels=roll;time=w00-w09;signs=roll:-,False,"channels=roll;time=w00-w09;shape=roll:m1,m2,m2,m2,m2,m2,m2,m2,m2,m2",False,True,artifacts/direction_a_px4_position_seed1_v0/groups.csv
1,210,env0220_deg180_w00_d10_iter04_a0p3438,C,roll,10,-0.047969015310713556,eab9d2b77a573692,runs/direction_a_px4_position_seed1_v0/thetas/C_00210_eab9d2b77a573692.npy,220,180,0,10,w00-w09,roll:-,channels=roll;time=w00-w09;signs=roll:-,False,"channels=roll;time=w00-w09;shape=roll:m1,m2,m2,m2,m2,m2,m2,m2,m2,m2",False,True,artifacts/direction_a_px4_position_seed1_v0/groups.csv
2,166,env0186_deg090_w04_d05_iter00_a0p5000,C,pitch,6,-0.26498246409130777,817298a5766fef11,runs/direction_a_px4_position_seed2_v0/thetas/C_00166_817298a5766fef11.npy,186,90,4,5,w04-w08,pitch:+,channels=pitch;time=w04-w08;signs=pitch:+,True,"channels=pitch;time=w04-w09;shape=pitch:0,0,0,0,p1,p2,p2,p2,p2,p1",True,True,artifacts/direction_a_px4_position_seed2_v0/groups.csv
2,171,env0186_deg090_w04_d05_iter05_a0p4531,C,pitch,6,-0.0347185486764217,72c1112f65d176a9,runs/direction_a_px4_position_seed2_v0/thetas/C_00171_72c1112f65d176a9.npy,186,90,4,5,w04-w08,pitch:+,channels=pitch;time=w04-w08;signs=pitch:+,False,"channels=pitch;time=w04-w09;shape=pitch:0,0,0,0,p1,p2,p2,p2,p2,p1",True,True,artifacts/direction_a_px4_position_seed2_v0/groups.csv
2,172,env0186_deg090_w04_d05_iter06_a0p4453,C,pitch,6,-0.022429553675112547,9660f28a2490cba8,runs/direction_a_px4_position_seed2_v0/thetas/C_00172_9660f28a2490cba8.npy,186,90,4,5,w04-w08,pitch:+,channels=pitch;time=w04-w08;signs=pitch:+,False,"channels=pitch;time=w04-w09;shape=pitch:0,0,0,0,p1,p2,p2,p2,p2,p1",True,True,artifacts/direction_a_px4_position_seed2_v0/groups.csv
2,201,env0213_deg225_w00_d08_iter00_a0p5000,C,"pitch,roll",18,-0.8343360061291273,593b67cf76c69c91,runs/direction_a_px4_position_seed2_v0/thetas/C_00201_593b67cf76c69c91.npy,213,225,0,8,w00-w07,pitch:-|roll:-,"channels=pitch,roll;time=w00-w07;signs=pitch:-|roll:-",True,"channels=pitch,roll;time=w00-w08;shape=pitch:m1,m2,m2,m2,m2,m2,m2,m2,m1,0|roll:m1,m2,m2,m2,m2,m2,m2,m2,m1,0",False,True,artifacts/direction_a_px4_position_seed2_v0/groups.csv
2,235,env0212_deg180_w00_d08_iter00_a0p5000,C,roll,9,-0.2593144249634614,e154e054af86715b,runs/direction_a_px4_position_seed2_v0/thetas/C_00235_e154e054af86715b.npy,212,180,0,8,w00-w07,roll:-,channels=roll;time=w00-w07;signs=roll:-,True,"channels=roll;time=w00-w08;shape=roll:m1,m2,m2,m2,m2,m2,m2,m2,m1,0",False,True,artifacts/direction_a_px4_position_seed2_v0/groups.csv
2,239,env0212_deg180_w00_d08_iter04_a0p4688,C,roll,9,-0.10831074540058623,45dc8e92e34a1b48,runs/direction_a_px4_position_seed2_v0/thetas/C_00239_45dc8e92e34a1b48.npy,212,180,0,8,w00-w07,roll:-,channels=roll;time=w00-w07;signs=roll:-,False,"channels=roll;time=w00-w08;shape=roll:m1,m2,m2,m2,m2,m2,m2,m2,m1,0",False,True,artifacts/direction_a_px4_position_seed2_v0/groups.csv
