seed,trigger_id,source_eval_id,source_label,final_active_channels,archived_final_active_channels,final_support,is_support_le8,final_group_ids,window_band,active_windows_by_channel,signs,signature,signature_representative,j5_points_used,final_theta_hash,final_theta_path,theta_loaded,group_mapping_source
1,5,129,rand0009_iter04_a0p4062,"pitch,roll","pitch,roll",14,False,"4,8,12,16,17,20,21,24,25,28,29,32,33,36",w01-w09,"pitch:w04,w05,w06,w07,w08|roll:w01,w02,w03,w04,w05,w06,w07,w08,w09",pitch:-|roll:-,"channels=pitch,roll;time=w01-w09;signs=pitch:-|roll:-",True,40,bdc98ddcdf13818b,runs/direction_a_ddmin_px4_position_seed1_v0/thetas/T05_final_bdc98ddcdf13818b.npy,True,artifacts/direction_a_px4_position_seed1_v0/groups.csv
1,7,150,rand0013_iter00_a0p5000,pitch,pitch,6,True,"17,21,25,29,33,37",w04-w09,"pitch:w04,w05,w06,w07,w08,w09",pitch:+,channels=pitch;time=w04-w09;signs=pitch:+,True,29,c09c4960690b8dd5,runs/direction_a_ddmin_px4_position_seed1_v0/thetas/T07_final_c09c4960690b8dd5.npy,True,artifacts/direction_a_px4_position_seed1_v0/groups.csv
1,9,158,rand0014_iter00_a0p5000,"pitch,roll","pitch,roll",14,False,"8,9,12,13,17,20,21,24,25,28,29,32,36,37",w02-w09,"pitch:w02,w03,w04,w05,w06,w07,w09|roll:w02,w03,w05,w06,w07,w08,w09",pitch:+|roll:+,"channels=pitch,roll;time=w02-w09;signs=pitch:+|roll:+",True,40,472789be88641c82,runs/direction_a_ddmin_px4_position_seed1_v0/thetas/T09_final_472789be88641c82.npy,True,artifacts/direction_a_px4_position_seed1_v0/groups.csv
2,0,89,rand0002,"pitch,roll","pitch,roll",8,True,"16,20,24,28,29,32,36,37",w04-w09,"pitch:w07,w09|roll:w04,w05,w06,w07,w08,w09",pitch:+|roll:-,"channels=pitch,roll;time=w04-w09;signs=pitch:+|roll:-",True,40,181773fc09832ad4,runs/direction_a_ddmin_px4_position_seed2_v0/thetas/T00_final_181773fc09832ad4.npy,True,artifacts/direction_a_px4_position_seed2_v0/groups.csv
2,2,117,rand0006_iter02_a0p6250,"pitch,roll","pitch,roll",9,False,"12,16,21,25,28,29,32,33,37",w03-w09,"pitch:w05,w06,w07,w08,w09|roll:w03,w04,w07,w08",pitch:-|roll:-,"channels=pitch,roll;time=w03-w09;signs=pitch:-|roll:-",True,37,5b8d59de3c45acf5,runs/direction_a_ddmin_px4_position_seed2_v0/thetas/T02_final_5b8d59de3c45acf5.npy,True,artifacts/direction_a_px4_position_seed2_v0/groups.csv
2,3,126,rand0007_iter03_a0p6875,"pitch,roll","pitch,roll",14,False,"9,13,16,17,20,21,24,25,28,29,32,33,36,37",w02-w09,"pitch:w02,w03,w04,w05,w06,w07,w08,w09|roll:w04,w05,w06,w07,w08,w09",pitch:+|roll:-,"channels=pitch,roll;time=w02-w09;signs=pitch:+|roll:-",True,40,416f1da14a60ec24,runs/direction_a_ddmin_px4_position_seed2_v0/thetas/T03_final_416f1da14a60ec24.npy,True,artifacts/direction_a_px4_position_seed2_v0/groups.csv
2,4,127,rand0007_iter04_a0p6562,"pitch,roll","pitch,roll",17,False,"5,8,9,12,13,16,17,20,21,24,25,28,29,32,33,36,37",w01-w09,"pitch:w01,w02,w03,w04,w05,w06,w07,w08,w09|roll:w02,w03,w04,w05,w06,w07,w08,w09",pitch:+|roll:-,"channels=pitch,roll;time=w01-w09;signs=pitch:+|roll:-",True,40,a124bef3d06cf194,runs/direction_a_ddmin_px4_position_seed2_v0/thetas/T04_final_a124bef3d06cf194.npy,True,artifacts/direction_a_px4_position_seed2_v0/groups.csv
2,6,140,rand0009_iter01_a0p7500,"pitch,roll","pitch,roll",8,True,"21,24,25,28,32,33,36,37",w05-w09,"pitch:w05,w06,w08,w09|roll:w06,w07,w08,w09",pitch:+|roll:+,"channels=pitch,roll;time=w05-w09;signs=pitch:+|roll:+",True,33,a8624d4087994697,runs/direction_a_ddmin_px4_position_seed2_v0/thetas/T06_final_a8624d4087994697.npy,True,artifacts/direction_a_px4_position_seed2_v0/groups.csv
2,7,142,rand0009_iter03_a0p6875,"pitch,roll","pitch,roll",10,False,"16,20,24,25,28,29,32,33,36,37",w04-w09,"pitch:w06,w07,w08,w09|roll:w04,w05,w06,w07,w08,w09",pitch:+|roll:+,"channels=pitch,roll;time=w04-w09;signs=pitch:+|roll:+",True,40,c21cc420527f62aa,runs/direction_a_ddmin_px4_position_seed2_v0/thetas/T07_final_c21cc420527f62aa.npy,True,artifacts/direction_a_px4_position_seed2_v0/groups.csv
2,8,150,rand0011_iter02_a0p6250,roll,roll,5,True,"20,24,28,32,36",w05-w09,"roll:w05,w06,w07,w08,w09",roll:+,channels=roll;time=w05-w09;signs=roll:+,True,18,5a317785fb84813c,runs/direction_a_ddmin_px4_position_seed2_v0/thetas/T08_final_5a317785fb84813c.npy,True,artifacts/direction_a_px4_position_seed2_v0/groups.csv
2,9,151,rand0011_iter03_a0p5625,"pitch,roll","pitch,roll",8,True,"9,13,16,20,24,28,32,36",w02-w09,"pitch:w02,w03|roll:w04,w05,w06,w07,w08,w09",pitch:+|roll:+,"channels=pitch,roll;time=w02-w09;signs=pitch:+|roll:+",True,33,da04091a60a4f7bf,runs/direction_a_ddmin_px4_position_seed2_v0/thetas/T09_final_da04091a60a4f7bf.npy,True,artifacts/direction_a_px4_position_seed2_v0/groups.csv
