eval_id,trigger_id,phase,label,theta_hash,theta_path,repeats,point_elapsed_wall_time_s,max_abs_theta,support_size_abs_gt_0p1,active_channels_abs_gt_0p1,active_group_ids_abs_gt_0p1,robustness_class,is_robust_violation_2sigma,rho_mean_post_neutral_xy_drift,rho_std_post_neutral_xy_drift,rho_min_post_neutral_xy_drift,rho_max_post_neutral_xy_drift,rho_nonpositive_post_neutral_xy_drift,rho_mean_post_neutral_alt_drift,rho_std_post_neutral_alt_drift,rho_min_post_neutral_alt_drift,rho_max_post_neutral_alt_drift,rho_nonpositive_post_neutral_alt_drift,rho_mean_post_neutral_xy_velocity,rho_std_post_neutral_xy_velocity,rho_min_post_neutral_xy_velocity,rho_max_post_neutral_xy_velocity,rho_nonpositive_post_neutral_xy_velocity
10,0,support_ddmin,outer0_remove_04_of_28,bf277831ebf2214a,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00010_bf277831ebf2214a.npy,5,86.45856596296653,0.4519552994823258,25,"pitch,roll,throttle,yaw","0,1,3,5,7,8,11,12,16,21,22,23,25,26,29,30,31,32,33,34,35,36,37,38,39",noise_band,False,1.013736159433705,0.03252298914785743,0.9679205871461634,1.0467730145312029,0,0.8336931228637695,0.007103620348226645,0.8241562843322754,0.8414778709411621,0,0.011546800849394767,0.019930545765509376,-0.01131188223881563,0.032430018425538276,2
11,0,support_ddmin,outer0_remove_04_of_28,68d21ef321dd5d7c,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00011_68d21ef321dd5d7c.npy,5,90.21000258403365,0.4519552994823258,24,"pitch,roll,throttle,yaw","0,1,3,5,7,8,11,12,16,17,19,20,26,29,30,31,32,33,34,35,36,37,38,39",robust_safe,False,1.4661140651622795,0.06011819237297384,1.3841638286341704,1.545386615543919,0,0.8354624748229981,0.011950077162176326,0.8191428184509277,0.8511624336242676,0,0.37328922736779596,0.038792956990258844,0.3209015628732331,0.4273020688542303,0
12,0,support_ddmin,outer0_remove_03_of_28,4fd3a093e729c20e,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00012_4fd3a093e729c20e.npy,5,89.32583066198276,0.4519552994823258,25,"pitch,roll,throttle,yaw","0,1,3,5,7,8,11,12,16,17,19,20,21,22,23,25,31,32,33,34,35,36,37,38,39",robust_safe,False,1.464267914175087,0.027575712642909412,1.43599919869774,1.5075002756067246,0,0.8288844108581543,0.0063451759095021895,0.821556568145752,0.8379583358764648,0,0.32521193438509843,0.013752547571655921,0.3125425674608935,0.3409077745493895,0
13,0,support_ddmin,outer0_remove_03_of_28,80a2524c11e753e1,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00013_80a2524c11e753e1.npy,5,92.24262067698874,0.4345174080396778,26,"pitch,roll,throttle,yaw","0,1,3,5,7,8,11,12,16,17,19,20,21,22,23,25,26,29,30,33,34,35,36,37,38,39",noise_band,False,1.0768147600473401,0.033590476247256355,1.0309628032670946,1.1157663596175786,0,0.8264699935913086,0.006260079593745952,0.8194441795349121,0.8324403762817383,0,0.04341807225378556,0.03278219732837025,0.0021217984126670197,0.08819047667460378,0
14,0,support_ddmin,outer0_remove_03_of_28,0270e919a816d8bc,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00014_0270e919a816d8bc.npy,5,102.23468802799471,0.4519552994823258,25,"pitch,roll,throttle,yaw","0,1,3,5,7,8,11,12,16,17,19,20,21,22,23,25,26,29,30,31,32,33,37,38,39",robust_violation,True,0.8842599638210208,0.05878063874418856,0.7850075471892111,0.9238375261735163,0,0.9548151969909668,0.002031549270239013,0.9521527290344238,0.9573807716369629,0,-0.13035137026538202,0.031714405722733756,-0.17192340812781182,-0.08762938320080838,5
15,0,support_ddmin,outer0_remove_04_of_25,6226453f2924dceb,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00015_6226453f2924dceb.npy,5,101.06079921702622,0.4519552994823258,21,"pitch,roll,throttle,yaw","7,8,11,12,16,17,19,20,21,22,23,25,26,29,30,31,32,33,37,38,39",robust_violation,True,0.9231264399740624,0.0378868566761637,0.8859537940833688,0.9819368475791552,0,0.9516581535339356,0.0035112428330988333,0.9484272003173828,0.9566011428833008,0,-0.09178245746531491,0.019204752611453175,-0.11482240167743019,-0.06525701307414478,5
16,0,support_ddmin,outer0_remove_04_of_21,bbff8f5c1917f136,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00016_bbff8f5c1917f136.npy,5,101.89197707700077,0.4519552994823258,17,"pitch,roll,throttle,yaw","16,17,19,20,21,22,23,25,26,29,30,31,32,33,37,38,39",noise_band,False,1.1001835295043727,0.03937712530193675,1.0492033576247832,1.1572635009690484,0,0.9571660041809082,0.004759839669481794,0.9515829086303711,0.962188720703125,0,0.054363069609072244,0.028492022652102784,0.011491871067199733,0.08080770851459218,0
17,0,support_ddmin,outer0_remove_04_of_21,f6ccd5458d585eda,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00017_f6ccd5458d585eda.npy,5,99.31715689203702,0.4519552994823258,18,"pitch,roll,throttle,yaw","7,8,11,12,16,21,22,23,25,26,29,30,31,32,33,37,38,39",robust_safe,False,1.0474288890813512,0.026715069773299106,1.0194943953791882,1.0804112956325387,0,0.9565328598022461,0.0028400289323537997,0.9519786834716797,0.9593043327331543,0,0.024028189961958636,0.0082986751197145,0.013024646012544938,0.03303854906395409,0
18,0,support_ddmin,outer0_remove_04_of_21,e24945d073e8ed2f,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00018_e24945d073e8ed2f.npy,5,101.81235935399309,0.4519552994823258,17,"pitch,roll,throttle,yaw","7,8,11,12,16,17,19,20,26,29,30,31,32,33,37,38,39",robust_safe,False,1.4893071285130937,0.03900415614743493,1.4441653458597692,1.547082326221317,0,0.951486873626709,0.0038711057625511426,0.9472231864929199,0.9573855400085449,0,0.3909140712423059,0.022385765472341265,0.3688433362296094,0.42844479032273375,0
19,0,support_ddmin,outer0_remove_03_of_21,b03f7052ba7958c7,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00019_b03f7052ba7958c7.npy,5,99.20728137501283,0.4519552994823258,18,"pitch,roll,throttle,yaw","7,8,11,12,16,17,19,20,21,22,23,25,31,32,33,37,38,39",robust_safe,False,1.5049925013801801,0.028475619410705536,1.4655387909708462,1.5388254432024038,0,0.9568687438964844,0.0011557038272741122,0.9560356140136719,0.958895206451416,0,0.369815307539371,0.020858021927417657,0.3492172878442904,0.3929686545333484,0
20,0,support_ddmin,outer0_remove_03_of_21,29f5ad7dd53f5606,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00020_29f5ad7dd53f5606.npy,5,101.8313821349875,0.42195119056210234,19,"pitch,roll,throttle,yaw","7,8,11,12,16,17,19,20,21,22,23,25,26,29,30,33,37,38,39",robust_safe,False,1.1282701845515555,0.015928078640827976,1.115641248559505,1.1472914801554768,0,0.9538168907165527,0.003578118613915407,0.9495797157287598,0.9592232704162598,0,0.07748961698533308,0.009662596131571652,0.06759449774559534,0.09154545122496793,0
21,0,support_ddmin,outer0_remove_03_of_21,6521699bdd202e06,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00021_6521699bdd202e06.npy,5,102.01463209104259,0.42195119056210234,18,"pitch,roll,throttle,yaw","7,8,11,12,16,17,19,20,21,22,23,25,26,29,30,31,32,33",robust_safe,False,1.6226193927921675,0.02509591751015779,1.5988773993881285,1.6637711613728166,0,0.9900591850280762,0.004715166458491216,0.9850845336914062,0.9959025382995605,0,0.3646436072867469,0.022880775140005534,0.33714632674033795,0.38555592215089374,0
22,0,support_ddmin,outer0_remove_02_of_21,eb40cbc1991400bf,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00022_eb40cbc1991400bf.npy,5,101.59349423000822,0.4519552994823258,19,"pitch,roll,throttle,yaw","11,12,16,17,19,20,21,22,23,25,26,29,30,31,32,33,37,38,39",noise_band,False,1.0008768416465652,0.05694751238195612,0.9502102445649798,1.0637581868362183,0,0.9566336631774902,0.004856620637701291,0.9505710601806641,0.9630956649780273,0,-0.034917877730979055,0.023477126958266814,-0.060921378124503045,0.00046294120431755736,4
23,0,support_ddmin,outer0_remove_02_of_21,316025cfbeace268,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00023_316025cfbeace268.npy,5,101.7708930450026,0.4519552994823258,19,"pitch,roll,throttle,yaw","7,8,16,17,19,20,21,22,23,25,26,29,30,31,32,33,37,38,39",noise_band,False,1.0115999842677412,0.03515811348346479,0.9618070776028356,1.0583933056133443,0,0.9531377792358399,0.005220922374964939,0.9457159042358398,0.9580903053283691,0,-0.007816767265374369,0.024641828692709675,-0.03502381586377257,0.027460979766843585,3
24,0,support_ddmin,outer0_remove_02_of_21,427b4b2650e85521,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00024_427b4b2650e85521.npy,5,98.89105280704098,0.4519552994823258,20,"pitch,roll,throttle,yaw","7,8,11,12,16,19,20,21,22,23,25,26,29,30,31,32,33,37,38,39",noise_band,False,1.036603428475717,0.04899721088772474,0.9782901940010138,1.0984216366389856,0,0.9497040748596192,0.006083237794515782,0.9400763511657715,0.9568381309509277,0,0.0014150374462447602,0.016956705624953456,-0.01891702132529849,0.02273861042877179,2
25,0,support_ddmin,outer0_remove_02_of_21,386795d0e9efc857,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00025_386795d0e9efc857.npy,5,101.82091039000079,0.4519552994823258,19,"pitch,roll,throttle,yaw","7,8,11,12,16,17,21,22,23,25,26,29,30,31,32,33,37,38,39",noise_band,False,0.9860055460660334,0.035834499206175444,0.9354850876012113,1.019965729331698,0,0.950124454498291,0.00573481257698612,0.9428091049194336,0.9573431015014648,0,-0.052724281191106524,0.03267046354413731,-0.09348901889325778,-0.01784832294420946,5
26,0,support_ddmin,outer0_remove_02_of_21,02ae9aadeabee839,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00026_02ae9aadeabee839.npy,5,101.56352213799255,0.4519552994823258,19,"pitch,roll,throttle,yaw","7,8,11,12,16,17,19,20,23,25,26,29,30,31,32,33,37,38,39",robust_safe,False,1.109009306161895,0.02182826010457351,1.0778700984967111,1.1303648572847829,0,0.9542902946472168,0.0051567325733070275,0.9488883018493652,0.9601473808288574,0,0.05823577592702447,0.020802607225208693,0.03860394455227145,0.0933914811869041,0
27,0,support_ddmin,outer0_remove_02_of_21,ffbf40cc3fedb786,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00027_ffbf40cc3fedb786.npy,5,101.24973095499445,0.4519552994823258,20,"pitch,roll,throttle,yaw","7,8,11,12,16,17,19,20,21,22,25,26,29,30,31,32,33,37,38,39",noise_band,False,1.0130579280264222,0.05072685106010621,0.9330730684700996,1.0715733003041512,0,0.9536612510681153,0.0027584212455087197,0.9499335289001465,0.9574522972106934,0,-0.018629981914901728,0.022291919543646607,-0.04461342481799502,0.00829985060845384,4
28,0,support_ddmin,outer0_remove_02_of_21,4a8ceb42c22e2d15,runs/direction_a_ddmin_px4_position_seed0_v1/thetas/T00_00028_4a8ceb42c22e2d15.npy,5,102.32745462900493,0.4519552994823258,19,"pitch,roll,throttle,yaw","7,8,11,12,16,17,19,20,21,22,23,25,30,31,32,33,37,38,39",robust_safe,False,1.5326115502331406,0.02141048460894389,1.5127828900029683,1.5567064318526969,0,0.9519186973571777,0.002908982306849504,0.9485301971435547,0.9556260108947754,0,0.38480395901051095,0.01763926872616484,0.36293654608312076,0.4062536392473901,0
