seed,arm,point_count,robust_violation_count,interior_robust_violation_count,channel_pure_interior_count,channel_pure_ratio,channel_pure_denominator,A_alt
0,A,80,1,0,0,0.0,0,throttle
0,B,80,0,0,0,0.0,0,throttle
0,C,80,10,0,0,0.0,0,throttle
